CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
464287168,DVY,ISHARES TR,159292,159292,21.39M,21.39M,NEW,8.9%
037833100,AAPL,APPLE INC,94464,94464,20.98M,20.98M,NEW,8.7%
464287200,IVV,ISHARES TR,34576,34576,19.43M,19.43M,NEW,8.1%
67066G104,NVDA,NVIDIA CORPORATION,145980,145980,15.82M,15.82M,NEW,6.6%
808524797,SCHD,SCHWAB STRATEGIC TR,443335,443335,12.4M,12.4M,NEW,5.1%
921908844,VIG,VANGUARD SPECIALIZED FUNDS,39518,39518,7.67M,7.67M,NEW,3.2%
594918104,MSFT,MICROSOFT CORP,19070,19070,7.16M,7.16M,NEW,3%
46434V613,IUSB,ISHARES TR,153396,153396,7.07M,7.07M,NEW,2.9%
46435G425,ESGU,ISHARES TR,49940,49940,6.09M,6.09M,NEW,2.5%
46090E103,QQQ,INVESCO QQQ TR,12355,12355,5.79M,5.79M,NEW,2.4%
023135106,AMZN,AMAZON COM INC,27016,27016,5.14M,5.14M,NEW,2.1%
464287150,ITOT,ISHARES TR,41054,41054,5.01M,5.01M,NEW,2.1%
57636Q104,MA,MASTERCARD INCORPORATED,7730,7730,4.24M,4.24M,NEW,1.8%
464288885,EFG,ISHARES TR,39731,39731,3.97M,3.97M,NEW,1.6%
464288877,EFV,ISHARES TR,65186,65186,3.84M,3.84M,NEW,1.6%
316188309,FBND,FIDELITY MERRIMACK STR TR,80652,80652,3.68M,3.68M,NEW,1.5%
921946406,VYM,VANGUARD WHITEHALL FDS,27150,27150,3.5M,3.5M,NEW,1.5%
78463X889,SPDW,SPDR INDEX SHS FDS,95424,95424,3.47M,3.47M,NEW,1.4%
02079K107,GOOG,ALPHABET INC,21496,21496,3.36M,3.36M,NEW,1.4%
78464A508,SPYV,SPDR SER TR,63475,63475,3.24M,3.24M,NEW,1.3%
907818108,UNP,UNION PAC CORP,13600,13600,3.21M,3.21M,NEW,1.3%
464288588,MBB,ISHARES TR,32280,32280,3.03M,3.03M,NEW,1.3%
78464A409,SPYG,SPDR SER TR,36349,36349,2.92M,2.92M,NEW,1.2%
46429B267,GOVT,ISHARES TR,116233,116233,2.67M,2.67M,NEW,1.1%
22160K105,COST,COSTCO WHSL CORP NEW,2480,2480,2.35M,2.35M,NEW,0.97%
922908769,VTI,VANGUARD INDEX FDS,8172,8172,2.25M,2.25M,NEW,0.93%
46625H100,JPM,JPMORGAN CHASE & CO.,8931,8931,2.19M,2.19M,NEW,0.91%
464287432,TLT,ISHARES TR,23914,23914,2.18M,2.18M,NEW,0.9%
46432F339,QUAL,ISHARES TR,11984,11984,2.05M,2.05M,NEW,0.85%
09290C103,DYNF,BLACKROCK ETF TRUST,41400,41400,2.02M,2.02M,NEW,0.84%
464287309,IVW,ISHARES TR,21655,21655,2.01M,2.01M,NEW,0.83%
922908629,VO,VANGUARD INDEX FDS,7392,7392,1.91M,1.91M,NEW,0.79%
64110L106,NFLX,NETFLIX INC,2020,2020,1.88M,1.88M,NEW,0.78%
655844108,NSC,NORFOLK SOUTHN CORP,7653,7653,1.81M,1.81M,NEW,0.75%
02079K305,GOOGL,ALPHABET INC,10841,10841,1.68M,1.68M,NEW,0.7%
464287408,IVE,ISHARES TR,8750,8750,1.67M,1.67M,NEW,0.69%
92826C839,V,VISA INC,4348,4348,1.52M,1.52M,NEW,0.63%
532457108,LLY,ELI LILLY & CO,1700,1700,1.4M,1.4M,NEW,0.58%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,24650,24650,1.28M,1.28M,NEW,0.53%
46434G103,IEMG,ISHARES INC,23399,23399,1.26M,1.26M,NEW,0.52%
464288620,USIG,ISHARES TR,23912,23912,1.22M,1.22M,NEW,0.51%
084670702,BRKB,BERKSHIRE HATHAWAY INC DEL,2187,2187,1.16M,1.16M,NEW,0.48%
38141G104,GS,GOLDMAN SACHS GROUP INC,2104,2104,1.15M,1.15M,NEW,0.48%
81369Y803,XLK,SELECT SECTOR SPDR TR,5460,5460,1.13M,1.13M,NEW,0.47%
464287291,IXN,ISHARES TR,14214,14214,1.08M,1.08M,NEW,0.45%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,12532,12532,1.06M,1.06M,NEW,0.44%
11135F101,AVGO,BROADCOM INC,6294,6294,1.05M,1.05M,NEW,0.44%
464287226,AGG,ISHARES TR,10258,10258,1.01M,1.01M,NEW,0.42%
464287721,IYW,ISHARES TR,6882,6882,966.57K,966.57K,NEW,0.4%
46432F396,MTUM,ISHARES TR,4351,4351,879.47K,879.47K,NEW,0.37%
464287465,EFA,ISHARES TR,10620,10620,867.96K,867.96K,NEW,0.36%
92204A405,VFH,VANGUARD WORLD FD,7251,7251,866.26K,866.26K,NEW,0.36%
682680103,OKE,ONEOK INC NEW,8519,8519,845.25K,845.25K,NEW,0.35%
922908611,VBR,VANGUARD INDEX FDS,4483,4483,835.14K,835.14K,NEW,0.35%
464288448,IDV,ISHARES TR,24651,24651,764.67K,764.67K,NEW,0.32%
478160104,JNJ,JOHNSON & JOHNSON,4470,4470,741.35K,741.35K,NEW,0.31%
