CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
30303M102,META,META PLATFORMS INC,6782,6782,5.01M,5.01M,NEW,0.69%
36828A101,GEV,GE VERNOVA INC,8387,8387,4.44M,4.44M,NEW,0.61%
91324P102,UNH,UNITEDHEALTH GROUP INC,13633,13633,4.25M,4.25M,NEW,0.59%
00183L201,ANGI,ANGI INC,167756,167756,2.56M,2.56M,NEW,0.35%
79589L106,IOT,SAMSARA INC,23518,23518,935.55K,935.55K,NEW,0.13%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,1200000,0,163.58M,0,NO CHANGE,22.5%
00508Y102,AYI,ACUITY INC,344100,0,102.66M,0,NO CHANGE,14.1%
051774107,AUR,AURORA INNOVATION INC,10385096,0,54.42M,0,NO CHANGE,7.5%
00827B106,AFRM,AFFIRM HLDGS INC,721382,0,49.88M,0,NO CHANGE,6.9%
594918104,MSFT,MICROSOFT CORP,88383,0,43.96M,0,NO CHANGE,6%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,670200,0,41.02M,0,NO CHANGE,5.6%
808513105,SCHW,SCHWAB CHARLES CORP,440097,0,40.15M,0,NO CHANGE,5.5%
57636Q104,MA,MASTERCARD INCORPORATED,65553,0,36.84M,0,NO CHANGE,5.1%
084670108,BRK.A,BERKSHIRE HATHAWAY INC DEL,41,0,29.88M,0,NO CHANGE,4.1%
98138H101,WDAY,WORKDAY INC,111992,0,26.88M,0,NO CHANGE,3.7%
G65163100,JOBY,JOBY AVIATION INC,1557888,0,16.44M,0,NO CHANGE,2.3%
02079K305,GOOGL,ALPHABET INC,83380,0,14.69M,0,NO CHANGE,2%
18467V109,YOU,CLEAR SECURE INC,490620,0,13.62M,0,NO CHANGE,1.9%
44891N208,IAC,IAC INC,319477,0,11.93M,0,NO CHANGE,1.6%
22266T109,CPNG,COUPANG INC,325000,0,9.74M,0,NO CHANGE,1.3%
30231G102,XOM,EXXON MOBIL CORP,89900,0,9.69M,0,NO CHANGE,1.3%
191216100,KO,COCA COLA CO,99054,0,7.01M,0,NO CHANGE,0.96%
88023B103,TEM,TEMPUS AI INC,76621,0,4.87M,0,NO CHANGE,0.67%
893641100,TDG,TRANSDIGM GROUP INC,2764,0,4.2M,0,NO CHANGE,0.58%
92826C839,V,VISA INC,11668,0,4.14M,0,NO CHANGE,0.57%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,6906,0,3.35M,0,NO CHANGE,0.46%
09352U108,BLND,BLEND LABS INC,344761,0,1.14M,0,NO CHANGE,0.16%
04626A103,ALAB,ASTERA LABS INC,12244,0,1.11M,0,NO CHANGE,0.15%
75629V104,RXRX,RECURSION PHARMACEUTICALS IN,217657,0,1.1M,0,NO CHANGE,0.15%
37611X209,DNA,GINKGO BIOWORKS HOLDINGS INC,61951,0,696.95K,0,NO CHANGE,0.1%
00091E109,ABSI,ABSCI CORPORATION,236129,0,606.85K,0,NO CHANGE,0.08%
92719V100,VMEO,VIMEO INC,139583,0,563.91K,0,NO CHANGE,0.08%
320551104,DIBS,1STDIBS COM INC,176826,0,486.27K,0,NO CHANGE,0.07%
09769B107,BSLK,BOLT PROJS HLDGS INC,0,-40289,0,-123.7K,CLOSE,0%
02079K107,GOOG,ALPHABET INC,85441,-71680,15.16M,-12.72M,-45.6%,2.1%
Total,,,,,727.01M,4.35M,+0.7%,100%
