CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
219350105,GLW,CORNING INC,69.9M,4.1%,69.9M,NEW
15101Q207,CLS,CELESTICA INC,58.61M,3.4%,58.61M,NEW
03662Q105,ANSS,ANSYS INC,54.79M,3.2%,54.79M,NEW
M20791105,CAMT,CAMTEK LTD,52.32M,3.1%,52.32M,NEW
573874104,MRVL,MARVELL TECHNOLOGY INC,73.3M,4.3%,22.45M,+44.2%
861012102,STM,STMICROELECTRONICS N V,66.37M,3.9%,18.02M,+37.3%
682189105,ON,ON SEMICONDUCTOR CORP,77.36M,4.5%,17.84M,+30%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,130.84M,7.7%,10.93M,+9.1%
007903107,AMD,ADVANCED MICRO DEVICES INC,96.37M,5.6%,10.45M,+12.2%
55405Y100,MTSI,MACOM TECH SOLUTIONS HLDGS I,92.25M,5.4%,9.44M,+11.4%
750917106,RMBS,RAMBUS INC DEL,52.95M,3.1%,9.41M,+21.6%
171779309,CIEN,CIENA CORP,73.11M,4.3%,4.69M,+6.9%
042735100,ARW,ARROW ELECTRS INC,46.43M,2.7%,3.36M,+7.8%
67066G104,NVDA,NVIDIA CORPORATION,130.41M,7.6%,2.28M,+1.8%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,35.7M,2.1%,1.44M,+4.2%
G3323L100,FN,FABRINET,94.83M,5.6%,-2.04M,-2.1%
482480100,KLAC,KLA CORP,80.77M,4.7%,-2.59M,-3.1%
55024U109,LITE,LUMENTUM HLDGS INC,86.33M,5.1%,-5.69M,-6.2%
G8060N102,ST,SENSATA TECHNOLOGIES HLDG PL,31.93M,1.9%,-7.26M,-18.5%
01749D105,ALGM,ALLEGRO MICROSYSTEMS INC,46.89M,2.7%,-19.17M,-29%
11135F101,AVGO,BROADCOM INC,103.95M,6.1%,-20.38M,-16.4%
032095101,APH,AMPHENOL CORP NEW,93.11M,5.5%,-23.13M,-19.9%
05464C101,AXON,AXON ENTERPRISE INC,57.51M,3.4%,-31.9M,-35.7%
86800U302,SMCI,SUPER MICRO COMPUTER INC,0,0%,-32.28M,CLOSE
04626A103,ALAB,ASTERA LABS INC,0,0%,-42.19M,CLOSE
038222105,AMAT,APPLIED MATLS INC,0,0%,-47.36M,CLOSE
871607107,SNPS,SYNOPSYS INC,0,0%,-67.26M,CLOSE
Total,,,1.71B,100%,471.82M,+38.2%
