CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
040413205,ANET,ARISTA NETWORKS INC,218000,218000,22.3M,22.3M,NEW,3.6%
67066G104,NVDA,NVIDIA CORPORATION,151000,96500,23.8M,15.21M,+177.1%,3.9%
594918104,MSFT,MICROSOFT CORP,42000,30300,20.88M,15.07M,+259%,3.4%
00827B106,AFRM,AFFIRM HLDGS INC,197000,197000,13.53M,13.53M,NEW,2.2%
05605H100,BWXT,BWX TECHNOLOGIES INC,85000,85000,12.25M,12.25M,NEW,2%
444859102,HUM,HUMANA INC,50000,50000,12.22M,12.22M,NEW,2%
81762P102,NOW,SERVICENOW INC,11500,11500,11.82M,11.82M,NEW,1.9%
042068205,ARM,ARM HOLDINGS PLC,107500,72650,17.39M,11.75M,+208.5%,2.8%
44812J104,HUT,HUT 8 CORP,525000,525000,9.77M,9.77M,NEW,1.6%
02079K107,GOOG,ALPHABET INC,58000,55000,10.29M,9.76M,+1833.3%,1.7%
23834J201,DAVE,DAVE INC,35000,35000,9.39M,9.39M,NEW,1.5%
126650100,CVS,CVS HEALTH CORP,110000,110000,7.59M,7.59M,NEW,1.2%
81663L200,WGS,GENEDX HOLDINGS CORP,80000,80000,7.38M,7.38M,NEW,1.2%
30303M102,META,META PLATFORMS INC,9500,9500,7.01M,7.01M,NEW,1.1%
G6683N103,NU,NU HLDGS LTD,500000,500000,6.86M,6.86M,NEW,1.1%
60471A101,MIR,MIRION TECHNOLOGIES INC,463220,288220,9.97M,6.21M,+164.7%,1.6%
G5960L103,MDT,MEDTRONIC PLC,70000,70000,6.1M,6.1M,NEW,1%
023135106,AMZN,AMAZON COM INC,63000,26700,13.82M,5.86M,+73.6%,2.3%
75960P104,RELY,REMITLY GLOBAL INC,300000,300000,5.63M,5.63M,NEW,0.92%
55955D100,MGNI,MAGNITE INC,370000,214000,8.92M,5.16M,+137.2%,1.5%
98980G102,ZS,ZSCALER INC,16000,16000,5.02M,5.02M,NEW,0.82%
46429B614,SMIN,ISHARES TR,60000,60000,4.63M,4.63M,NEW,0.76%
G87052109,TEL,TE CONNECTIVITY PLC,59500,27100,10.04M,4.57M,+83.6%,1.6%
68389X105,ORCL,ORACLE CORP,100000,20000,21.86M,4.37M,+25%,3.6%
697435105,PANW,PALO ALTO NETWORKS INC,19500,19500,3.99M,3.99M,NEW,0.65%
861012102,STM,STMICROELECTRONICS N V,130000,130000,3.97M,3.97M,NEW,0.65%
767292105,RIOT,RIOT PLATFORMS INC,325000,325000,3.67M,3.67M,NEW,0.6%
10950A106,BTSG,BRIGHTSPRING HEALTH SVCS INC,150000,150000,3.54M,3.54M,NEW,0.58%
Y2573F102,FLEX,FLEX LTD,68000,68000,3.39M,3.39M,NEW,0.55%
219350105,GLW,CORNING INC,152000,62000,7.99M,3.26M,+68.9%,1.3%
