CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
573874104,MRVL,MARVELL TECHNOLOGY INC,24581,24397,1.9M,1.89M,+13259.2%,2.3%
02079K305,GOOGL,ALPHABET INC,17110,8236,3.02M,1.45M,+92.8%,3.6%
464287200,IVV,ISHARES TR,3314,2032,2.06M,1.26M,+158.5%,2.5%
464287671,IUSG,ISHARES TR,6494,6494,976.7K,976.7K,NEW,1.2%
464287408,IVE,ISHARES TR,4353,3708,850.66K,724.62K,+574.9%,1%
46432F842,IEFA,ISHARES TR,8552,7348,713.92K,613.41K,+610.3%,0.86%
464288240,ACWX,ISHARES TR,9769,8570,595.32K,522.26K,+714.8%,0.71%
45782C730,UJUN,INNOVATOR ETFS TRUST,14185,14185,505.26K,505.26K,NEW,0.61%
69420N858,PBJN,PGIM ROCK ETF TR,17714,17714,504.63K,504.63K,NEW,0.6%
00888H737,JUNW,AIM ETF PRODUCTS TRUST,15809,15809,503.72K,503.72K,NEW,0.6%
46434G103,IEMG,ISHARES INC,9769,8048,586.43K,483.12K,+467.6%,0.7%
037833100,AAPL,APPLE INC,17195,1649,3.53M,338.33K,+10.6%,4.2%
67066G104,NVDA,NVIDIA CORPORATION,2465,1999,389.44K,315.82K,+429%,0.47%
023135106,AMZN,AMAZON COM INC,4066,1362,892.04K,298.81K,+50.4%,1.1%
46434V613,IUSB,ISHARES TR,6377,6377,294.81K,294.81K,NEW,0.35%
594918104,MSFT,MICROSOFT CORP,3590,523,1.79M,260.15K,+17.1%,2.1%
482480100,KLAC,KLA CORP,253,253,226.62K,226.62K,NEW,0.27%
78463X202,FEZ,SPDR INDEX SHS FDS,3397,3397,202.9K,202.9K,NEW,0.24%
90353T100,UBER,UBER TECHNOLOGIES INC,2130,2082,198.73K,194.25K,+4337.5%,0.24%
464287507,IJH,ISHARES TR,3740,3015,231.96K,186.99K,+415.9%,0.28%
464287226,AGG,ISHARES TR,1753,1753,173.9K,173.9K,NEW,0.21%
57636Q104,MA,MASTERCARD INCORPORATED,309,309,173.64K,173.64K,NEW,0.21%
