CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
37637K108,GTLB,GITLAB INC,564183,124930,25.45M,5.64M,+28.4%,2.6%
M5216V106,GLBE,GLOBAL E ONLINE LTD,1079377,42610,36.2M,1.43M,+4.1%,3.8%
92537N108,VRT,VERTIV HOLDINGS CO,2300,2300,295.34K,295.34K,NEW,0.03%
11135F101,AVGO,BROADCOM INC,1040,1040,286.7K,286.7K,NEW,0.03%
92206C102,VGSH,VANGUARD SCOTTSDALE FDS,27389,2470,1.61M,145.19K,+9.9%,0.17%
36168Q104,GFL,GFL ENVIRONMENTAL INC,419678,1800,21.18M,90.83K,+0.4%,2.2%
090043100,BILL,BILL HOLDINGS INC,14726,856,681.23K,39.6K,+6.2%,0.07%
29444U700,EQIX,EQUINIX INC,37662,34,29.96M,27.05K,+0.1%,3.1%
717081103,PFE,PFIZER INC,9766,18,236.73K,436.32,+0.2%,0.02%
594918104,MSFT,MICROSOFT CORP,25775,0,12.82M,0,NO CHANGE,1.3%
084670108,BRKA,BERKSHIRE HATHAWAY INC DEL,10,0,7.29M,0,NO CHANGE,0.76%
084670207,BRKB,BERKSHIRE HATHAWAY Cl B,10450,0,5.08M,0,NO CHANGE,0.53%
02079K305,GOOGL,ALPHABET INC,19320,0,3.4M,0,NO CHANGE,0.35%
478160104,JNJ,JOHNSON & JOHNSON,14943,0,2.28M,0,NO CHANGE,0.24%
00287Y109,ABBV,ABBVIE INC,9614,0,1.78M,0,NO CHANGE,0.18%
25809K105,DASH,DOORDASH INC,6000,0,1.48M,0,NO CHANGE,0.15%
68389X105,ORCL,ORACLE CORP,6585,0,1.44M,0,NO CHANGE,0.15%
30231G102,XOM,EXXON MOBIL CORP,12549,0,1.35M,0,NO CHANGE,0.14%
002824100,ABT,ABBOTT LABS,9894,0,1.35M,0,NO CHANGE,0.14%
00724F101,ADBE,ADOBE INC,3200,0,1.24M,0,NO CHANGE,0.13%
22160K105,COST,COSTCO WHSL CORP NEW,1024,0,1.01M,0,NO CHANGE,0.11%
254687106,DIS,DISNEY WALT CO,6289,0,779.9K,0,NO CHANGE,0.08%
58933Y105,MRK,MERCK & CO INC,8158,0,645.79K,0,NO CHANGE,0.07%
67066G104,NVDA,NVIDIA CORPORATION,3920,0,619.32K,0,NO CHANGE,0.06%
30303M102,META,META PLATFORMS INC,765,0,564.64K,0,NO CHANGE,0.06%
025816109,AXP,AMERICAN EXPRESS CO,1735,0,553.43K,0,NO CHANGE,0.06%
78462F103,SPY,SPDR S&P 500 ETF TR,839,0,518.38K,0,NO CHANGE,0.05%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,1400,0,431.76K,0,NO CHANGE,0.04%
125523100,CI,THE CIGNA GROUP,1080,0,357.03K,0,NO CHANGE,0.04%
17275R102,CSCO,CISCO SYS INC,4265,0,295.91K,0,NO CHANGE,0.03%
665859104,NTRS,NORTHERN TR CORP,2250,0,285.28K,0,NO CHANGE,0.03%
931142103,WMT,WALMART INC,2535,0,247.87K,0,NO CHANGE,0.03%
922908744,VTV,VANGUARD INDEX FDS,1235,0,218.27K,0,NO CHANGE,0.02%
09581B103,OWL,BLUE OWL CAPITAL INC,1906744,-50,36.63M,-960.5,-0%,3.8%
02079K107,GOOG,ALPHABET INC,10635,-190,1.89M,-33.7K,-1.8%,0.2%
74144T108,TROW,PRICE T ROWE GROUP INC,16440,-730,1.59M,-70.44K,-4.3%,0.16%
037833100,AAPL,APPLE INC,28784,-410,5.91M,-84.12K,-1.4%,0.61%
70450Y103,PYPL,PAYPAL HLDGS INC,131264,-1550,9.76M,-115.2K,-1.2%,1%
922908769,VTI,VANGUARD INDEX FDS,11052,-665,3.36M,-202.11K,-5.7%,0.35%
747525103,QCOM,QUALCOMM INC,47389,-1338,7.55M,-213.09K,-2.7%,0.78%
285512109,EA,ELECTRONIC ARTS INC,50180,-3785,8.01M,-604.46K,-7%,0.83%
03027X100,AMT,AMERICAN TOWER CORP NEW,82633,-2830,18.26M,-625.49K,-3.3%,1.9%
679295105,OKTA,OKTA INC,252062,-6586,25.2M,-658.4K,-2.5%,2.6%
023135106,AMZN,AMAZON COM INC,516445,-3452,113.3M,-757.33K,-0.7%,11.7%
82509L107,SHOP,SHOPIFY INC,1718366,-10010,198.21M,-1.15M,-0.6%,20.5%
09239B109,BL,BLACKLINE INC,174012,-48977,9.85M,-2.77M,-22%,1%
00912X302,AL,AIR LEASE CORP,595023,-73395,34.8M,-4.29M,-11%,3.6%
64110L106,NFLX,NETFLIX INC,245588,-3944,328.87M,-5.28M,-1.6%,34.1%
Total,,,,,965.13M,-8.92M,-0.9%,100%
