CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,34.82M,4.2%,34.82M,NEW
92537N108,VRT,VERTIV HOLDINGS CO,30.82M,3.7%,30.82M,NEW
127190304,CACI,CACI INTL INC,41.43M,5%,27.6M,+199.7%
876030107,TPR,TAPESTRY INC,41.52M,5%,27.47M,+195.5%
90138F102,TWLO,TWILIO INC,53.27M,6.4%,27.15M,+104%
67066G104,NVDA,NVIDIA CORPORATION,25.1M,3%,25.1M,NEW
G8068L108,SN,SHARKNINJA INC,24.77M,3%,24.77M,NEW
81141R100,SE,SEA LTD,75.73M,9.1%,24.55M,+48%
92826C839,V,VISA INC,29.72M,3.6%,18.89M,+174.5%
199908104,FIX,COMFORT SYS USA INC,71.75M,8.7%,18.13M,+33.8%
40090E106,CIB,GRUPO CIBEST SA,16.17M,2%,16.17M,NEW
87256C101,TKO,TKO GROUP HOLDINGS INC,63.24M,7.6%,15.93M,+33.7%
896945201,TRIP,TRIPADVISOR INC,15.69M,1.9%,15.69M,NEW
91332U101,U,UNITY SOFTWARE INC,14.1M,1.7%,14.1M,NEW
023135106,AMZN,AMAZON COM INC,57.55M,6.9%,13.67M,+31.2%
G4124C109,GRAB,GRAB HOLDINGS LIMITED,13.1M,1.6%,13.1M,NEW
G25508105,CRH,CRH PLC,34.64M,4.2%,12.35M,+55.4%
679295105,OKTA,OKTA INC,25.27M,3.1%,11.28M,+80.6%
55955D100,MGNI,MAGNITE INC,6.87M,0.83%,6.87M,NEW
042735100,ARW,ARROW ELECTRS INC,21.09M,2.5%,6.24M,+42%
52603B107,TREE,LENDINGTREE INC NEW,14.18M,1.7%,3.04M,+27.3%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,25.25M,3%,504.64K,+2%
G66721104,NCLH,NORWEGIAN CRUISE LINE HLDG L,0,0%,-5.69M,CLOSE
77543R102,ROKU,ROKU INC,0,0%,-7.75M,CLOSE
05968L102,CIB,BANCOLOMBIA S A,0,0%,-8.13M,CLOSE
65249B109,NWSA,NEWS CORP NEW,10.3M,1.2%,-8.14M,-44.1%
770700102,HOOD,ROBINHOOD MKTS INC,0,0%,-8.32M,CLOSE
30303M102,META,META PLATFORMS INC,19.34M,2.3%,-10.19M,-34.5%
038222105,AMAT,APPLIED MATLS INC,0,0%,-10.88M,CLOSE
55306N104,MKSI,MKS INC.,18.6M,2.2%,-16.7M,-47.3%
368736104,GNRC,GENERAC HLDGS INC,0,0%,-17.32M,CLOSE
595112103,MU,MICRON TECHNOLOGY INC,0,0%,-17.38M,CLOSE
67059N108,NTNX,NUTANIX INC,0,0%,-20.49M,CLOSE
073685109,BECN,BEACON ROOFING SUPPLY INC,0,0%,-24.74M,CLOSE
144285103,CRS,CARPENTER TECHNOLOGY CORP,44.22M,5.3%,-24.87M,-36%
Total,,,828.52M,100%,304.77M,+58.2%
