CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
90353T100,UBER,Uber Technologies Inc,79.13M,5.2%,79.13M,NEW
759916109,RGEN,Repligen Corp,35.78M,2.3%,35.78M,NEW
03990B101,ARES,Ares Management Corp,71.1M,4.7%,31.75M,+80.7%
601137102,MRP,Millrose Properties Inc,34.19M,2.2%,17.36M,+103.2%
874039100,TSM,Taiwan Semiconductor Manufactu,118.74M,7.8%,12.51M,+11.8%
808513105,SCHW,Charles Schwab Corp/The,40.61M,2.7%,10.17M,+33.4%
235851102,DHR,Danaher Corp,78.5M,5.1%,10.1M,+14.8%
91324P102,UNH,UnitedHealth Group Inc,32.56M,2.1%,8.49M,+35.3%
03769M106,APO,Apollo Global Management Inc,96.69M,6.3%,8.23M,+9.3%
718172109,PM,Philip Morris International In,95.59M,6.3%,8.23M,+9.4%
57636Q104,MA,Mastercard Inc,33.43M,2.2%,4M,+13.6%
512807306,LRCX,Lam Research Corp,182.95M,12%,3.45M,+1.9%
11135F101,AVGO,Broadcom Inc,164.29M,10.8%,-6.39M,-3.7%
594918104,MSFT,Microsoft Corp,0,0%,-8.07M,CLOSE
92826C839,V,Visa Inc,38.53M,2.5%,-10.5M,-21.4%
771049103,RBLX,ROBLOX Corp,37.55M,2.5%,-23.8M,-38.8%
G3643J108,FLUT,Flutter Entertainment PLC,60.47M,4%,-23.95M,-28.4%
093671105,HRB,H&R Block Inc,4.77M,0.31%,-26.01M,-84.5%
67066G104,NVDA,NVIDIA Corp,199.78M,13.1%,-27.89M,-12.2%
92537N108,VRT,Vertiv Holdings Co,65.35M,4.3%,-28.66M,-30.5%
68389X105,ORCL,Oracle Corp,57.69M,3.8%,-29.48M,-33.8%
526057104,LEN,Lennar Corp,0,0%,-39.34M,CLOSE
30303M102,META,Meta Platforms Inc,0,0%,-52.06M,CLOSE
Total,,,1.53B,100%,292.55M,+23.7%
