CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
M5216V106,GLBE,GLOBAL E ONLINE LTD,185.05M,10.4%,103.42M,+126.7%
20717M103,CFLT,CONFLUENT INC,108.48M,6.1%,51.59M,+90.7%
68213N109,OMCL,OMNICELL COM,48.89M,2.7%,48.89M,NEW
80810D103,SDGR,SCHRODINGER INC,61.28M,3.4%,39.05M,+175.7%
302492103,FLYW,FLYWIRE CORPORATION,114.15M,6.4%,31.9M,+38.8%
46266C105,IQV,IQVIA HLDGS INC,102.8M,5.8%,19.75M,+23.8%
G3643J108,FLUT,FLUTTER ENTMT PLC,17.5M,0.98%,17.5M,NEW
226718104,CRTO,CRITEO S A,119.87M,6.7%,13.19M,+12.4%
74346Y103,PRO,PROS HOLDINGS INC,10.81M,0.61%,10.81M,NEW
26142V105,DKNG,DRAFTKINGS INC NEW,7.29M,0.41%,7.29M,NEW
87357P100,TCMD,TACTILE SYS TECHNOLOGY INC,23.42M,1.3%,1.76M,+8.1%
229050307,CYRX,CRYOPORT INC,37.07M,2.1%,-95.5K,-0.3%
21873S108,CRWV,COREWEAVE INC,0,0%,-1.48M,CLOSE
74766W108,QUBT,QUANTUM COMPUTING INC,0,0%,-2.16M,CLOSE
57777K106,MXCT,MAXCYTE INC,19.43M,1.1%,-2.43M,-11.1%
30050B101,EVH,EVOLENT HEALTH INC,117.38M,6.6%,-4.17M,-3.4%
00091G104,ACVA,ACV AUCTIONS INC,55.17M,3.1%,-4.49M,-7.5%
85209W109,SPT,SPROUT SOCIAL INC,99.77M,5.6%,-6.06M,-5.7%
48238T109,KAR,OPENLANE INC,51.48M,2.9%,-6.28M,-10.9%
443573100,HUBS,HUBSPOT INC,24.05M,1.3%,-8.03M,-25%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,116.55M,6.5%,-18.49M,-13.7%
398905109,GPI,GROUP 1 AUTOMOTIVE INC,0,0%,-20.37M,CLOSE
69913P105,FNA,PARAGON 28 INC,0,0%,-27.1M,CLOSE
536797103,LAD,LITHIA MTRS INC,0,0%,-33.06M,CLOSE
67059N108,NTNX,NUTANIX INC,91.78M,5.1%,-40.21M,-30.5%
10576N102,BRZE,BRAZE INC,74.51M,4.2%,-53.53M,-41.8%
912008109,USFD,US FOODS HLDG CORP,0,0%,-57.57M,CLOSE
75960P104,RELY,REMITLY GLOBAL INC,0,0%,-62.46M,CLOSE
M7S64H106,MNDY,MONDAY COM LTD,0,0%,-69.02M,CLOSE
40131M109,GH,GUARDANT HEALTH INC,165.45M,9.3%,-73.68M,-30.8%
070830104,BBWI,BATH & BODY WORKS INC,0,0%,-79.6M,CLOSE
72703H101,PLNT,PLANET FITNESS INC,0,0%,-90.13M,CLOSE
77543R102,ROKU,ROKU INC,84.01M,4.7%,-99.4M,-54.2%
N14506104,ESTC,ELASTIC N V,49.2M,2.8%,-165.8M,-77.1%
Total,,,1.79B,100%,-551.85M,-23.6%
