CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
037833100,AAPL,APPLE INC,1313784,1313784,269.55M,269.55M,NEW,3%
67066G104,NVDA,NVIDIA CORPORATION,1816951,1651051,287.06M,260.85M,+995.2%,3.2%
91324P102,UNH,UNITEDHEALTH GROUP INC,629462,481338,196.37M,150.16M,+325%,2.2%
166764100,CVX,CHEVRON CORP NEW,866791,580623,124.12M,83.14M,+202.9%,1.4%
580135101,MCD,MCDONALDS CORP,274474,274474,80.19M,80.19M,NEW,0.89%
02079K305,GOOGL,ALPHABET INC,1152894,386588,203.17M,68.13M,+50.4%,2.2%
478160104,JNJ,JOHNSON & JOHNSON,459878,439804,70.25M,67.18M,+2190.9%,0.78%
146869102,CVNA,CARVANA CO,227102,179526,76.52M,60.49M,+377.3%,0.84%
02209S103,MO,ALTRIA GROUP INC,1288655,957001,75.55M,56.11M,+288.6%,0.83%
88160R101,TSLA,TESLA INC,174462,174462,55.42M,55.42M,NEW,0.61%
00287Y109,ABBV,ABBVIE INC,276704,276704,51.36M,51.36M,NEW,0.57%
337738108,FI,FISERV INC,291856,291856,50.32M,50.32M,NEW,0.56%
713448108,PEP,PEPSICO INC,944588,372173,124.72M,49.14M,+65%,1.4%
20030N101,CMCSA,COMCAST CORP NEW,1850378,1371460,66.04M,48.95M,+286.4%,0.73%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,131832,110073,53.45M,44.63M,+505.9%,0.59%
75734B100,RDDT,REDDIT INC,468136,264392,70.49M,39.81M,+129.8%,0.78%
464286400,EWZ,ISHARES INC,1370261,1370261,39.53M,39.53M,NEW,0.44%
74967X103,RH,RH,192025,192025,36.29M,36.29M,NEW,0.4%
46120E602,ISRG,INTUITIVE SURGICAL INC,66075,55796,35.91M,30.32M,+542.8%,0.4%
718546104,PSX,PHILLIPS 66,283578,248061,33.83M,29.59M,+698.4%,0.37%
03743Q108,APA,APA CORPORATION,1713899,1525539,31.35M,27.9M,+809.9%,0.35%
548661107,LOW,LOWES COS INC,141609,123637,31.42M,27.43M,+687.9%,0.35%
98138H101,WDAY,WORKDAY INC,154791,113534,37.15M,27.25M,+275.2%,0.41%
90138F102,TWLO,TWILIO INC,219052,219052,27.24M,27.24M,NEW,0.3%
444859102,HUM,HUMANA INC,127292,106489,31.12M,26.03M,+511.9%,0.34%
008474108,AEM,AGNICO EAGLE MINES LTD,208525,208525,24.8M,24.8M,NEW,0.27%
60770K107,MRNA,MODERNA INC,1397477,895400,38.56M,24.7M,+178.3%,0.43%
31428X106,FDX,FEDEX CORP,169762,106841,38.59M,24.29M,+169.8%,0.43%
049468101,TEAM,ATLASSIAN CORPORATION,193188,118587,39.23M,24.08M,+159%,0.43%
143130102,KMX,CARMAX INC,358317,358317,24.08M,24.08M,NEW,0.27%
98978V103,ZTS,ZOETIS INC,475590,148814,74.17M,23.21M,+45.5%,0.82%
988498101,YUM,YUM BRANDS INC,203482,151473,30.15M,22.45M,+291.2%,0.33%
679580100,ODFL,OLD DOMINION FREIGHT LINE IN,137723,137723,22.35M,22.35M,NEW,0.25%
911312106,UPS,UNITED PARCEL SERVICE INC,233956,218604,23.62M,22.07M,+1423.9%,0.26%
084670702,BRKB,BERKSHIRE HATHAWAY INC DEL,43551,43551,21.16M,21.16M,NEW,0.23%
