CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
67066G104,NVDA,NVIDIA CORPORATION,22.51B,4.5%,7.3B,+48%
532457108,LLY,ELI LILLY & CO,16.18B,3.2%,3.9B,+31.8%
855244109,SBUX,STARBUCKS CORP,7.03B,1.4%,3.78B,+116.5%
040413205,ANET,ARISTA NETWORKS INC,1.99B,0.4%,1.4B,+236.3%
25746U109,D,DOMINION ENERGY INC,2.53B,0.51%,1.23B,+94.1%
00206R102,T,AT&T INC,1.89B,0.38%,1.21B,+180.2%
595017104,MCHP,MICROCHIP TECHNOLOGY INC.,1.1B,0.22%,1.1B,NEW
406216101,HAL,HALLIBURTON CO,1.02B,0.2%,1.02B,+302916.2%
517834107,LVS,LAS VEGAS SANDS CORP,2.14B,0.43%,959.9M,+81%
68389X105,ORCL,ORACLE CORP,5.04B,1%,881.88M,+21.2%
146869102,CVNA,CARVANA CO,1.34B,0.27%,853.22M,+176%
949746101,WFC,WELLS FARGO CO NEW,2.41B,0.48%,799.16M,+49.6%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,8.1B,1.6%,794.72M,+10.9%
65339F101,NEE,NEXTERA ENERGY INC,1.02B,0.2%,778.71M,+323.1%
743315103,PGR,PROGRESSIVE CORP,2.36B,0.47%,746.25M,+46.2%
571748102,MMC,MARSH & MCLENNAN COS INC,2.14B,0.43%,702.12M,+48.8%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,7.17B,1.4%,699.83M,+10.8%
038222105,AMAT,APPLIED MATLS INC,837.09M,0.17%,696.07M,+493.6%
48251W104,KKR,KKR & CO INC,997.42M,0.2%,691.75M,+226.3%
88160R101,TSLA,TESLA INC,2.93B,0.59%,679.89M,+30.2%
46625H100,JPM,JPMORGAN CHASE & CO.,6.81B,1.4%,611.7M,+9.9%
11135F101,AVGO,BROADCOM INC,25.23B,5.1%,571.98M,+2.3%
460146103,IP,INTERNATIONAL PAPER CO,2.37B,0.47%,463.47M,+24.3%
09290D101,BLK,BLACKROCK INC,4.05B,0.81%,444.88M,+12.4%
125523100,CI,THE CIGNA GROUP,437.49M,0.09%,437.16M,+132240.4%
260557103,DOW,DOW INC,694.56M,0.14%,369.28M,+113.5%
136385101,CNQ,CANADIAN NAT RES LTD,3.5B,0.7%,354.7M,+11.3%
14040H105,COF,CAPITAL ONE FINL CORP,1.73B,0.35%,328.66M,+23.5%
871829107,SYY,SYSCO CORP,1.39B,0.28%,317.66M,+29.7%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,2.44B,0.49%,291.44M,+13.6%
09260D107,BX,BLACKSTONE INC,476.15M,0.1%,291M,+157.2%
92826C839,V,VISA INC,654.69M,0.13%,281.76M,+75.6%
64110L106,NFLX,NETFLIX INC,6.34B,1.3%,275.84M,+4.5%
G8267P108,SW,SMURFIT WESTROCK PLC,1.19B,0.24%,269.24M,+29.1%
03769M106,APO,APOLLO GLOBAL MGMT INC,1.28B,0.26%,267.73M,+26.5%
025816109,AXP,AMERICAN EXPRESS CO,1.41B,0.28%,264.16M,+23%
03662Q105,ANSS,ANSYS INC,984.34M,0.2%,251.11M,+34.2%
427866108,HSY,HERSHEY CO,249.64M,0.05%,249.34M,+83473.5%
893641100,TDG,TRANSDIGM GROUP INC,3.05B,0.61%,242.44M,+8.6%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,747.28M,0.15%,237.07M,+46.5%
723484101,PNW,PINNACLE WEST CAP CORP,1.35B,0.27%,235.3M,+21.1%
01741R102,ATI,ATI INC,278.44M,0.06%,226.38M,+434.9%
316773100,FITB,FIFTH THIRD BANCORP,223.07M,0.04%,223.07M,NEW
149123101,CAT,CATERPILLAR INC,1.67B,0.33%,219.96M,+15.2%
192446102,CTSH,COGNIZANT TECHNOLOGY SOLUTIO,471.04M,0.09%,218.93M,+86.8%
G93A5A101,VIK,VIKING HOLDINGS LTD,1.72B,0.34%,216.92M,+14.5%
65339F119,NEEPRT,NEXTERA ENERGY INC,188.57M,0.04%,188.57M,NEW
191216100,KO,COCA COLA CO,1.25B,0.25%,169.95M,+15.8%
032095101,APH,AMPHENOL CORP NEW,740.8M,0.15%,167.5M,+29.2%
01749D105,ALGM,ALLEGRO MICROSYSTEMS INC,543.77M,0.11%,165.53M,+43.8%
594972408,MSTR,MICROSTRATEGY INC,1.27B,0.25%,164.19M,+14.8%
911363109,URI,UNITED RENTALS INC,2.55B,0.51%,160.72M,+6.7%
25278X109,FANG,DIAMONDBACK ENERGY INC,378.18M,0.08%,158.17M,+71.9%
110448107,BTI,BRITISH AMERN TOB PLC,1.02B,0.2%,151.47M,+17.5%
595017302,MCHPP,MICROCHIP TECHNOLOGY INC.,149.75M,0.03%,149.75M,NEW
478160104,JNJ,JOHNSON & JOHNSON,517.43M,0.1%,142.06M,+37.8%
744573106,PEG,PUBLIC SVC ENTERPRISE GRP IN,644.44M,0.13%,137.34M,+27.1%
70450Y103,PYPL,PAYPAL HLDGS INC,2.03B,0.41%,129.9M,+6.8%
693718108,PCAR,PACCAR INC,471.69M,0.09%,125.35M,+36.2%
16935C109,CHYM,CHIME FINL INC,124.92M,0.03%,124.92M,NEW
38141G104,GS,GOLDMAN SACHS GROUP INC,160.07M,0.03%,123.32M,+335.6%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,346.87M,0.07%,116.41M,+50.5%
595112103,MU,MICRON TECHNOLOGY INC,2.18B,0.44%,115.79M,+5.6%
62944T105,NVR,NVR INC,909.37M,0.18%,112.73M,+14.2%
705573103,PEGA,PEGASYSTEMS INC,215.07M,0.04%,107.53M,+100%
351858105,FNV,FRANCO NEV CORP,103.83M,0.02%,103.83M,NEW
465562106,ITUB4,ITAU UNIBANCO HLDG S A,196.08M,0.04%,103.08M,+110.8%
902653104,UDR,UDR INC,655.85M,0.13%,102.42M,+18.5%
148929102,CAVA,CAVA GROUP INC,435.06M,0.09%,99.47M,+29.6%
48268K101,KT,KT CORP,96.16M,0.02%,96.16M,NEW
89055F103,BLD,TOPBUILD CORP,1.11B,0.22%,93.36M,+9.2%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,306.99M,0.06%,92.52M,+43.1%
051774107,AUR,AURORA INNOVATION INC,274.98M,0.06%,92.05M,+50.3%
806857108,SLB,SCHLUMBERGER LTD,304.4M,0.06%,91.69M,+43.1%
903731107,ULS,UL SOLUTIONS INC,238.17M,0.05%,90.47M,+61.3%
