CUSIP,Ticker,Company,Shares,Value,Delta_Value,Delta,Portfolio%
023135106,AMZN,AMAZON COM INC,582440,127.78M,127.78M,NEW,4.2%
46284V101,IRM,IRON MTN INC DEL,2335348,239.54M,93.14M,+63.6%,7.8%
83304A106,SNAP,SNAP INC,10634000,92.41M,92.41M,NEW,3%
91680M107,UPST,UPSTART HLDGS INC,1387200,89.72M,89.72M,NEW,2.9%
98956A105,ZETA,ZETA GLOBAL HOLDINGS CORP,4771000,73.9M,73.9M,NEW,2.4%
090043100,BILL,BILL HOLDINGS INC,2962367,137.04M,70.73M,+106.7%,4.5%
531229755,FWONK,LIBERTY MEDIA CORP DEL,465969,48.69M,48.69M,NEW,1.6%
256163106,DOCU,DOCUSIGN INC,623503,48.56M,48.56M,NEW,1.6%
19260Q107,COIN,COINBASE GLOBAL INC,129965,45.55M,45.55M,NEW,1.5%
26622P107,DOCS,DOXIMITY INC,730984,44.84M,44.84M,NEW,1.5%
11135F101,AVGO,BROADCOM INC,431706,119M,44.44M,+59.6%,3.9%
72352L106,PINS,PINTEREST INC,4202230,150.69M,32.77M,+27.8%,4.9%
G3643J108,FLUT,FLUTTER ENTMT PLC,264965,75.72M,31.75M,+72.2%,2.5%
051774107,AUR,AURORA INNOVATION INC,4925108,25.81M,25.81M,NEW,0.84%
74736K101,QRVO,QORVO INC,2368650,201.12M,23.24M,+13.1%,6.6%
M5216V106,GLBE,GLOBAL E ONLINE LTD,3800130,127.46M,22.84M,+21.8%,4.2%
852234103,XYZ,BLOCK INC,3624813,246.23M,19.72M,+8.7%,8.1%
896239100,TRMB,TRIMBLE INC,3789049,287.89M,14.33M,+5.2%,9.4%
G61188127,LBTYK,LIBERTY GLOBAL LTD,1772493,18.27M,10.13M,+124.3%,0.6%
G61188101,LBTYA,LIBERTY GLOBAL LTD,4107411,41.12M,7.94M,+23.9%,1.3%
65249B109,NWSA,NEWS CORP NEW,5152190,153.12M,2.82M,+1.9%,5%
76680R206,RNG,RINGCENTRAL INC,1910423,54.16M,1.89M,+3.6%,1.8%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,843442,204.83M,-6.91M,-3.3%,6.7%
37940X102,GPN,GLOBAL PMTS INC,1232444,98.64M,-12.96M,-11.6%,3.2%
94419L101,W,WAYFAIR INC,0,0,-14.59M,CLOSE,0%
24703L202,DELL,DELL TECHNOLOGIES INC,0,0,-28.52M,CLOSE,0%
83001C108,FUN,SIX FLAGS ENTERTAINMENT CORP,2829517,86.1M,-31.6M,-26.8%,2.8%
30303M102,META,META PLATFORMS INC,76432,56.41M,-31.79M,-36%,1.8%
98954M200,Z,ZILLOW GROUP INC,0,0,-43.81M,CLOSE,0%
03831W108,APP,APPLOVIN CORP,0,0,-45.27M,CLOSE,0%
882508104,TXN,TEXAS INSTRS INC,0,0,-50.9M,CLOSE,0%
573874104,MRVL,MARVELL TECHNOLOGY INC,0,0,-55.79M,CLOSE,0%
67059N108,NTNX,NUTANIX INC,305900,23.38M,-55.94M,-70.5%,0.76%
26142V105,DKNG,DRAFTKINGS INC NEW,1166795,50.04M,-57.25M,-53.4%,1.6%
12514G108,CDW,CDW CORP,0,0,-64.51M,CLOSE,0%
146869102,CVNA,CARVANA CO,267586,90.17M,-126.54M,-58.4%,2.9%
Total,,,,3.06B,659.5M,+27.5%,100%
