CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
20459V105,GPGI,COMPOSECURE INC,2868851,1038070,40.42M,14.63M,+56.7%,7.7%
595112103,MU,MICRON TECHNOLOGY INC,10000,10000,1.23M,1.23M,NEW,0.24%
14040H105,COF,CAPITAL ONE FINL CORP,4981,4981,1.06M,1.06M,NEW,0.2%
023135106,AMZN,AMAZON COM INC,4500,4500,987.25K,987.25K,NEW,0.19%
15101Q207,CLS,CELESTICA INC,6000,6000,936.66K,936.66K,NEW,0.18%
970646105,WLFC,WILLIS LEASE FIN CORP,6000,6000,856.68K,856.68K,NEW,0.16%
67066G104,NVDA,NVIDIA CORPORATION,5000,5000,789.95K,789.95K,NEW,0.15%
Y1968P121,DAC,DANAOS CORPORATION,14000,9000,1.21M,776.16K,+180%,0.23%
92835K103,VPG,VISHAY PRECISION GROUP INC,25000,25000,702.5K,702.5K,NEW,0.13%
88160R101,TSLA,TESLA INC,2137,2137,678.84K,678.84K,NEW,0.13%
G4R103107,NKLR,GSR III ACQUISITION CORP,60212,60212,649.69K,649.69K,NEW,0.12%
36166F100,GBFH,GBANK FINL HLDGS INC,17534,17534,620.88K,620.88K,NEW,0.12%
770700102,HOOD,ROBINHOOD MKTS INC,6000,6000,561.78K,561.78K,NEW,0.11%
110448107,BTI,BRITISH AMERN TOB PLC,11000,11000,520.63K,520.63K,NEW,0.1%
358010106,FEIM,FREQUENCY ELECTRS INC,22500,22500,510.98K,510.98K,NEW,0.1%
G9456A100,GLNG,GOLAR LNG LTD,12000,12000,494.28K,494.28K,NEW,0.09%
40609P105,HNRG,HALLADOR ENERGY COMPANY,30000,30000,474.9K,474.9K,NEW,0.09%
573874104,MRVL,MARVELL TECHNOLOGY INC,6000,6000,464.4K,464.4K,NEW,0.09%
87876P201,TGEN,TECOGEN INC NEW,67760,67760,460.77K,460.77K,NEW,0.09%
007903107,AMD,ADVANCED MICRO DEVICES INC,2500,2500,354.75K,354.75K,NEW,0.07%
88822Q103,TIPT,TIPTREE INC,15000,15000,353.7K,353.7K,NEW,0.07%
03748R747,AIV,APARTMENT INVT & MGMT CO,40291,40291,348.52K,348.52K,NEW,0.07%
675746606,ONIT,ONITY GROUP INC,14000,9000,534.38K,343.53K,+180%,0.1%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,54858,20000,936.43K,341.4K,+57.4%,0.18%
G29018101,DLO,DLOCAL LTD,30000,30000,340.2K,340.2K,NEW,0.07%
724479100,PBI,PITNEY BOWES INC,110476,30000,1.21M,327.3K,+37.3%,0.23%
M87095309,SPCB,SUPERCOM LTD NEW,30000,30000,311.4K,311.4K,NEW,0.06%
767292105,RIOT,RIOT PLATFORMS INC,25000,25000,282.5K,282.5K,NEW,0.05%
003881307,ACTG,ACACIA RESH CORP,78279,78279,280.24K,280.24K,NEW,0.05%
911163103,UNFI,UNITED NAT FOODS INC,12000,12000,279.72K,279.72K,NEW,0.05%
464287481,IWP,ISHARES TR,18000,2000,2.5M,277.36K,+12.5%,0.48%
N97284108,NBIS,NEBIUS GROUP N.V.,38509,5000,2.13M,276.65K,+14.9%,0.41%
602566309,MIND,MIND TECHNOLOGY INC,32536,32536,274.6K,274.6K,NEW,0.05%
81720R604,SNES,SENESTECH INC,50049,50049,254.75K,254.75K,NEW,0.05%
Q4982L109,IREN,IREN LIMITED,127604,15000,1.86M,218.55K,+13.3%,0.36%
25380B102,DGXX,DIGI PWR X INC,76824,76824,215.88K,215.87K,NEW,0.04%
04302A104,AIP,ARTERIS INC,22557,22557,214.97K,214.97K,NEW,0.04%
714167103,PPIH,PERMA-PIPE INTL HLDGS INC,9374,9374,214.38K,214.38K,NEW,0.04%
156727109,CRNC,CERENCE INC,20000,20000,204.2K,204.2K,NEW,0.04%
29382R107,EVC,ENTRAVISION COMMUNICATIONS C,100985,74785,234.28K,173.5K,+285.4%,0.04%
65345N106,NN,NEXTNAV INC,67777,10000,1.03M,152K,+17.3%,0.2%
M51474118,GILT,GILAT SATELLITE NETWORKS LTD,20000,20000,141.8K,141.8K,NEW,0.03%
G7997W102,SDRL,SEADRILL LTD,12000,5000,315K,131.25K,+71.4%,0.06%
98923T104,ZDGE,ZEDGE INC,31870,31870,127.8K,127.8K,NEW,0.02%
19188U206,CODA,CODA OCTOPUS GROUP INC,15579,15579,127.44K,127.44K,NEW,0.02%
G6065C113,MFI,MF INTL LTD,20926,20926,126.81K,126.81K,NEW,0.02%
G3R239101,GAMB,GAMBLING COM GROUP LIMITED,10000,10000,118.9K,118.9K,NEW,0.02%
867981102,SUNS,SUNRISE RLTY TR INC,10000,10000,106K,106K,NEW,0.02%
038169207,APLD,APPLIED DIGITAL CORP,10000,10000,100.7K,100.7K,NEW,0.02%
389375106,GTN,GRAY MEDIA INC,60877,20000,275.77K,90.6K,+48.9%,0.05%
G1144A105,BTBT,BIT DIGITAL INC,35000,35000,76.65K,76.65K,NEW,0.01%
68376D104,OPRT,OPORTUN FINL CORP,10000,10000,71.6K,71.6K,NEW,0.01%
04208T108,AHH,ARMADA HOFFLER PPTYS INC,30000,10000,206.1K,68.7K,+50%,0.04%
G4R103131,NKLR,GSR III ACQUISITION CORP,10000,10000,68.3K,68.3K,NEW,0.01%
583928106,MFIN,MEDALLION FINL CORP,47096,5900,448.82K,56.23K,+14.3%,0.09%
33833Q106,FPH,FIVE POINT HOLDINGS LLC,100021,10000,550.12K,55K,+11.1%,0.11%
60742B102,MOB,MOBILICOM LTD,20000,20000,50.4K,50.4K,NEW,<.01%
829242106,SBGI,SINCLAIR INC,13301,3000,183.82K,41.46K,+29.1%,0.04%
M5R635108,INVZ,INNOVIZ TECHNOLOGIES LTD,25000,25000,41K,41K,NEW,<.01%
765504105,RR,RICHTECH ROBOTICS INC,20000,20000,39K,39K,NEW,<.01%
205684202,CHCI,COMSTOCK HLDG COS INC,51131,3085,515.91K,31.13K,+6.4%,0.1%
277802500,BLNE,BEELINE HOLDINGS INC,20000,20000,29.6K,29.6K,NEW,<.01%
11161T207,BWEN,BROADWIND INC,16308,16308,29.52K,29.52K,NEW,<.01%
98400M200,XELB,XCEL BRANDS INC,14801,14801,26.79K,26.79K,NEW,<.01%
359523107,FTEK,FUEL TECH INC,10000,10000,25.2K,25.2K,NEW,<.01%
021513106,ALTO,ALTO INGREDIENTS INC,50500,20383,58.08K,23.44K,+67.7%,0.01%
M53637100,IINN,INSPIRA TECHNOLOGIES OXY BHN,25000,25000,21.25K,21.25K,NEW,<.01%
11271J107,BN,BROOKFIELD CORP,10000,310,618.5K,19.17K,+3.2%,0.12%
92941V308,VYNE,VYNE THERAPEUTICS INC,10000,10000,16.5K,16.5K,NEW,<.01%
Y3005A117,GNS,GENIUS GROUP LTD,10000,10000,13.6K,13.6K,NEW,<.01%
64130M209,NMTC,NEUROONE MED TECHNOLOGIES CO,18094,18094,12.27K,12.27K,NEW,<.01%
531914109,LWAY,LIFEWAY FOODS INC,14428,285,355.65K,7.03K,+2%,0.07%
78462F103,SPY,SPDR S&P 500 ETF TR,38503,0,23.79M,0,NO CHANGE,4.6%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,20548,0,9.98M,0,NO CHANGE,1.9%
76134H101,RHLD,RESOLUTE HLDGS MGMT INC,153505,0,4.89M,0,NO CHANGE,0.94%
929089100,VOYA,VOYA FINANCIAL INC,41481,0,2.95M,0,NO CHANGE,0.56%
03769M106,APO,APOLLO GLOBAL MGMT INC,16830,0,2.39M,0,NO CHANGE,0.46%
90041L105,TPB,TURNING PT BRANDS INC,24497,0,1.86M,0,NO CHANGE,0.36%
037833100,AAPL,APPLE INC,8986,0,1.84M,0,NO CHANGE,0.35%
088929104,BGC,BGC GROUP INC,137724,0,1.41M,0,NO CHANGE,0.27%
78463V107,GLD,SPDR GOLD TR,3641,0,1.11M,0,NO CHANGE,0.21%
617446448,MS,MORGAN STANLEY,7814,0,1.1M,0,NO CHANGE,0.21%
48251W104,KKR,KKR & CO INC,7832,0,1.04M,0,NO CHANGE,0.2%
366505105,GTX,GARRETT MOTION INC,92521,0,972.4K,0,NO CHANGE,0.19%
64110Y108,NLOP,NET LEASE OFFICE PROPERTIES,29314,0,954.17K,0,NO CHANGE,0.18%
87422Q109,TLN,TALEN ENERGY CORP,3240,0,942.1K,0,NO CHANGE,0.18%
N00985106,AER,AERCAP HOLDINGS NV,7950,0,930.15K,0,NO CHANGE,0.18%
077347300,BELFB,BEL FUSE INC,8932,0,872.57K,0,NO CHANGE,0.17%
03676B102,AM,ANTERO MIDSTREAM CORP,42000,0,795.9K,0,NO CHANGE,0.15%
637215104,NPK,NATIONAL PRESTO INDS INC,8021,0,785.74K,0,NO CHANGE,0.15%
12653C108,CNX,CNX RES CORP,21927,0,738.5K,0,NO CHANGE,0.14%
75513E101,RTX,RTX CORPORATION,4898,0,715.21K,0,NO CHANGE,0.14%
464287606,IJK,ISHARES TR,7833,0,712.65K,0,NO CHANGE,0.14%
82452J109,FOUR,SHIFT4 PMTS INC,6559,0,650.06K,0,NO CHANGE,0.12%
44891N208,IAC,IAC INC,17323,0,646.84K,0,NO CHANGE,0.12%
456237106,ILPT,INDUSTRIAL LOGISTICS PPTYS T,140251,0,638.14K,0,NO CHANGE,0.12%
G8726T105,TK,TEEKAY CORPORATION LTD,72738,0,600.09K,0,NO CHANGE,0.11%
25787G100,DFIN,DONNELLEY FINL SOLUTIONS INC,9655,0,595.23K,0,NO CHANGE,0.11%
G5S37H101,MRX,MAREX GROUP PLC,14932,0,589.37K,0,NO CHANGE,0.11%
683797104,OPY,OPPENHEIMER HLDGS INC,8943,0,588.18K,0,NO CHANGE,0.11%
06777U200,BNED,BARNES & NOBLE ED INC,49000,0,576.73K,0,NO CHANGE,0.11%
790148100,JOE,ST JOE CO,12000,0,572.4K,0,NO CHANGE,0.11%
47012E403,JAKK,JAKKS PAC INC,27526,0,571.99K,0,NO CHANGE,0.11%
285409108,ELMD,ELECTROMED INC,25569,0,562.26K,0,NO CHANGE,0.11%
632347100,NATH,NATHANS FAMOUS INC NEW,4748,0,525.03K,0,NO CHANGE,0.1%
55305B101,MHO,M/I HOMES INC,4597,0,515.42K,0,NO CHANGE,0.1%
G4095J109,GLRE,GREENLIGHT CAPITAL RE LTD,35602,0,511.6K,0,NO CHANGE,0.1%
298736109,EEFT,EURONET WORLDWIDE INC,5000,0,506.9K,0,NO CHANGE,0.1%
Y62267409,NMM,NAVIOS MARITIME PARTNERS L P,12959,0,488.3K,0,NO CHANGE,0.09%
55825T103,MSGS,MADISON SQUARE GRDN SPRT COR,2321,0,484.97K,0,NO CHANGE,0.09%
754198109,RAVE,RAVE RESTAURANT GROUP INC,163555,0,449.78K,0,NO CHANGE,0.09%
G25508105,CRH,CRH PLC,4785,0,439.26K,0,NO CHANGE,0.08%
