CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
093712107,BE,BLOOM ENERGY CORP,35000,35000,837.2K,837.2K,NEW,1.2%
19260Q107,COIN,COINBASE GLOBAL INC,2000,2000,700.98K,700.98K,NEW,0.98%
336433107,FSLR,FIRST SOLAR INC,25450,3950,4.21M,653.88K,+18.4%,5.9%
303250104,FICO,FAIR ISAAC CORP,300,300,548.39K,548.39K,NEW,0.77%
037833100,AAPL,APPLE INC,2100,2100,430.86K,430.86K,NEW,0.6%
29414B104,EPAM,EPAM SYS INC,2300,2300,406.69K,406.69K,NEW,0.57%
550241103,LUMN,LUMEN TECHNOLOGIES INC,150000,90000,657K,394.2K,+150%,0.92%
036752103,ELV,ELEVANCE HEALTH INC,750,750,291.72K,291.72K,NEW,0.41%
742718109,PG,PROCTER AND GAMBLE CO,1800,1800,286.78K,286.78K,NEW,0.4%
571748102,MRSH,MARSH & MCLENNAN COS INC,1300,1300,284.23K,284.23K,NEW,0.4%
92276F100,VTR,VENTAS INC,4500,4500,284.18K,284.18K,NEW,0.4%
36828A101,GEV,GE VERNOVA INC,500,500,264.57K,264.57K,NEW,0.37%
29530P102,ERIE,ERIE INDTY CO,750,750,260.09K,260.09K,NEW,0.36%
629377508,NRG,NRG ENERGY INC,1600,1600,256.93K,256.93K,NEW,0.36%
375558103,GILD,GILEAD SCIENCES INC,2300,2300,255K,255K,NEW,0.36%
45784P101,PODD,INSULET CORP,800,800,251.34K,251.34K,NEW,0.35%
12541W209,CHRW,C H ROBINSON WORLDWIDE INC,2600,2600,249.47K,249.47K,NEW,0.35%
217204106,CPRT,COPART INC,5000,5000,245.35K,245.35K,NEW,0.34%
G9087Q102,TROX,TRONOX HOLDINGS PLC,75000,45000,380.25K,228.15K,+150%,0.53%
595112103,MU,MICRON TECHNOLOGY INC,58801,1500,7.25M,184.87K,+2.6%,10.1%
G0250X107,AMCR,AMCOR PLC,19500,19500,179.21K,179.21K,NEW,0.25%
02079K305,GOOGL,ALPHABET INC,28000,1000,4.93M,176.23K,+3.7%,6.9%
67066G104,NVDA,NVIDIA CORPORATION,5000,1000,789.95K,157.99K,+25%,1.1%
65341B106,XIFR,XPLR INFRASTRUCTURE LP,40000,10000,328K,82K,+33.3%,0.46%
934423104,WBD,WARNER BROS DISCOVERY INC,504713,5000,5.78M,57.3K,+1%,8.1%
143658300,CCL,CARNIVAL CORP,15000,2000,421.8K,56.24K,+15.4%,0.59%
26884L109,EQT,EQT CORP,4000,100,233.28K,5.83K,+2.6%,0.33%
92343V104,VZ,VERIZON COMMUNICATIONS INC,137300,0,5.94M,0,NO CHANGE,8.3%
023135106,AMZN,AMAZON COM INC,20500,0,4.5M,0,NO CHANGE,6.3%
747525103,QCOM,QUALCOMM INC,18700,0,2.98M,0,NO CHANGE,4.2%
02079K107,GOOG,ALPHABET INC,6600,0,1.17M,0,NO CHANGE,1.6%
34379V103,FLNC,FLUENCE ENERGY INC,50000,0,335.5K,0,NO CHANGE,0.47%
031162100,AMGN,AMGEN INC,850,0,237.33K,0,NO CHANGE,0.33%
98980L101,ZM,ZOOM COMMUNICATIONS INC,3000,0,233.94K,0,NO CHANGE,0.33%
92840M102,VST,VISTRA CORP,1500,-250,290.71K,-48.45K,-14.3%,0.41%
30303M102,META,META PLATFORMS INC,5470,-200,4.04M,-147.62K,-3.5%,5.6%
477143101,JBLU,JETBLUE AWYS CORP,0,-35000,0,-168.7K,CLOSE,0%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,53400,-900,12.09M,-203.84K,-1.7%,16.9%
049560105,ATO,ATMOS ENERGY CORP,0,-1350,0,-208.68K,CLOSE,0%
G66721104,NCLH,NORWEGIAN CRUISE LINE HLDG L,0,-14000,0,-265.44K,CLOSE,0%
871607107,SNPS,SYNOPSYS INC,0,-650,0,-278.75K,CLOSE,0%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,0,-5600,0,-281.18K,CLOSE,0%
09290D101,BLK,BLACKROCK INC,0,-300,0,-283.94K,CLOSE,0%
11135F101,AVGO,BROADCOM INC,0,-1700,0,-284.63K,CLOSE,0%
68389X105,ORCL,ORACLE CORP,0,-2100,0,-293.6K,CLOSE,0%
060505104,BAC,BANK AMERICA CORP,12000,-8000,567.84K,-378.56K,-40%,0.79%
H42097107,UBS,UBS GROUP AG,30000,-13000,1.01M,-439.66K,-30.2%,1.4%
67077M108,NTR,NUTRIEN LTD,50000,-16100,2.91M,-937.66K,-24.4%,4.1%
125269100,CF,CF INDS HLDGS INC,45000,-15300,4.14M,-1.41M,-25.4%,5.8%
Total,,,,,71.47M,2.4M,+4.1%,100%
