CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
25434V625,DCOR,DIMENSIONAL ETF TRUST,15.2M,3.7%,10.41M,+217.7%
922908363,VOO,VANGUARD INDEX FDS,12.06M,2.9%,4.75M,+64.9%
922908751,VB,VANGUARD INDEX FDS,2.01M,0.49%,2.01M,NEW
30303M102,META,META PLATFORMS INC,4.38M,1.1%,1.33M,+43.6%
922908769,VTI,VANGUARD INDEX FDS,11.65M,2.8%,1.32M,+12.8%
25434V799,DFIC,DIMENSIONAL ETF TRUST,14.31M,3.5%,853.01K,+6.3%
922907746,VTEB,VANGUARD MUN BD FDS,797.82K,0.19%,797.82K,NEW
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,168.1M,40.9%,537.1K,+0.3%
46435UAA9,IBDS,ISHARES TR,849.45K,0.21%,485.4K,+133.3%
773121108,RKLB,ROCKET LAB CORP,447.73K,0.11%,447.73K,NEW
00206R102,T,AT&T INC,401.42K,0.1%,401.42K,NEW
58933Y105,MRK,MERCK & CO INC,375.06K,0.09%,375.06K,NEW
25809K105,DASH,DOORDASH INC,369.76K,0.09%,369.76K,NEW
00827B106,AFRM,AFFIRM HLDGS INC,363.19K,0.09%,363.19K,NEW
14021N105,CGNG,CAPITAL GROUP NEW GEOGRAPHY,332.76K,0.08%,332.76K,NEW
922042775,VEU,VANGUARD INTL EQUITY INDEX F,1.34M,0.33%,325.48K,+32.1%
717081103,PFE,PFIZER INC,283.95K,0.07%,283.95K,NEW
025072885,AVUS,AMERICAN CENTY ETF TR,5.43M,1.3%,250.24K,+4.8%
060505104,BAC,BANK AMERICA CORP,248.58K,0.06%,248.58K,NEW
770700102,HOOD,ROBINHOOD MKTS INC,245.22K,0.06%,245.22K,NEW
464287200,IVV,ISHARES TR,669.33K,0.16%,238.43K,+55.3%
88160R101,TSLA,TESLA INC,230.62K,0.06%,230.62K,NEW
22788C105,CRWD,CROWDSTRIKE HLDGS INC,208.82K,0.05%,208.82K,NEW
808524847,SCHH,SCHWAB STRATEGIC TR,3.73M,0.91%,200.51K,+5.7%
921937835,BND,VANGUARD BD INDEX FDS,1.74M,0.42%,81.07K,+4.9%
92203C303,VUSB,VANGUARD BD INDEX FDS,592.03K,0.14%,67.76K,+12.9%
25434V880,DFAX,DIMENSIONAL ETF TRUST,1.43M,0.35%,61.47K,+4.5%
594918104,MSFT,MICROSOFT CORP,804.82K,0.2%,37.31K,+4.9%
02079K305,GOOGL,ALPHABET INC,395.05K,0.1%,28.54K,+7.8%
037833100,AAPL,APPLE INC,1.52M,0.37%,28.52K,+1.9%
808524102,SCHB,SCHWAB STRATEGIC TR,3.89M,0.95%,16.44K,+0.4%
64110L106,NFLX,NETFLIX INC,516.9K,0.13%,14.73K,+2.9%
025072604,AVEM,AMERICAN CENTY ETF TR,6.17M,1.5%,13.16K,+0.2%
023135106,AMZN,AMAZON COM INC,294.42K,0.07%,9.43K,+3.3%
25434V658,DFGR,DIMENSIONAL ETF TRUST,3.03M,0.74%,6.71K,+0.2%
191216100,KO,COCA COLA CO,960.65K,0.23%,4.74K,+0.5%
025072356,AVRE,AMERICAN CENTY ETF TR,325.36K,0.08%,3.71K,+1.2%
78468R663,BIL,SPDR SERIES TRUST,298.81K,0.07%,3.12K,+1.1%
78462F103,SPY,SPDR S&P 500 ETF TR,303.89K,0.07%,3.09K,+1%
25434V591,DUSB,DIMENSIONAL ETF TRUST,438.16K,0.11%,2.79K,+0.6%
464286475,EEMS,ISHARES INC,2.24M,0.54%,1.04K,+0%
25434V302,DFAE,DIMENSIONAL ETF TRUST,1.14M,0.28%,897,+0.1%
025072349,AVLV,AMERICAN CENTY ETF TR,2.15M,0.52%,68,+0%
46435U325,IBMQ,ISHARES TR,3.04M,0.74%,0,NO CHANGE
46435U432,IBMN,ISHARES TR,3.02M,0.74%,0,NO CHANGE
46436E163,IBMR,ISHARES TR,3.02M,0.74%,0,NO CHANGE
922042676,VNQI,VANGUARD INTL EQUITY INDEX F,2.84M,0.69%,0,NO CHANGE
921909768,VXUS,VANGUARD STAR FDS,2.48M,0.6%,0,NO CHANGE
084670108,BRK.A,BERKSHIRE HATHAWAY INC DEL,2.19M,0.53%,0,NO CHANGE
922908744,VTV,VANGUARD INDEX FDS,1.64M,0.4%,0,NO CHANGE
46435GAA0,IBDR,ISHARES TR,1.43M,0.35%,0,NO CHANGE
921946406,VYM,VANGUARD WHITEHALL FDS,1.39M,0.34%,0,NO CHANGE
922908736,VUG,VANGUARD INDEX FDS,1.02M,0.25%,0,NO CHANGE
922908629,VO,VANGUARD INDEX FDS,769.53K,0.19%,0,NO CHANGE
46434VBD1,IBDQ,ISHARES TR,755.4K,0.18%,0,NO CHANGE
922908611,VBR,VANGUARD INDEX FDS,450.01K,0.11%,0,NO CHANGE
79466L302,CRM,SALESFORCE INC,420.76K,0.1%,0,NO CHANGE
97717Y691,WCLD,WISDOMTREE TR,353.99K,0.09%,0,NO CHANGE
48251W104,KKR,KKR & CO INC,309.3K,0.08%,0,NO CHANGE
464286533,EEMV,ISHARES INC,280.09K,0.07%,0,NO CHANGE
025072364,AVIV,AMERICAN CENTY ETF TR,1.66M,0.4%,-3.92K,-0.2%
114082209,ERNA,ERNEXA THERAPEUTICS INC,0,0%,-16.8K,CLOSE
46434V647,REET,ISHARES TR,208.32K,0.05%,-19.91K,-8.7%
09352U108,BLND,BLEND LABS INC,726.94K,0.18%,-20.34K,-2.7%
025072703,AVDE,AMERICAN CENTY ETF TR,3.62M,0.88%,-31.97K,-0.9%
025072141,AVEE,AMERICAN CENTY ETF TR,517.84K,0.13%,-68.14K,-11.6%
25434V203,DFAI,DIMENSIONAL ETF TRUST,1.66M,0.41%,-74.74K,-4.3%
45409F827,MMIT,NEW YORK LIFE INVTS ACTIVE E,3.12M,0.76%,-99.91K,-3.1%
025072372,AVES,AMERICAN CENTY ETF TR,1.37M,0.33%,-108.86K,-7.3%
78137L105,RUM,RUMBLE INC,0,0%,-128.82K,CLOSE
46432F842,IEFA,ISHARES TR,519.66K,0.13%,-141K,-21.3%
025072802,AVDV,AMERICAN CENTY ETF TR,4.36M,1.1%,-182.66K,-4%
25434V815,DFSV,DIMENSIONAL ETF TRUST,416.53K,0.1%,-197.92K,-32.2%
25434V401,DFUS,DIMENSIONAL ETF TRUST,11.02M,2.7%,-268.82K,-2.4%
025072323,AVSC,AMERICAN CENTY ETF TR,2.18M,0.53%,-342.94K,-13.6%
025072877,AVUV,AMERICAN CENTY ETF TR,2.85M,0.69%,-403.2K,-12.4%
25434V609,DFAT,DIMENSIONAL ETF TRUST,547.65K,0.13%,-528.39K,-49.1%
