CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
184496107,CLH,CLEAN HARBORS INC,1443637,1250615,333.74M,289.12M,+647.9%,4.6%
23331A109,DHI,D R HORTON INC,1539410,1539410,198.46M,198.46M,NEW,2.8%
G6683N103,NU,NU HLDGS LTD,24132933,14329933,331.1M,196.61M,+146.2%,4.6%
546347105,LPX,LOUISIANA PAC CORP,1812000,1812000,155.81M,155.81M,NEW,2.2%
889478103,TOL,TOLL BROTHERS INC,1603881,913881,183.05M,104.3M,+132.4%,2.5%
53566V106,LINE,LINEAGE INC,4622594,2165533,201.18M,94.24M,+88.1%,2.8%
88023U101,SGI,SOMNIGROUP INTERNATIONAL INC,2666395,1329828,181.45M,90.49M,+99.5%,2.5%
34354P105,FLS,FLOWSERVE CORP,1686000,1686000,88.26M,88.26M,NEW,1.2%
14040H105,COF,CAPITAL ONE FINL CORP,1162000,351000,247.23M,74.68M,+43.3%,3.4%
21874C102,CNM,CORE & MAIN INC,6012680,1067000,362.87M,64.39M,+21.6%,5%
G93A5A101,VIK,VIKING HOLDINGS LTD,1150443,1150443,61.31M,61.31M,NEW,0.85%
144285103,CRS,CARPENTER TECHNOLOGY CORP,822387,205743,227.29M,56.86M,+33.4%,3.2%
235851102,DHR,DANAHER CORPORATION,162507,162507,32.1M,32.1M,NEW,0.45%
060505104,BAC,BANK AMERICA CORP,7965147,666147,376.91M,31.52M,+9.1%,5.2%
75734B100,RDDT,REDDIT INC,1927000,139000,290.15M,20.93M,+7.8%,4%
03769M106,APO,APOLLO GLOBAL MGMT INC,1415000,138791,200.75M,19.69M,+10.9%,2.8%
983793100,XPO,XPO INC,3144916,92730,397.17M,11.71M,+3%,5.5%
565394103,CART,MAPLEBEAR INC,22558255,6841,1.02B,309.49K,+0%,14.2%
49427F108,KRC,KILROY RLTY CORP,1887000,0,64.74M,0,NO CHANGE,0.9%
00827B106,AFRM,AFFIRM HLDGS INC,820000,0,56.69M,0,NO CHANGE,0.79%
52886X107,LXEO,LEXEO THERAPEUTICS INC,978652,0,3.93M,0,NO CHANGE,0.05%
03831W108,APP,APPLOVIN CORP,789982,-18,276.56M,-6.3K,-0%,3.8%
29362U104,ENTG,ENTEGRIS INC,4169614,-54960,336.28M,-4.43M,-1.3%,4.7%
93403J106,WRBY,WARBY PARKER INC,0,-257306,0,-4.69M,CLOSE,0%
76131D103,QSR,RESTAURANT BRANDS INTL INC,0,-92833,0,-6.19M,CLOSE,0%
36266G107,GEHC,GE HEALTHCARE TECHNOLOGIES I,1159584,-90000,85.89M,-6.67M,-7.2%,1.2%
741623102,PRMB,PRIMO BRANDS CORPORATION,4810019,-414247,142.47M,-12.27M,-7.9%,2%
912008109,USFD,US FOODS HLDG CORP,1032000,-290000,79.47M,-22.33M,-21.9%,1.1%
512807306,LRCX,LAM RESEARCH CORP,0,-403000,0,-29.3M,CLOSE,0%
038222105,AMAT,APPLIED MATLS INC,0,-205000,0,-29.75M,CLOSE,0%
458140100,INTC,INTEL CORP,0,-1443000,0,-32.77M,CLOSE,0%
011659109,ALK,ALASKA AIR GROUP INC,3142948,-987052,155.51M,-48.84M,-23.9%,2.2%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,0,-198000,0,-50.36M,CLOSE,0%
718172109,PM,PHILIP MORRIS INTL INC,1225033,-280000,223.12M,-51M,-18.6%,3.1%
526057104,LEN,LENNAR CORP,0,-468433,0,-53.77M,CLOSE,0%
023135106,AMZN,AMAZON COM INC,700887,-250347,153.77M,-54.92M,-26.3%,2.1%
075887109,BDX,BECTON DICKINSON & CO,335272,-336728,57.75M,-58M,-50.1%,0.8%
070830104,BBWI,BATH & BODY WORKS INC,0,-2200000,0,-66.7M,CLOSE,0%
03662Q105,ANSS,ANSYS INC,654435,-209910,229.85M,-73.72M,-24.3%,3.2%
808513105,SCHW,SCHWAB CHARLES CORP,3523904,-831704,321.52M,-75.88M,-19.1%,4.5%
146869102,CVNA,CARVANA CO,0,-370000,0,-77.36M,CLOSE,0%
036752103,ELV,ELEVANCE HEALTH INC,326411,-252000,126.96M,-98.02M,-43.6%,1.8%
159864107,CRL,CHARLES RIV LABS INTL INC,0,-777489,0,-117.03M,CLOSE,0%
871607107,SNPS,SYNOPSYS INC,0,-334700,0,-143.54M,CLOSE,0%
13646K108,CP,CANADIAN PACIFIC KANSAS CITY,0,-2327000,0,-163.38M,CLOSE,0%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,0,-1114713,0,-229.01M,CLOSE,0%
Total,,,,,7.2B,676.57M,+10.4%,100%
