CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
15101Q207,CLS,CELESTICA INC,75710,75710,11.82M,11.82M,NEW,6.3%
M7S64H106,MNDY,MONDAY COM LTD,35590,35590,11.19M,11.19M,NEW,6%
M2682V108,CYBR,CYBERARK SOFTWARE LTD,26350,26350,10.72M,10.72M,NEW,5.7%
67066G104,NVDA,NVIDIA CORPORATION,111411,56931,17.6M,8.99M,+104.5%,9.4%
55955D100,MGNI,MAGNITE INC,334725,334725,8.07M,8.07M,NEW,4.3%
03831W108,APP,APPLOVIN CORP,20220,20220,7.08M,7.08M,NEW,3.8%
00827B106,AFRM,AFFIRM HLDGS INC,184450,92195,12.75M,6.37M,+99.9%,6.8%
92840M102,VST,VISTRA CORP,55509,30740,10.76M,5.96M,+124.1%,5.7%
N97284108,NBIS,NEBIUS GROUP N.V.,80790,80790,4.47M,4.47M,NEW,2.4%
87422Q109,TLN,TALEN ENERGY CORP,30682,14427,8.92M,4.19M,+88.8%,4.8%
05464C101,AXON,AXON ENTERPRISE INC,4607,4607,3.81M,3.81M,NEW,2%
097023105,BA,BOEING CO,86599,18011,18.15M,3.77M,+26.3%,9.7%
11135F101,AVGO,BROADCOM INC,21380,13400,5.89M,3.69M,+167.9%,3.1%
83001C108,FUN,SIX FLAGS ENTERTAINMENT CORP,120285,120285,3.66M,3.66M,NEW,2%
13646K108,CP,CANADIAN PACIFIC KANSAS CITY,163164,41025,12.93M,3.25M,+33.6%,6.9%
893641100,TDG,TRANSDIGM GROUP INC,6243,1928,9.49M,2.93M,+44.7%,5.1%
48251W104,KKR,KKR & CO INC,81403,20530,10.83M,2.73M,+33.7%,5.8%
049468101,TEAM,ATLASSIAN CORPORATION,24335,-745,4.94M,-151.3K,-3%,2.6%
824348106,SHW,SHERWIN WILLIAMS CO,14141,-2045,4.86M,-702.17K,-12.6%,2.6%
00187Y100,APG,API GROUP CORP,0,-88095,0,-3.15M,CLOSE,0%
30303M102,META,META PLATFORMS INC,0,-5615,0,-3.24M,CLOSE,0%
443201108,HWM,HOWMET AEROSPACE INC,52340,-17905,9.74M,-3.33M,-25.5%,5.2%
92537N108,VRT,VERTIV HOLDINGS CO,0,-69180,0,-4.99M,CLOSE,0%
Total,,,,,187.7M,87.17M,+105.9%,100%
