CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
194014502,ENOV,ENOVIS CORPORATION,2553180,2553180,80.07M,80.07M,NEW,7.2%
N07059210,ASML,ASML HOLDING N V,139989,69418,112.19M,55.63M,+98.4%,10.1%
235851102,DHR,DANAHER CORPORATION,926992,235688,183.12M,46.56M,+34.1%,16.4%
N00985106,AER,AERCAP HOLDINGS NV,1361118,222576,159.25M,26.04M,+19.5%,14.3%
09857L108,BKNG,BOOKING HOLDINGS INC,18290,2321,105.89M,13.44M,+14.5%,9.5%
02079K107,GOOG,ALPHABET INC,661990,23239,117.43M,4.12M,+3.6%,10.5%
81686C104,SEMR,SEMRUSH HLDGS INC,2284578,27845,20.68M,252K,+1.2%,1.9%
30303M102,META,META PLATFORMS INC,245108,-1949,180.91M,-1.44M,-0.8%,16.2%
053332102,AZO,AUTOZONE INC,35667,-1876,132.4M,-6.96M,-5%,11.9%
M98068105,WIX,WIX COM LTD,146777,-172605,23.26M,-27.35M,-54%,2.1%
85209W109,SPT,SPROUT SOCIAL INC,0,-2304414,0,-50.67M,CLOSE,0%
70450Y103,PYPL,PAYPAL HLDGS INC,0,-858231,0,-56M,CLOSE,0%
Total,,,,,1.12B,83.68M,+8.9%,100%
