CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
29362U104,ENTG,Entegris Inc,132.74M,3.4%,132.74M,NEW
594918104,MSFT,Microsoft Corp,99.94M,2.6%,99.94M,NEW
457669307,INSM,Insmed Inc,226.79M,5.8%,89M,+64.6%
934423104,WBD,Warner Bros Discovery Inc,74.92M,1.9%,74.92M,NEW
172967424,C,Citigroup Inc,56.72M,1.4%,56.72M,NEW
77543R102,ROKU,Roku Inc,96.72M,2.5%,53.34M,+123%
81369Y605,XLF,Select Sector Spdr Tr,51.6M,1.3%,51.6M,NEW
76131D103,QSR,Restaurant Brands Intl Inc,49.78M,1.3%,49.78M,NEW
81141R100,SE,Sea Ltd,49.54M,1.3%,49.54M,NEW
G6683N103,NU,Nu Hldgs Ltd,46.86M,1.2%,46.86M,NEW
91332U101,U,Unity Software Inc,42.93M,1.1%,42.93M,NEW
874039100,TSM,Taiwan Semiconductor Mfg Ltd,173.28M,4.4%,37.67M,+27.8%
144285103,CRS,Carpenter Technology Corp,35M,0.89%,35M,NEW
219350105,GLW,Corning Inc,32.77M,0.84%,32.77M,NEW
38141G104,GS,Goldman Sachs Group Inc,29.73M,0.76%,29.73M,NEW
452327109,ILMN,Illumina Inc,28.68M,0.73%,28.68M,NEW
11135F101,AVGO,Broadcom Inc,23.74M,0.61%,23.74M,NEW
26884L109,EQT,Eqt Corp,73.06M,1.9%,22.94M,+45.8%
247361702,DAL,Delta Air Lines Inc Del,39.02M,1%,22.05M,+129.9%
464286400,EWZ,Ishares Inc,21.31M,0.54%,21.31M,NEW
418056107,HAS,Hasbro Inc,20.75M,0.53%,20.75M,NEW
68404L201,OPCH,Option Care Health Inc,20.68M,0.53%,20.68M,NEW
983793100,XPO,Xpo Inc,20.6M,0.53%,20.6M,NEW
881624209,TEVA,Teva Pharmaceutical Inds Ltd,267.64M,6.8%,18.25M,+7.3%
03831W108,APP,Applovin Corp,31.32M,0.8%,17.24M,+122.5%
256163106,DOCU,Docusign Inc,100.51M,2.6%,16.81M,+20.1%
060505104,BAC,Bank America Corp,16.18M,0.41%,16.18M,NEW
16935C109,CHYM,Chime Finl Inc,16.11M,0.41%,16.11M,NEW
92686J106,VKTX,Viking Therapeutics Inc,14.56M,0.37%,14.56M,NEW
05605H100,BWXT,Bwx Technologies Inc,11.02M,0.28%,11.02M,NEW
G0896C103,TBBB,Bbb Foods Inc,10.01M,0.26%,10.01M,NEW
23331A109,DHI,D R Horton Inc,9.98M,0.25%,9.98M,NEW
526057104,LEN,Lennar Corp,9.94M,0.25%,9.94M,NEW
12008R107,BLDR,Builders Firstsource Inc,9.93M,0.25%,9.93M,NEW
29337E102,ELVN,Enliven Therapeutics Inc,9.29M,0.24%,9.29M,NEW
M3760D101,ESLT,Elbit Sys Ltd,8.22M,0.21%,8.22M,NEW
G3643J108,FLUT,Flutter Entmt Plc,115.77M,3%,7.95M,+7.4%
883556102,TMO,Thermo Fisher Scientific Inc,4.95M,0.13%,4.95M,NEW
235851102,DHR,Danaher Corporation,4.88M,0.12%,4.88M,NEW
163851108,CC,Chemours Co,4.83M,0.12%,4.83M,NEW
