CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
718546104,PSX,PHILLIPS 66,2.3B,18.9%,420.65M,+22.4%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,381M,3.1%,381M,NEW
464288513,HYG,ISHARES TR,306.47M,2.5%,306.47M,NEW
68390D106,OR,OR ROYALTIES INC.,56.05M,0.46%,56.05M,NEW
89679M104,TFPM,TRIPLE FLAG PRECIOUS METAL,3.17B,26.1%,0,NO CHANGE
867224107,SU,SUNCOR ENERGY INC NEW,1.97B,16.2%,0,NO CHANGE
844741108,LUV,SOUTHWEST AIRLS CO,1.75B,14.4%,0,NO CHANGE
72352L106,PINS,PINTEREST INC,1B,8.3%,0,NO CHANGE
29786A106,ETSY,ETSY INC,250.8M,2.1%,0,NO CHANGE
530307305,LBRDA,LIBERTY BROADBAND CORP,234.59M,1.9%,0,NO CHANGE
958102105,WDC,WESTERN DIGITAL CORP,143.98M,1.2%,0,NO CHANGE
22822V101,CCI,CROWN CASTLE INC,125.84M,1%,0,NO CHANGE
29444U700,EQIX,EQUINIX INC,119.32M,0.98%,0,NO CHANGE
G8060N102,ST,SENSATA TECHNOLOGIES HLDG PL,97.86M,0.81%,0,NO CHANGE
G7997W102,SDRL,SEADRILL LTD,97.22M,0.8%,0,NO CHANGE
594972AJ0,MSTR,MICROSTRATEGY INC,44.5M,0.37%,0,NO CHANGE
91325V108,UNIT,UNITI GROUP INC,43.72M,0.36%,0,NO CHANGE
80004C200,SNDK,SANDISK CORP,34.01M,0.28%,0,NO CHANGE
94419LAR2,W,WAYFAIR INC,20.27M,0.17%,0,NO CHANGE
977852AB8,WOLF,WOLFSPEED INC,0,0%,-1.8M,CLOSE
977852AD4,WOLF,WOLFSPEED INC,0,0%,-2.75M,CLOSE
09239BAD1,BL,BLACKLINE INC,0,0%,-4.32M,CLOSE
443201108,HWM,HOWMET AEROSPACE INC,0,0%,-12.97M,CLOSE
042068205,ARM,ARM HOLDINGS PLC,0,0%,-14.9M,CLOSE
21900C308,CRMD,CORMEDIX INC,0,0%,-15.06M,CLOSE
H8817H100,RIG,TRANSOCEAN LTD,0,0%,-37.63M,CLOSE
753422AF1,RPD,RAPID7 INC,0,0%,-38.18M,CLOSE
40415F101,HDB,HDFC BANK LTD,0,0%,-44.53M,CLOSE
68827L101,OR,OSISKO GOLD ROYALTIES LTD,0,0%,-46.04M,CLOSE
29788T103,ETWO,E2OPEN PARENT HOLDINGS INC,0,0%,-54.5M,CLOSE
09857LAN8,BKNG,BOOKING HOLDINGS INC,0,0%,-61.5M,CLOSE
57667L107,MTCH,MATCH GROUP INC NEW,0,0%,-187.2M,CLOSE
09061G101,BMRN,BIOMARIN PHARMACEUTICAL INC,0,0%,-247.44M,CLOSE
Total,,,12.15B,100%,1.07B,+9.7%
