CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
04626A103,ALAB,ASTERA LABS INC,106.77M,17.5%,106.77M,NEW
007903107,AMD,ADVANCED MICRO DEVICES INC,81.31M,13.3%,71.06M,+693.6%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,63.01M,10.3%,63.01M,NEW
573874104,MRVL,MARVELL TECHNOLOGY INC,52.21M,8.6%,52.21M,NEW
012653101,ALB,ALBEMARLE CORP,32.9M,5.4%,32.9M,NEW
03831W108,APP,APPLOVIN CORP,32.29M,5.3%,32.29M,NEW
19247G107,COHR,COHERENT CORP,30.55M,5%,30.55M,NEW
127387108,CDNS,CADENCE DESIGN SYSTEM INC,21.35M,3.5%,21.35M,NEW
06849F108,B,BARRICK MNG CORP,20.43M,3.3%,20.43M,NEW
91332U101,U,UNITY SOFTWARE INC,26.81M,4.4%,17.96M,+203%
032095101,APH,AMPHENOL CORP NEW,12.18M,2%,12.18M,NEW
950915108,WRD,WERIDE INC,11.02M,1.8%,11.02M,NEW
19260Q107,COIN,COINBASE GLOBAL INC,11.18M,1.8%,6.45M,+136.3%
67066G104,NVDA,NVIDIA CORPORATION,24.57M,4%,4.41M,+21.9%
47215P106,JD,JD.COM INC,3.39M,0.56%,3.39M,NEW
926400102,VSCO,VICTORIAS SECRET AND CO,977.86K,0.16%,977.86K,NEW
23703Q203,DQ,DAQO NEW ENERGY CORP,4.39M,0.72%,505.16K,+13%
874080104,TAL,TAL EDUCATION GROUP,8.02M,1.3%,-155.79K,-1.9%
01609W102,BABA,ALIBABA GROUP HLDG LTD,5.4M,0.88%,-521.69K,-8.8%
958102105,WDC,WESTERN DIGITAL CORP,0,0%,-2.34M,CLOSE
23804L103,DDOG,DATADOG INC,0,0%,-2.45M,CLOSE
80004C200,SNDK,SANDISK CORP,0,0%,-2.54M,CLOSE
458140100,INTC,INTEL CORP,0,0%,-3.12M,CLOSE
48553T106,BZ,KANZHUN LIMITED,0,0%,-4.46M,CLOSE
042068205,ARM,ARM HOLDINGS PLC,0,0%,-5.34M,CLOSE
64110W102,NTES,NETEASE INC,0,0%,-5.56M,CLOSE
29414B104,EPAM,EPAM SYS INC,0,0%,-6.53M,CLOSE
482497104,BEKE,KE HLDGS INC,0,0%,-7.89M,CLOSE
91347P105,OLED,UNIVERSAL DISPLAY CORP,35.49M,5.8%,-10.07M,-22.1%
654106103,NKE,NIKE INC,0,0%,-10.17M,CLOSE
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,22.67M,3.7%,-10.76M,-32.2%
771049103,RBLX,ROBLOX CORP,0,0%,-11.01M,CLOSE
G11448100,BTDR,BITDEER TECHNOLOGIES GROUP,3.34M,0.55%,-11.96M,-78.2%
20717M103,CFLT,CONFLUENT INC,0,0%,-12.99M,CLOSE
36266G107,GEHC,GE HEALTHCARE TECHNOLOGIES I,0,0%,-13.77M,CLOSE
747525103,QCOM,QUALCOMM INC,0,0%,-14.92M,CLOSE
92537N108,VRT,VERTIV HOLDINGS CO,0,0%,-33.39M,CLOSE
Total,,,610.26M,100%,343.54M,+128.8%
