CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
921937819,BIV,VANGUARD INTERMEDIATE-TERM BOND,128640,128640,9.95M,9.95M,NEW,9.4%
464287598,IWD,ISHARES RUSSELL 1000 VALUE ETF,25546,25546,4.96M,4.96M,NEW,4.7%
464287614,IWF,ISHARES RUSSELL 1000 GROWTH ETF,9589,9589,4.07M,4.07M,NEW,3.8%
922908629,VO,VANGUARD MID CAP ETF,35633,11162,9.97M,3.12M,+45.6%,9.4%
922907746,VTEB,VANGUARD TAX-EXEMPT BOND ETF,58300,58300,2.86M,2.86M,NEW,2.7%
464287622,IWB,ISHARES RUSSELL 1000 ETF,5007,4859,1.7M,1.65M,+3283.1%,1.6%
921910733,ESGV,VANGUARD ESG U.S. STOCK ETF,13222,13222,1.45M,1.45M,NEW,1.4%
437076102,HD,HOME DEPOT,4271,3940,1.57M,1.44M,+1190.3%,1.5%
921910725,VSGX,VANGUARD ESG INTERNATIONAL STOCK ETF,16820,16820,1.1M,1.1M,NEW,1%
714046109,RVTY,REVVITY INC COM,9275,9275,897.08K,897.08K,NEW,0.84%
459200101,IBM,INTL BUSINESS MACHINES,2450,2433,722.22K,717.21K,+14311.8%,0.68%
461202103,INTU,INTUIT INC,822,812,647.46K,639.58K,+8120%,0.61%
67066G104,NVDA,NVIDIA CORP,9923,3550,1.57M,560.87K,+55.7%,1.5%
464287465,EFA,ISHARES MSCI EAFE ETF,5849,5414,522.84K,483.96K,+1244.6%,0.49%
464286582,SCJ,ISHARES MSCI JAPAN SMALL-CAP ETF,4900,4900,415.96K,415.96K,NEW,0.39%
92826C839,V,VISA INC,1324,1081,470.14K,383.85K,+444.9%,0.44%
02079K107,GOOG,ALPHABET INC CAP STK CL C,2619,2084,464.63K,369.71K,+389.5%,0.44%
464287473,IWS,ISHARES RUSSELL MID-CAP VALUE ETF,2591,2591,342.38K,342.38K,NEW,0.32%
256746108,DLTR,DOLLAR TREE STORES INC,3468,3395,343.47K,336.24K,+4650.7%,0.32%
G1151C101,ACN,ACCENTURE LTD BERMUDA CL A,1237,1092,369.6K,326.27K,+753.1%,0.35%
512807306,LRCX,LAM RESEARCH CORP,3331,3131,324.26K,304.79K,+1565.5%,0.31%
464287648,IWO,ISHARES RUSSELL 2000 GROWTH ETF,1003,1002,286.72K,286.43K,+100200%,0.27%
22160K105,COST,COSTCO WHOLESALE CORP,439,259,434.58K,256.39K,+143.9%,0.41%
922280102,VRNS,VARONIS SYS INC COM,4500,4500,228.38K,228.38K,NEW,0.22%
149123101,CAT,CATERPILLAR INC COM,721,584,280.08K,226.86K,+426.3%,0.26%
038222105,AMAT,APPLIED MATLS INC COM,1547,1232,283.21K,225.54K,+391.1%,0.27%
084670702,BRKB,BERKSHIRE HATHAWAY INC DEL CL B NEW,873,463,424.08K,224.91K,+112.9%,0.4%
478160104,JNJ,JOHNSON & JOHNSON COM,3126,1299,477.51K,198.43K,+71.1%,0.45%
701094104,PH,PARKER-HANNIFIN CORP COM,272,272,189.98K,189.98K,NEW,0.18%
30303M102,META,META PLATFORMS INC CL A,771,251,568.87K,185.2K,+48.3%,0.54%
14040H105,COF,CAPITAL ONE FINANCIAL CORP,852,852,181.28K,181.28K,NEW,0.17%
031162100,AMGN,AMGEN INC,1472,573,411K,159.99K,+63.7%,0.39%
11135F101,AVGO,AVAGO TECHNOLOGIES LTD,1688,539,465.38K,148.6K,+46.9%,0.44%
58933Y105,MRK,MERCK & CO INC,2203,1670,174.39K,132.2K,+313.3%,0.16%
