CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
58155Q103,MCK,MCKESSON CORP COM,712,712,522.25K,522.25K,NEW,0.18%
33739Q408,FTSM,FIRST TRUST ENHANCED SHORT MATURITY ETF,9100,4100,546.77K,246.35K,+82%,0.19%
808524755,FNDF,SCHWAB FUNDAMENTAL INTERNATIONAL EQUITY ETF,5714,4829,228.67K,193.26K,+545.6%,0.08%
46139W858,BSCW,INVESCO BULLETSHARES 2032 CORPORATE BOND ETF,8326,8326,171.52K,171.52K,NEW,0.06%
57636Q104,MA,MASTERCARD INCORPORATED CL A,321,250,180.38K,140.49K,+352.1%,0.06%
46090E103,QQQ,INVESCO QQQ TRUST SERIES I,3833,233,2.12M,128.67K,+6.5%,0.74%
97717W760,DLS,WISDOMTREE INTERNATIONAL SMALLCAP DIVIDEND FUND,1664,1664,124.98K,124.98K,NEW,0.04%
464287655,IWM,ISHARES RUSSELL 2000 ETF,867,570,187.09K,123K,+191.9%,0.07%
464287408,IVE,ISHARES S&P 500 VALUE ETF,560,560,109.44K,109.44K,NEW,0.04%
97717W869,DFE,WISDOMTREE EUROPE SMALLCAP DIVIDEND FUND,1082,1082,75.87K,75.87K,NEW,0.03%
29444U700,EQIX,EQUINIX INC COM,3667,84,2.92M,66.82K,+2.3%,1%
N07059210,ASML,ASML HOLDING N V N Y REGISTRY SHS,5255,75,4.21M,60.1K,+1.4%,1.5%
46432F842,IEFA,ISHARES CORE MSCI EAFE ETF,795,695,66.37K,58.02K,+695%,0.02%
023135106,AMZN,AMAZON COM INC COM,16222,262,3.56M,57.48K,+1.6%,1.2%
464287481,IWP,ISHARES RUSSELL MID-CAP GROWTH ETF,406,406,56.3K,56.3K,NEW,0.02%
808524797,SCHD,SCHWAB US DIVIDEND EQUITY ETF,26992,2045,715.29K,54.19K,+8.2%,0.25%
97717X701,HEDJ,WISDOMTREE EUROPE HEDGED EQUITY FUND,1116,1116,53.7K,53.7K,NEW,0.02%
02079K305,GOOGL,ALPHABET INC CAP STK CL A,3240,280,570.99K,49.34K,+9.5%,0.2%
