CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
30303M102,META,META PLATFORMS INC,2.32M,1.1%,1.72M,+284.1%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,1.4M,0.66%,1.4M,NEW
91324P102,UNH,UNITEDHEALTH GROUP INC,1.27M,0.6%,871.64K,+219.8%
172573107,CRCL,CIRCLE INTERNET GROUP INC,380.71K,0.18%,380.71K,NEW
78462F103,SPY,SPDR S&P 500 ETF TR,1.67M,0.79%,291.01K,+21%
532457108,LLY,ELI LILLY & CO,2.26M,1.1%,216.71K,+10.6%
24703L202,DELL,DELL TECHNOLOGIES INC,1.26M,0.59%,176.54K,+16.4%
16411R208,LNG,CHENIERE ENERGY INC,443.21K,0.21%,150.98K,+51.7%
G29183103,ETN,EATON CORP PLC,526.21K,0.25%,142.8K,+37.2%
464288646,IGSB,ISHARES TR,138.97K,0.07%,138.97K,NEW
674599105,OXY,OCCIDENTAL PETE CORP,181.31K,0.09%,134.43K,+286.7%
25434V708,DFAC,DIMENSIONAL ETF TRUST,107.52K,0.05%,107.52K,NEW
666807102,NOC,NORTHROP GRUMMAN CORP,119K,0.06%,100K,+526.3%
097023105,BA,BOEING CO,2.31M,1.1%,71.24K,+3.2%
654106103,NKE,NIKE INC,264.62K,0.13%,71.04K,+36.7%
81725T100,SXT,SENSIENT TECHNOLOGIES CORP,59.11K,0.03%,59.11K,NEW
74347G192,SQQQ,PROSHARES TR,68.5K,0.03%,58.71K,+600%
02072L722,DRLL,EA SERIES TRUST,161.75K,0.08%,56.31K,+53.4%
922908736,VUG,VANGUARD INDEX FDS,820.68K,0.39%,52.61K,+6.8%
166764100,CVX,CHEVRON CORP NEW,2.97M,1.4%,49.11K,+1.7%
33939L407,GUNR,FLEXSHARES TR,199.35K,0.09%,48.57K,+32.2%
25434V807,DFIV,DIMENSIONAL ETF TRUST,42.83K,0.02%,42.83K,NEW
68389X105,ORCL,ORACLE CORP,363.14K,0.17%,41.32K,+12.8%
31154R109,FPI,FARMLAND PARTNERS INC,40.28K,0.02%,40.28K,NEW
87151X101,SYM,SYMBOTIC INC,38.85K,0.02%,38.85K,NEW
26740W109,QBTS,D-WAVE QUANTUM INC,36.6K,0.02%,36.6K,NEW
33939L506,TDTT,FLEXSHARES TR,36.41K,0.02%,36.41K,NEW
