CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
90353T100,UBER,Uber Technologies Inc,456.86M,4.9%,43.39M,+10.5%
25809K105,DASH,Doordash Inc Cl A,238.32M,2.5%,42.67M,+21.8%
N39338194,HEIO,Heineken Holding NV,625.94M,6.7%,21.59M,+3.6%
G05320109,ASHTY,Ashtead Group PLC,371.78M,4%,18.96M,+5.4%
G27035107,ROO,Deliveroo PLC,940.07K,<.01%,939.9K,NEW
870875101,SWZ,Swiss Helvetia FD Inc,2.75M,0.03%,892.89K,+48%
D98423102,ZAL,Zalando SE,853.04K,<.01%,853.06K,NEW
K36628137,CBGB,Carlsberg B A/S,1.69M,0.02%,234.38K,+16.1%
93403J106,WRBY,Warby Parker Inc Cl A,1.27M,0.01%,139.25K,+12.3%
30231G102,XOM,Exxon Mobil Corp,20.51M,0.22%,89.69K,+0.4%
E52619108,FLUIF,Fluidra,1.32M,0.01%,62.23K,+5%
D2617N114,FIE,Fielmann,1.53M,0.02%,46.59K,+3.1%
K3008M105,WILLF,Demant A/S,1.7M,0.02%,31.18K,+1.9%
907818108,UNP,Union Pac Corp,5.69M,0.06%,29.22K,+0.5%
02079K305,GOOGL,Alphabet Inc Cl A,2.77M,0.03%,20.8K,+0.8%
00287Y109,ABBV,AbbVie Inc,2.3M,0.02%,0,NO CHANGE
X4550J108,KCR,Konecranes,1.87M,0.02%,0,NO CHANGE
002824100,ABT,Abbott Labs,1.57M,0.02%,0,NO CHANGE
E8S64T107,PUIG,Puig Brands,1.34M,0.01%,0,NO CHANGE
N39427211,HEINY,Heineken NV,1.31M,0.01%,0,NO CHANGE
G8402N125,SSPG,SSP Group,1.29M,0.01%,0,NO CHANGE
W2457W116,EPRO-B,Electrolux Professional,1.23M,0.01%,0,NO CHANGE
T3508H102,DLG,De'Longhi,1.18M,0.01%,0,NO CHANGE
751212101,RL,Ralph Lauren Corp Cl A,1.12M,0.01%,0,NO CHANGE
H57312649,NESN,Nestle SA-REG,1.12M,0.01%,0,NO CHANGE
191216100,KO,Coca-Cola,965.03K,0.01%,0,NO CHANGE
477839104,JBTM,JBT Marel Corp,871.88K,<.01%,0,NO CHANGE
D6349P107,RAA,Rational AG,814.89K,<.01%,0,NO CHANGE
68389X105,ORCL,Oracle Corp,759.74K,<.01%,0,NO CHANGE
