CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
565394103,CART,MAPLEBEAR INC,429387,429387,19.43M,19.43M,NEW,1.8%
26142V105,DKNG,DRAFTKINGS INC NEW,357890,357890,15.35M,15.35M,NEW,1.4%
03769M106,APO,APOLLO GLOBAL MGMT INC,269730,40750,38.27M,5.78M,+17.8%,3.6%
94419L101,W,WAYFAIR INC,675868,109090,34.56M,5.58M,+19.2%,3.2%
49845K101,KVYO,KLAVIYO INC,161400,161400,5.42M,5.42M,NEW,0.5%
30212P303,EXPE,EXPEDIA GROUP INC,408190,30010,68.85M,5.06M,+7.9%,6.4%
82452J109,FOUR,SHIFT4 PMTS INC,856422,49040,84.88M,4.86M,+6.1%,7.9%
82846H405,QXO,QXO INC,68760,68760,1.48M,1.48M,NEW,0.14%
225310101,CACC,CREDIT ACCEP CORP MICH,134311,0,68.42M,0,NO CHANGE,6.4%
42226A107,HQY,HEALTHEQUITY INC,16790,-210,1.76M,-22K,-1.2%,0.16%
368736104,GNRC,GENERAC HLDGS INC,37570,-250,5.38M,-35.8K,-0.7%,0.5%
141788109,CARG,CARGURUS INC,179446,-2110,6.01M,-70.62K,-1.2%,0.56%
09352U108,BLND,BLEND LABS INC,3267208,-40430,10.78M,-133.42K,-1.2%,1%
985817105,YELP,YELP INC,750380,-4110,25.72M,-140.85K,-0.5%,2.4%
375916103,GIL,GILDAN ACTIVEWEAR INC,267392,-3070,13.17M,-151.17K,-1.1%,1.2%
21874C102,CNM,CORE & MAIN INC,559940,-7540,33.79M,-455.04K,-1.3%,3.1%
893641100,TDG,TRANSDIGM GROUP INC,14327,-360,21.79M,-547.43K,-2.5%,2%
45687V106,IR,INGERSOLL RAND INC,353456,-6760,29.4M,-562.3K,-1.9%,2.7%
88023U101,SGI,SOMNIGROUP INTERNATIONAL INC,822127,-9300,55.95M,-632.86K,-1.1%,5.2%
380237107,GDDY,GODADDY INC,696614,-4270,125.43M,-768.86K,-0.6%,11.7%
29786A106,ETSY,ETSY INC,0,-67232,0,-3.17M,CLOSE,0%
70450Y103,PYPL,PAYPAL HLDGS INC,707922,-47520,52.61M,-3.53M,-6.3%,4.9%
G3265R107,APTV,APTIV PLC,779160,-60420,53.15M,-4.12M,-7.2%,5%
45780R101,IBP,INSTALLED BLDG PRODS INC,0,-27460,0,-4.71M,CLOSE,0%
971378104,WSC,WILLSCOT HLDGS CORP,0,-615518,0,-17.11M,CLOSE,0%
87162W100,SNX,TD SYNNEX CORPORATION,358106,-216980,48.59M,-29.44M,-37.7%,4.5%
146869102,CVNA,CARVANA CO,751033,-109520,253.07M,-36.9M,-12.7%,23.6%
Total,,,,,1.07B,-39.55M,-4.3%,100%
