CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
11135F101,AVGO,BROADCOM INC,844.37M,2.6%,364.86M,+76.1%
892672106,TW,TRADEWEB MKTS INC,217.2M,0.66%,217.2M,NEW
21036P108,STZ,CONSTELLATION BRANDS INC,597.99M,1.8%,169.66M,+39.6%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,750.63M,2.3%,160.25M,+27.1%
30303M102,META,META PLATFORMS INC,1.64B,5%,118.52M,+7.8%
512807306,LRCX,LAM RESEARCH CORP,942.02M,2.8%,105.55M,+12.6%
90353T100,UBER,UBER TECHNOLOGIES INC,506.42M,1.5%,86.15M,+20.5%
79466L302,CRM,SALESFORCE INC,806.47M,2.4%,79.26M,+10.9%
G1151C101,ACN,ACCENTURE PLC IRELAND,791.63M,2.4%,62.41M,+8.6%
574795100,MASI,MASIMO CORP,40.47M,0.12%,40.47M,NEW
594918104,MSFT,MICROSOFT CORP,2.42B,7.3%,38.23M,+1.6%
099502106,BAH,BOOZ ALLEN HAMILTON HLDG COR,37.33M,0.11%,37.33M,NEW
023135106,AMZN,AMAZON COM INC,791.08M,2.4%,37.26M,+4.9%
426281101,JKHY,HENRY JACK & ASSOC INC,33.85M,0.1%,33.85M,NEW
110122108,BMY,BRISTOL-MYERS SQUIBB CO,40.29M,0.12%,32.26M,+401.9%
69349H107,TXNM,TXNM ENERGY INC,27.15M,0.08%,27.15M,NEW
G0176J109,ALLE,ALLEGION PLC,50.42M,0.15%,26.91M,+114.4%
902973304,USB,US BANCORP DEL,749.77M,2.3%,26.52M,+3.7%
62482R107,COOP,MR COOPER GROUP INC,27.32M,0.08%,25.22M,+1200.4%
115637209,BF.B,BROWN FORMAN CORP,25.1M,0.08%,25.1M,NEW
056525108,BMI,BADGER METER INC,22.53M,0.07%,22.53M,NEW
69478X105,PPBI,PACIFIC PREMIER BANCORP,21.82M,0.07%,21.82M,NEW
55903Q104,MAG,MAG SILVER CORP,20.26M,0.06%,20.26M,NEW
000360206,AAON,AAON INC,46.01M,0.14%,19.43M,+73.1%
910047109,UAL,UNITED AIRLS HLDGS INC,18.71M,0.06%,17.93M,+2294.6%
37733W204,GSK,GSK PLC,99.9M,0.3%,17.7M,+21.5%
904767704,UL,UNILEVER PLC,24.92M,0.08%,17.02M,+215.4%
87612E106,TGT,TARGET CORP,29.27M,0.09%,14.71M,+101%
925652109,VICI,VICI PPTYS INC,26.01M,0.08%,14.24M,+121%
311642102,FARO,FARO TECHNOLOGIES INC,13.95M,0.04%,13.95M,NEW
29362U104,ENTG,ENTEGRIS INC,13.85M,0.04%,13.85M,NEW
45674M101,INFA,INFORMATICA INC,13.78M,0.04%,13.78M,NEW
882508104,TXN,TEXAS INSTRS INC,958.23M,2.9%,13.51M,+1.4%
26484T106,DNB,DUN & BRADSTREET HLDGS INC,13.41M,0.04%,13.41M,NEW
25659T107,DLB,DOLBY LABORATORIES INC,49.59M,0.15%,13.29M,+36.6%
830566105,SKX,SKECHERS U S A INC,13.79M,0.04%,12.81M,+1299.9%
02209S103,MO,ALTRIA GROUP INC,17.12M,0.05%,12.61M,+279.1%
05478C105,AZEK,AZEK CO INC,40.52M,0.12%,11.78M,+41%
302941109,FCN,FTI CONSULTING INC,46.22M,0.14%,10.91M,+30.9%
03852U106,ARMK,ARAMARK,111.43M,0.34%,10.41M,+10.3%
05368X102,AVDX,AVIDXCHANGE HOLDINGS INC,10.28M,0.03%,10.28M,NEW
482480100,KLAC,KLA CORP,506.14M,1.5%,10.22M,+2.1%
30161N101,EXC,EXELON CORP,20.03M,0.06%,10.04M,+100.4%
465741106,ITRI,ITRON INC,10M,0.03%,10M,NEW
65340P106,NXE,NEXGEN ENERGY LTD,63.92M,0.19%,9.75M,+18%
247361702,DAL,DELTA AIR LINES INC DEL,20.07M,0.06%,9.74M,+94.3%
43300A203,HLT,HILTON WORLDWIDE HLDGS INC,531.63M,1.6%,9.22M,+1.8%
767204100,RIO,RIO TINTO PLC,54.04M,0.16%,9.01M,+20%
057665200,BCPC,BALCHEM CORP,56.12M,0.17%,8.95M,+19%
063671101,BMO,BANK MONTREAL QUE,14.13M,0.04%,8.51M,+151.5%
46120E602,ISRG,INTUITIVE SURGICAL INC,591.93M,1.8%,8.45M,+1.4%
20825C104,COP,CONOCOPHILLIPS,35.7M,0.11%,8.38M,+30.7%
379577208,GMED,GLOBUS MED INC,42.6M,0.13%,7.82M,+22.5%
742718109,PG,PROCTER AND GAMBLE CO,65.35M,0.2%,7.81M,+13.6%
402635502,GPOR,GULFPORT ENERGY CORP,18.54M,0.06%,7.75M,+71.8%
949746101,WFC,WELLS FARGO CO NEW,678.6M,2.1%,7.08M,+1.1%
038336103,ATR,APTARGROUP INC,60.59M,0.18%,6.96M,+13%
16115Q308,GTLS,CHART INDS INC,6.76M,0.02%,6.76M,NEW
49271V100,KDP,KEURIG DR PEPPER INC,10.38M,0.03%,6.71M,+182.6%
650111107,NYT,NEW YORK TIMES CO,63.72M,0.19%,6.26M,+10.9%
136069101,CM,CANADIAN IMPERIAL BK COMM,7.06M,0.02%,6.23M,+755.9%
336433107,FSLR,FIRST SOLAR INC,65.3M,0.2%,5.95M,+10%
02319V103,ABEV,AMBEV SA,5.75M,0.02%,5.71M,+12937.7%
00206R102,T,AT&T INC,11.59M,0.04%,5.51M,+90.7%
530307305,LBRDA,LIBERTY BROADBAND CORP,37.76M,0.11%,5.39M,+16.6%
737630103,PCH,POTLATCHDELTIC CORPORATION,5.05M,0.02%,5.05M,NEW
971378104,WSC,WILLSCOT HLDGS CORP,17.16M,0.05%,5.01M,+41.2%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,38.36M,0.12%,4.84M,+14.4%
496902404,KGC,KINROSS GOLD CORP,4.66M,0.01%,4.66M,NEW
00971T101,AKAM,AKAMAI TECHNOLOGIES INC,14.08M,0.04%,4.64M,+49.2%
