CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
D18190898,DB,Deutsche Bank Ag,189208,103747,5.54M,3.04M,+121.4%,1.8%
202712600,CBA,Commonwealth Bank of Australia,60340,5500,7.37M,671.57K,+10%,2.4%
06738E204,BCS,Barclays Plc,61581,28412,1.14M,528.18K,+85.7%,0.38%
06849F108,B,Barrick Gold Corp.,14917,14917,310.57K,310.57K,NEW,0.1%
N97284108,NBIS,Nebius Group N.V. Class A,11842,1598,655.22K,88.42K,+15.6%,0.22%
G3323L100,FN,Fabrinet,1328,11,391.33K,3.24K,+0.8%,0.13%
636274409,NGG,National Grid Transco,29473,42,2.19M,3.13K,+0.1%,0.72%
88032Q109,TCEHY,Tencent Holdings Ltd. Unsponso,88656,45,5.72M,2.9K,+0.1%,1.9%
042068205,ARM,Arm Holdings Plc,2637,17,426.51K,2.75K,+0.6%,0.14%
58733R102,MELI,"MercadoLibre, Inc.",346,1,904.32K,2.61K,+0.3%,0.3%
48241A105,KB,KB Financial Group Inc. Sponso,63108,24,5.21M,1.98K,+0%,1.7%
02390A101,AMX,America Movil SAB de CV Sponso,142761,101,2.56M,1.81K,+0.1%,0.84%
40415F101,HDB,HDFC Bank Limited Sponsored AD,41743,23,3.2M,1.76K,+0.1%,1.1%
01609W102,BABA,Alibaba Group Holding Ltd. Spo,28510,14,3.23M,1.59K,+0%,1.1%
00215W100,ASX,"ASE Technology Holding Co., Lt",18404,151,190.11K,1.56K,+0.8%,0.06%
456788108,INFY,Infosys Limited Sponsored ADR,89917,61,1.67M,1.13K,+0.1%,0.55%
722304102,PDD,PDD Holdings Inc. Sponsored AD,16178,10,1.69M,1.05K,+0.1%,0.56%
001317205,AAGIY,AIA GROUP LTD,82928,24,3M,868.32,+0%,0.99%
G0378L100,AU,Anglogold Ashanti PLC,32214,17,1.47M,774.69,+0.1%,0.48%
45662N103,IFNNY,INFINEON TECHNOLOGIES,52886,16,2.25M,681.28,+0%,0.74%
98850P109,YUMC,"Yum China Holdings, Inc.",34210,12,1.53M,536.52,+0%,0.5%
910873405,UMC,United Microelectronics Corp S,14000,70,107.1K,535.5,+0.5%,0.04%
02319V103,ABEV,Ambev SA Sponsored ADR,15173,192,36.57K,462.72,+1.3%,0.01%
78440P306,SKM,"SK Telecom Co., Ltd. Sponsored",51231,17,1.2M,396.95,+0%,0.39%
05965X109,BSAC,Banco Santander-Chile,51021,12,1.29M,302.64,+0%,0.42%
124765108,CAE,Cae Inc.,202256,0,5.92M,0,NO CHANGE,1.9%
654902204,NOK,Nokia Oyj Sponsored ADR,975379,0,5.05M,0,NO CHANGE,1.7%
759530108,RELX,RELX PLC Sponsored ADR,78190,0,4.25M,0,NO CHANGE,1.4%
046353108,AZN,ASTRAZENECA PLC ADR,57963,0,4.05M,0,NO CHANGE,1.3%
683715106,OTEX,Open Text Corp.,110284,0,3.22M,0,NO CHANGE,1.1%
641069406,NSRGY,Nestle S.A. Sponsored ADR,31220,0,3.1M,0,NO CHANGE,1%
799926100,SDZ,Sandoz Group Ltd Sponsored ADR,49430,0,2.7M,0,NO CHANGE,0.89%
294821608,ERIC,Telefonaktiebolaget LM Ericsso,291016,0,2.47M,0,NO CHANGE,0.81%
589339209,MKKGY,Merck KGaA Sponsored ADR,70205,0,1.82M,0,NO CHANGE,0.6%
