CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
H2927K103,AMRZ,AMRIZE LTD,12.39M,7.4%,12.39M,NEW
253393102,DKS,DICKS SPORTING GOODS INC,12.17M,7.3%,12.17M,NEW
16115Q308,GTLS,CHART INDS INC,10.29M,6.1%,10.29M,NEW
336433107,FSLR,FIRST SOLAR INC,9.93M,5.9%,9.93M,NEW
34354P105,FLS,FLOWSERVE CORP,4.71M,2.8%,4.71M,NEW
63845R107,EYE,NATIONAL VISION HLDGS INC,2.88M,1.7%,2.88M,NEW
199908104,FIX,COMFORT SYS USA INC,16.09M,9.6%,2.68M,+20%
03831W108,APP,APPLOVIN CORP,15.37M,9.2%,2.24M,+17.1%
741623102,PRMB,PRIMO BRANDS CORPORATION,5.92M,3.5%,740.5K,+14.3%
861896108,SNEX,STONEX GROUP INC,4.47M,2.7%,365.56K,+8.9%
11135F101,AVGO,BROADCOM INC,13.22M,7.9%,0,NO CHANGE
629377508,NRG,NRG ENERGY INC,11.24M,6.7%,0,NO CHANGE
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,10.01M,6%,0,NO CHANGE
N00985106,AER,AERCAP HOLDINGS NV,9.36M,5.6%,0,NO CHANGE
G3730V105,FTAI,FTAI AVIATION LTD,8.05M,4.8%,0,NO CHANGE
G25508105,CRH,CRH PLC,7.34M,4.4%,0,NO CHANGE
088929104,BGC,BGC GROUP INC,5.12M,3.1%,0,NO CHANGE
G6683N103,NU,NU HLDGS LTD,0,0%,-1.47M,CLOSE
093712AK3,BE,BLOOM ENERGY CORP,8.86M,5.3%,-1.48M,-14.3%
G0896C103,TBBB,BBB FOODS INC,0,0%,-1.6M,CLOSE
92840M102,VST,VISTRA CORP,0,0%,-2.94M,CLOSE
142339100,CSL,CARLISLE COS INC,0,0%,-3.34M,CLOSE
26884L109,EQT,EQT CORP,0,0%,-3.74M,CLOSE
00827B106,AFRM,AFFIRM HLDGS INC,0,0%,-4.59M,CLOSE
595112103,MU,MICRON TECHNOLOGY INC,0,0%,-4.78M,CLOSE
780259305,SHEL,SHELL PLC,0,0%,-5.02M,CLOSE
31946M103,FCNCA,FIRST CTZNS BANCSHARES INC N,0,0%,-5.99M,CLOSE
Total,,,167.42M,100%,47.55M,+39.7%
