CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
91332U101,U,Unity Software Inc,1400000,1400000,33.88M,33.88M,NEW,7.5%
04272N102,AVBP,Arrivent Biopharma Inc,3418923,1352685,74.43M,29.45M,+65.5%,16.5%
20717M103,CFLT,Confluent Inc,1050000,500000,26.18M,12.46M,+90.9%,5.8%
336433107,FSLR,First Solar Inc,75000,75000,12.42M,12.42M,NEW,2.7%
02079K107,GOOG,ALPHABET INC,100000,50000,17.74M,8.87M,+100%,3.9%
81141R100,SE,Sea Ltd,558088,51588,89.26M,8.25M,+10.2%,19.8%
74967X103,RH,Restoration Hardware Holdings Inc,40000,40000,7.56M,7.56M,NEW,1.7%
37637K108,GTLB,Gitlab Inc,370000,120000,16.69M,5.41M,+48%,3.7%
G1110E107,BHVN,Biohaven Ltd,550000,250000,7.76M,3.53M,+83.3%,1.7%
595112103,MU,Micron Technology Inc,100000,20000,12.32M,2.46M,+25%,2.7%
16935C109,CHYM,Chime Financial Inc,70000,70000,2.42M,2.42M,NEW,0.54%
896945201,TRIP,TripAdvisor Inc,308300,108300,4.02M,1.41M,+54.1%,0.89%
Y4600W108,KARO,Karooooo Ltd,5000,5000,244.9K,244.9K,NEW,0.05%
874039100,TSM,Taiwan Semiconductor Manufacturing Co Ltd,175000,0,39.64M,0,NO CHANGE,8.8%
023135106,AMZN,Amazon.Com Inc,125000,0,27.42M,0,NO CHANGE,6.1%
60937P106,MDB,Mongodb Inc,60000,0,12.6M,0,NO CHANGE,2.8%
03945R102,ACHR,Archer Aviation Inc,1112187,0,12.07M,0,NO CHANGE,2.7%
007903107,AMD,Advanced Micro Devices Inc,70000,0,9.93M,0,NO CHANGE,2.2%
N14506104,ESTC,Elastic Nv,100000,0,8.43M,0,NO CHANGE,1.9%
N07059210,ASML,ASML Holding NV,10000,0,8.01M,0,NO CHANGE,1.8%
23804L103,DDOG,Datadog Inc,50000,0,6.72M,0,NO CHANGE,1.5%
G5784H106,MANU,Manchester United PLC,370000,0,6.59M,0,NO CHANGE,1.5%
282559103,ETNB,89bio Inc,500000,0,4.91M,0,NO CHANGE,1.1%
30303M102,META,Meta Platforms Inc,4000,0,2.95M,0,NO CHANGE,0.65%
880881107,TERN,Terns Pharmaceuticals Inc,200000,0,746K,0,NO CHANGE,0.17%
984241109,YMAB,Y-mabs Therapeutics Inc,155529,0,701.44K,0,NO CHANGE,0.16%
78781J109,SAIL,SAILPOINT INC,0,-100000,0,-1.88M,CLOSE,0%
08205P209,BNTC,BENITEC BIOPHARMA INC,500000,-625000,5.85M,-7.31M,-55.6%,1.3%
67066G104,NVDA,NVIDIA CORPORATION,0,-80000,0,-8.67M,CLOSE,0%
21873S108,CRWV,COREWEAVE INC,0,-500000,0,-18.54M,CLOSE,0%
Total,,,,,451.49M,91.97M,+29.4%,100%
