CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
02079K305,GOOGL,ALPHABET INC,314.31M,6%,151.63M,+93.2%
43300A203,HLT,HILTON WORLDWIDE HLDGS INC,91.09M,1.8%,91.09M,NEW
03831W108,APP,APPLOVIN CORP,1.06B,20.4%,50.59M,+5%
74935Q107,RBA,RB GLOBAL INC,43.99M,0.85%,43.99M,NEW
337738108,FI,FISERV INC,266.52M,5.1%,26.97M,+11.3%
303250104,FICO,FAIR ISAAC CORP,455.49M,8.8%,17.37M,+4%
30303M102,META,META PLATFORMS INC,178.4M,3.4%,0,NO CHANGE
16411R208,LNG,CHENIERE ENERGY INC,170.39M,3.3%,0,NO CHANGE
45866F104,ICE,INTERCONTINENTAL EXCHANGE IN,149.4M,2.9%,0,NO CHANGE
743315103,PGR,PROGRESSIVE CORP,105.09M,2%,0,NO CHANGE
79466L302,CRM,SALESFORCE INC,64.25M,1.2%,0,NO CHANGE
64107A113,NPWRWS,NET POWER INC,159.19K,<.01%,-6.07K,-3.7%
892672106,TW,TRADEWEB MKTS INC,32.22M,0.62%,-1.23M,-3.7%
46120E602,ISRG,INTUITIVE SURGICAL INC,51.48M,0.99%,-1.99M,-3.7%
594918104,MSFT,MICROSOFT CORP,177.08M,3.4%,-2.79M,-1.5%
22160N109,CSGP,COSTAR GROUP INC,103.1M,2%,-3.93M,-3.7%
64107A105,NPWR,NET POWER INC,0,0%,-4.44M,CLOSE
92826C839,V,VISA INC,300.34M,5.8%,-5.29M,-1.7%
294429105,EFX,EQUIFAX INC,186.72M,3.6%,-7.11M,-3.7%
81141R100,SE,SEA LTD,257.31M,4.9%,-9.82M,-3.7%
443201108,HWM,HOWMET AEROSPACE INC,979.88M,18.8%,-14.2M,-1.4%
88033G407,THC,TENET HEALTHCARE CORP,0,0%,-31.06M,CLOSE
48251W104,KKR,KKR & CO INC,0,0%,-40.51M,CLOSE
127387108,CDNS,CADENCE DESIGN SYSTEM INC,0,0%,-43.19M,CLOSE
023135106,AMZN,AMAZON COM INC,214.59M,4.1%,-45.92M,-17.6%
91324P102,UNH,UNITEDHEALTH GROUP INC,0,0%,-102.97M,CLOSE
Total,,,5.2B,100%,762.89M,+17.2%
