CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
02079K305,GOOGL,ALPHABET INC,222.87M,20.3%,146.27M,+191%
722304102,PDD,PDD HOLDINGS INC,138.68M,12.6%,18.07M,+15%
66981J102,MSNO,MINISO GROUP HLDG LTD,170.08M,15.5%,2.23M,+1.3%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,50.54M,4.6%,531.04K,+1.1%
770700102,HOOD,ROBINHOOD MKTS INC,440.06K,0.04%,440.06K,NEW
04965M106,ATAT,ATOUR LIFESTYLE HLDGS LTD,676.21K,0.06%,334.85K,+98.1%
19260Q107,COIN,COINBASE GLOBAL INC,245.34K,0.02%,245.34K,NEW
36165L108,GDS,GDS HLDGS LTD,403.52K,0.04%,0,NO CHANGE
01609W102,BABA,ALIBABA GROUP HLDG LTD,260.84K,0.02%,0,NO CHANGE
89677Q107,TCOM,TRIP COM GROUP LTD,225.76K,0.02%,0,NO CHANGE
67066G104,NVDA,NVIDIA CORPORATION,173.78M,15.8%,-102.69K,-0.1%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,731.56K,0.07%,-249.14K,-25.4%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,338.67M,30.9%,-240.47M,-41.5%
Total,,,1.1B,100%,189.85M,+20.9%
