CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
Y7542C130,STNG,SCORPIO TANKERS INC,170000,90000,6.65M,3.52M,+112.5%,6.2%
923725105,VET,VERMILION ENERGY INC,2790000,350000,20.33M,2.55M,+14.3%,18.9%
550241103,LUMN,LUMEN TECHNOLOGIES INC,10367000,563100,45.41M,2.47M,+5.7%,42.2%
44862P208,HYMC,HYCROFT MINING HOLDING CORP,380000,380000,1.19M,1.19M,NEW,1.1%
38500T200,GTE,GRAN TIERRA ENERGY INC,1945800,229200,9.28M,1.09M,+13.4%,8.6%
85207K107,PSLV,SPROTT PHYSICAL SILVER TR,330000,30000,4.04M,367.2K,+10%,3.8%
023139884,OSG,AMBAC FINL GROUP INC,6000,6000,42.6K,42.6K,NEW,0.04%
015658107,ASTL,ALGOMA STL GROUP INC,890000,-20000,6.13M,-137.8K,-2.2%,5.7%
04040Y109,ARIS,ARIS MNG CORP,470000,-50000,3.16M,-336.07K,-9.6%,2.9%
879512309,TSAT,TELESAT CORP,466450,-65000,11.32M,-1.58M,-12.2%,10.5%
015857105,AQN,ALGONQUIN PWR UTILS CORP,0,-1360000,0,-6.99M,CLOSE,0%
Total,,,,,107.55M,2.19M,+2.2%,100%
