CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
67103H107,ORLY,O'REILLY AUTOMOTIVE INC COMMON STOCK NEW,230.37M,0.29%,212.52M,+1190.4%
75886F107,REGN,REGENERON PHARMACEUTICALS,1.02B,1.3%,160.17M,+18.6%
244199105,DE,DEERE & CO,704.93M,0.88%,148.95M,+26.8%
482480100,KLAC,KLA-TENCOR CORPORATION,87.09M,0.11%,85.59M,+5697.9%
43300A203,HLT,HILTON WORLDWIDE HOLDINGS IN,164.93M,0.21%,43.7M,+36.1%
589378108,MRCY,MERCURY COMPUTER SYSTEMS INC,53.46M,0.07%,40.78M,+321.7%
450056106,IRTC,IRHYTHM TECHNOLOGIES INC,39.34M,0.05%,39.34M,NEW
09290D101,BLK,BLACKROCK INC,270.1M,0.34%,38.26M,+16.5%
16115Q308,GTLS,CHART INDUSTRIES INC,51.6M,0.06%,37.62M,+269.1%
874039100,TSM,TAIWAN SEMICONDUCTOR ADR,201.13M,0.25%,37.46M,+22.9%
60471A101,MIR,MIRION TECHNOLOGIES INC,34.27M,0.04%,34.27M,NEW
71944F106,PHR,PHREESIA INC,34.16M,0.04%,34.16M,NEW
91324P102,UNH,UNITEDHEALTH GROUP,182.58M,0.23%,31.64M,+21%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,1.7B,2.1%,28.96M,+1.7%
580589109,MGRC,MCGRATH RENTCORP,38.11M,0.05%,28.13M,+282.1%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,573.48M,0.72%,27.33M,+5%
052769106,ADSK,AUTODESK INC,1.81B,2.3%,27.26M,+1.5%
204166102,CVLT,COMMVAULT SYSTEMS INC,69.74M,0.09%,27.23M,+64.1%
254687106,DIS,THE WALT DISNEY CO,1.78B,2.2%,26.93M,+1.5%
46625H100,JPM,JP MORGAN CHASE & CO,224.02M,0.28%,24.31M,+12.2%
