CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
230031106,CGEM,CULLINAN THERAPEUTICS INC,4400842,1185120,33.14M,8.92M,+36.9%,9.6%
G3855L106,GHRS,GH RESEARCH PLC,6746951,303011,82.25M,3.69M,+4.7%,23.8%
89854M101,TCRX,TSCAN THERAPEUTICS INC,7857347,2500000,11.39M,3.62M,+46.7%,3.3%
86150R107,STOK,STOKE THERAPEUTICS INC,5404674,112745,61.34M,1.28M,+2.1%,17.7%
74019P207,DTIL,PRECISION BIOSCIENCES INC,1036051,270000,4.35M,1.13M,+35.2%,1.3%
451033708,IBIO,IBIO INC,1538573,676294,1.17M,516.08K,+78.4%,0.34%
045396207,ASMB,ASSEMBLY BIOSCIENCES INC,10366,10366,187.83K,187.83K,NEW,0.05%
N5749R100,MRUS,MERUS N V,1568841,0,82.52M,0,NO CHANGE,23.8%
74366E102,PTGX,PROTAGONIST THERAPEUTICS INC,733014,0,40.51M,0,NO CHANGE,11.7%
019770106,ALLO,ALLOGENE THERAPEUTICS INC,11057009,0,12.49M,0,NO CHANGE,3.6%
12529R107,CCCC,C4 THERAPEUTICS INC,7098133,0,10.15M,0,NO CHANGE,2.9%
702712100,PASG,PASSAGE BIO INC,9256953,0,3.71M,0,NO CHANGE,1.1%
91678A107,UPB,UPSTREAM BIO INC,219247,0,2.41M,0,NO CHANGE,0.7%
64136E102,NEUP,NEUPHORIA THERAPEUTICS INC,45806,0,325.22K,0,NO CHANGE,0.09%
25056L103,DSGN,DESIGN THERAPEUTICS INC,65954,0,222.26K,0,NO CHANGE,0.06%
Total,,,,,346.17M,19.36M,+6.9%,100%
