CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
24703L202,DELL,DELL TECHNOLOGIES INC,22794,22794,2.79M,2.79M,NEW,1.7%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,29475,8999,4.25M,1.3M,+43.9%,2.6%
512807306,LRCX,LAM RESEARCH CORP,29492,6187,2.87M,602.23K,+26.5%,1.8%
46090E103,QQQ,INVESCO QQQ TR,548,548,302.29K,302.29K,NEW,0.19%
532457108,LLY,ELI LILLY & CO,738,366,573.73K,284.53K,+98.4%,0.35%
78464A599,XSW,SPDR SERIES TRUST,1489,1489,282.71K,282.71K,NEW,0.17%
316092352,FBCG,FIDELITY COVINGTON TRUST,4935,4935,238.06K,238.06K,NEW,0.15%
389637109,GBTC,GRAYSCALE BITCOIN TRUST ETF,2752,2752,233.45K,233.45K,NEW,0.14%
617446448,MS,MORGAN STANLEY,1591,1591,224.11K,224.11K,NEW,0.14%
594918104,MSFT,MICROSOFT CORP,10968,378,5.46M,188.04K,+3.6%,3.3%
149123101,CAT,CATERPILLAR INC,11708,443,4.55M,171.99K,+3.9%,2.8%
231021106,CMI,CUMMINS INC,4537,480,1.49M,157.16K,+11.8%,0.91%
969904101,WSM,WILLIAMS SONOMA INC,4944,945,807.79K,154.4K,+23.6%,0.49%
02079K107,GOOG,ALPHABET INC,22501,867,3.99M,153.78K,+4%,2.4%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,5259,334,2.34M,148.7K,+6.8%,1.4%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,4908,480,1.51M,147.91K,+10.8%,0.93%
921932505,VOOG,VANGUARD ADMIRAL FDS INC,1457,299,577.78K,118.57K,+25.8%,0.35%
697435105,PANW,PALO ALTO NETWORKS INC,8675,556,1.78M,113.78K,+6.8%,1.1%
464287309,IVW,ISHARES TR,4498,1030,495.28K,113.41K,+29.7%,0.3%
023135106,AMZN,AMAZON COM INC,22501,506,4.94M,111.01K,+2.3%,3%
81762P102,NOW,SERVICENOW INC,1916,100,1.97M,102.81K,+5.5%,1.2%
67066G104,NVDA,NVIDIA CORPORATION,39427,648,6.23M,102.38K,+1.7%,3.8%
