CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
26484T106,DNB,DUN & BRADSTREET HLDGS INC,96.68M,0.47%,96.68M,NEW
85205L107,SWTX,SPRINGWORKS THERAPEUTICS INC,96.45M,0.47%,96.45M,NEW
69349H107,TXNM,TXNM ENERGY INC,93.35M,0.45%,93.35M,NEW
09627Y109,BPMC,BLUEPRINT MEDICINES CORP,93.58M,0.45%,92.99M,+15881.8%
830566105,SKX,SKECHERS U S A INC,89.4M,0.43%,89.4M,NEW
05368X102,AVDX,AVIDXCHANGE HOLDINGS INC,82.71M,0.4%,82.71M,NEW
01609WBG6,BABA,ALIBABA GROUP HLDG LTD,65.35M,0.32%,65.35M,NEW
311642102,FARO,FARO TECHNOLOGIES INC,65.15M,0.32%,65.15M,NEW
29788T103,ETWO,E2OPEN PARENT HOLDINGS INC,61.56M,0.3%,61.56M,NEW
89677Q107,TCOM,TRIP COM GROUP LTD,57M,0.28%,57M,NEW
62482R107,COOP,MR COOPER GROUP INC,56.84M,0.28%,52.4M,+1179.3%
47215PAJ5,JD,JD.COM INC,50.03M,0.24%,50.03M,NEW
05478C105,AZEK,AZEK CO INC,80.41M,0.39%,41.74M,+108%
19260QAF4,COIN,COINBASE GLOBAL INC,38.3M,0.19%,38.3M,NEW
138103106,CTLP,CANTALOUPE INC,35.8M,0.17%,35.45M,+10162.7%
69331CAL2,PCG,PG&E CORP,60.55M,0.29%,32.79M,+118.1%
806882106,RDUS,RADIUS RECYCLING INC,48.61M,0.24%,29.61M,+155.8%
847215100,SPTN,SPARTANNASH CO,28.23M,0.14%,28.23M,NEW
G63212107,MBAV,M3BRIGADE ACQUISITION V CORP,26.25M,0.13%,26.25M,NEW
00971TAL5,AKAM,AKAMAI TECHNOLOGIES INC,24.26M,0.12%,24.26M,NEW
G93A7H104,VACH,VOYAGER ACQUISITION CORP,22.36M,0.11%,22.36M,NEW
G8901A103,TACH,TITAN ACQUISITION CORP,22.18M,0.11%,22.18M,NEW
G21301109,CCIX,CHURCHILL CAPITAL CORP IX,21.02M,0.1%,21.02M,NEW
G5S87A105,LPBB,LAUNCH TWO ACQUISITION CORP.,20.73M,0.1%,20.73M,NEW
G2130T124,CCCXU,CHURCHILL CAP CORP X,20.6M,0.1%,20.6M,NEW
G8431T101,SIMA,SIM ACQUISITION CORP. I,20.37M,0.1%,20.37M,NEW
82509LAA5,SHOP,SHOPIFY INC,20.36M,0.1%,20.36M,NEW
G75751100,RAC,RITHM ACQUISITION CORP,20.31M,0.1%,20.31M,NEW
G5S86M100,LPAA,LAUNCH ONE ACQUISITION CORP,20.31M,0.1%,20.31M,NEW
G5501C109,CUB,LIONHEART HOLDINGS,20.17M,0.1%,20.17M,NEW
G01558108,ALDF,ALDEL FINL II INC,19.77M,0.1%,19.77M,NEW
G20315100,ALF,CENTURION ACQUISITION CORP,19.62M,0.1%,19.62M,NEW
G6301B101,MLAC,MOUNTAIN LAKE ACQUISITION CO,19.51M,0.09%,19.51M,NEW
G5304D122,KCHV,KOCHAV DEFENSE ACQUI CO,19.33M,0.09%,19.33M,NEW
G93Y09107,VCIC,VINE HILL CAP INVT CORP.,18.67M,0.09%,18.67M,NEW
G5509P102,LOKV,LIVE OAK ACQUISITION CORP V,18.45M,0.09%,18.45M,NEW
G6476A102,NPAC,NEW PROVIDENCE ACQUISITION C,18.18M,0.09%,18.18M,NEW
G82745129,SOULU,SOULPOWER ACQUISITION CORP,18.09M,0.09%,18.09M,NEW
G8118C124,SDHIU,SIDDHI ACQUISITION CORP,17.68M,0.09%,17.68M,NEW
G8193F109,SZZL,SIZZLE ACQUISITION CORP. II,17.55M,0.09%,17.55M,NEW
G1051H101,TACO,BERTO ACQUISITION CORP,17.09M,0.08%,17.09M,NEW
G4036C106,GRAF,GRAF GLOBAL CORP,16.89M,0.08%,16.89M,NEW
665531AJ8,NOG,NORTHERN OIL & GAS INC,16.18M,0.08%,16.18M,NEW
G4R103107,GSRT,GSR III ACQUISITION CORP,15.48M,0.08%,15.48M,NEW
G7010A129,PMTR,PERIMETER ACQUISITION CORP I,15.26M,0.07%,15.26M,NEW
G3415K101,FERAU,FIFTH ERA ACQUISITION CORP I,15.2M,0.07%,15.2M,NEW
G1368E122,BLUWU,BLUE WTR ACQUISITION CORP. I,15.01M,0.07%,15.01M,NEW
G6439S109,NTWO,NEWBURY STR II ACQUISITION C,14.91M,0.07%,14.91M,NEW
74267C106,PRA,PROASSURANCE CORP,67.5M,0.33%,14.59M,+27.6%
G26745102,POLE,ANDRETTI ACQUISITION CORP II,14.53M,0.07%,14.53M,NEW
G8772L121,TVACU,TEXAS VENTURES ACQUISITION I,14.38M,0.07%,14.38M,NEW
G9008W105,TDAC,TRANSLATIONAL DEV ACQUISITIO,13.34M,0.06%,13.34M,NEW
125896BX7,CMS,CMS ENERGY CORP,13.32M,0.06%,13.32M,NEW
G8475V103,SVCC,STELLAR V CAP CORP,13.29M,0.06%,13.29M,NEW
G04537109,ATII,ARCHIMEDES TECH SPAC PARTNER,13.25M,0.06%,13.25M,NEW
G6861F120,OYSEU,OYSTER ENTERPRISES II ACQUIS,13.16M,0.06%,13.16M,NEW
G9675P102,WLAC,WILLOW LANE ACQUISITION CORP,12.9M,0.06%,12.9M,NEW
G6486E102,NHIC,NEWHOLD INVT CORP III,12.74M,0.06%,12.74M,NEW
G52258111,KFII,K&F GROWTH ACQUISITION CORP,12.68M,0.06%,12.68M,NEW
G6858G123,OBAWU,OXLEY BRIDGE ACQ LTD,12.51M,0.06%,12.51M,NEW
