CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
67066G104,NVDA,NVIDIA CORPORATION,216.76M,13.4%,216.76M,NEW
594918104,MSFT,MICROSOFT CORP,151.21M,9.3%,105.95M,+234.1%
49177J102,KVUE,KENVUE INC,87.55M,5.4%,87.55M,NEW
92840M102,VST,VISTRA CORP,54.85M,3.4%,54.85M,NEW
144285103,CRS,CARPENTER TECHNOLOGY CORP,53.03M,3.3%,53.03M,NEW
808513105,SCHW,SCHWAB CHARLES CORP,65.26M,4%,47.01M,+257.6%
81141R100,SE,SEA LTD,91.65M,5.7%,43.66M,+91%
M2682V108,CYBR,CYBERARK SOFTWARE LTD,37.66M,2.3%,37.66M,NEW
82846H405,QXO,QXO INC,37.53M,2.3%,37.53M,NEW
682189105,ON,ON SEMICONDUCTOR CORP,34.12M,2.1%,34.12M,NEW
21874C102,CNM,CORE & MAIN INC,33.77M,2.1%,33.77M,NEW
23804L103,DDOG,DATADOG INC,32.89M,2%,32.89M,NEW
74736K101,QRVO,QORVO INC,48.74M,3%,28.36M,+139.2%
G8068L108,SN,SHARKNINJA INC,23.46M,1.4%,23.46M,NEW
36162J106,GEO,GEO GROUP INC NEW,46.1M,2.8%,19.64M,+74.2%
741623102,PRMB,PRIMO BRANDS CORPORATION,92.59M,5.7%,18.22M,+24.5%
632307104,NTRA,NATERA INC,31.59M,1.9%,18.08M,+133.8%
88339J105,TTD,THE TRADE DESK INC,15.26M,0.94%,15.26M,NEW
22266T109,CPNG,COUPANG INC,31.26M,1.9%,14.48M,+86.3%
G3643J108,FLUT,FLUTTER ENTMT PLC,16.86M,1%,13.72M,+436.3%
29362U104,ENTG,ENTEGRIS INC,12.1M,0.75%,12.1M,NEW
538034109,LYV,LIVE NATION ENTERTAINMENT IN,11.91M,0.73%,11.91M,NEW
771049103,RBLX,ROBLOX CORP,11.57M,0.71%,11.57M,NEW
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,7.29M,0.45%,7.29M,NEW
