CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
14040H105,COF,CAPITAL ONE FINL CORP,16.48M,2%,16.48M,NEW
64110L106,NFLX,NETFLIX INC,47.93M,5.7%,16.25M,+51.3%
67066G104,NVDA,NVIDIA CORPORATION,72.78M,8.7%,11.06M,+17.9%
855244109,SBUX,STARBUCKS CORP,17.8M,2.1%,9.09M,+104.5%
16935C109,CHYM,CHIME FINL INC,7.99M,0.96%,7.99M,NEW
72352L106,PINS,PINTEREST INC,10.64M,1.3%,7.41M,+229.7%
G3643J108,FLUT,FLUTTER ENTMT PLC,36M,4.3%,6.69M,+22.8%
767292105,RIOT,RIOT PLATFORMS INC,6.61M,0.79%,6.61M,NEW
594918104,MSFT,MICROSOFT CORP,46.93M,5.6%,5.89M,+14.4%
023135106,AMZN,AMAZON COM INC,49.4M,5.9%,5.8M,+13.3%
02079K305,GOOGL,ALPHABET INC,34.8M,4.2%,3.54M,+11.3%
68389X105,ORCL,ORACLE CORP,33.76M,4%,2.02M,+6.4%
983134107,WYNN,WYNN RESORTS LTD,21.39M,2.6%,1.87M,+9.6%
097023105,BA,BOEING CO,29.25M,3.5%,1.78M,+6.5%
047726302,BATRK,ATLANTA BRAVES HLDGS INC,1.24M,0.15%,1.24M,NEW
26142V105,DKNG,DRAFTKINGS INC NEW,1.22M,0.15%,1.22M,NEW
49177J102,KVUE,KENVUE INC,1.05M,0.13%,1.05M,NEW
N07059210,ASML,ASML HOLDING N V,16.74M,2%,971.3K,+6.2%
808513105,SCHW,SCHWAB CHARLES CORP,912K,0.11%,912K,NEW
44267T102,HHH,HOWARD HUGHES HOLDINGS INC,625K,0.07%,625K,NEW
75513E101,RTX,RTX CORPORATION,33.5M,4%,542.76K,+1.6%
92556H206,PARA,PARAMOUNT GLOBAL,20.98M,2.5%,387K,+1.9%
53635D202,LQDA,LIQUIDIA CORPORATION,318K,0.04%,318K,NEW
G1110E107,BHVN,BIOHAVEN LTD,272K,0.03%,272K,NEW
45720N103,INBX,INHIBRX BIOSCIENCES INC,243K,0.03%,243K,NEW
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,17.42M,2.1%,115.87K,+0.7%
02079K107,GOOG,ALPHABET INC,2.35M,0.28%,0,NO CHANGE
828806109,SPG,SIMON PPTY GROUP INC NEW,1.3M,0.16%,0,NO CHANGE
03027X100,AMT,AMERICAN TOWER CORP NEW,492K,0.06%,0,NO CHANGE
573284106,MLM,MARTIN MARIETTA MATLS INC,1.07M,0.13%,-21.96K,-2%
042068205,ARM,ARM HOLDINGS PLC,39.1M,4.7%,-28.47K,-0.1%
30303M102,META,META PLATFORMS INC,65.25M,7.8%,-68.64K,-0.1%
369604301,GE,GE AEROSPACE,23.29M,2.8%,-141.82K,-0.6%
09260D107,BX,BLACKSTONE INC,9.95M,1.2%,-786.32K,-7.3%
293792107,EPD,ENTERPRISE PRODS PARTNERS L,0,0%,-852K,CLOSE
617446448,MS,MORGAN STANLEY,0,0%,-875K,CLOSE
36828A101,GEV,GE VERNOVA INC,38.08M,4.6%,-1.06M,-2.7%
04626A103,ALAB,ASTERA LABS INC,0,0%,-1.21M,CLOSE
517834107,LVS,LAS VEGAS SANDS CORP,4.35M,0.52%,-1.31M,-23.1%
889478103,TOL,TOLL BROTHERS INC,0,0%,-1.58M,CLOSE
526057104,LEN,LENNAR CORP,0,0%,-1.95M,CLOSE
83406F102,SOFI,SOFI TECHNOLOGIES INC,0,0%,-1.98M,CLOSE
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,0,0%,-2.53M,CLOSE
26603R106,DUOL,DUOLINGO INC,23.68M,2.8%,-2.56M,-9.7%
11135F101,AVGO,BROADCOM INC,0,0%,-4M,CLOSE
949746101,WFC,WELLS FARGO CO NEW,13.84M,1.7%,-4.6M,-24.9%
037833100,AAPL,APPLE INC,27.4M,3.3%,-4.86M,-15.1%
552953101,MGM,MGM RESORTS INTERNATIONAL,0,0%,-5.05M,CLOSE
254687106,DIS,DISNEY WALT CO,29.23M,3.5%,-5.31M,-15.4%
98980G102,ZS,ZSCALER INC,14.86M,1.8%,-6.07M,-29%
88160R101,TSLA,TESLA INC,911K,0.11%,-6.26M,-87.3%
46120E602,ISRG,INTUITIVE SURGICAL INC,11.99M,1.4%,-6.45M,-35%
98954M101,ZG,ZILLOW GROUP INC,1.71M,0.21%,-6.75M,-79.8%
21037T109,CEG,CONSTELLATION ENERGY CORP,0,0%,-7.06M,CLOSE
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,0,0%,-26.85M,CLOSE
Total,,,835.1M,100%,170.73M,+25.7%
