CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,733310,733310,364.76M,364.76M,NEW,5.1%
037833100,AAPL,APPLE INC,1442483,1442483,295.95M,295.95M,NEW,4.1%
67066G104,NVDA,NVIDIA CORPORATION,1817112,1817112,287.09M,287.09M,NEW,4%
922908629,VO,VANGUARD INDEX FDS,947793,947793,265.22M,265.22M,NEW,3.7%
023135106,AMZN,AMAZON COM INC,910879,910879,199.84M,199.84M,NEW,2.8%
11135F101,AVGO,BROADCOM INC,529840,529840,146.05M,146.05M,NEW,2%
02079K305,GOOGL,ALPHABET INC,791411,791411,139.47M,139.47M,NEW,1.9%
46625H100,JPM,JPMORGAN CHASE & CO.,445383,445383,129.12M,129.12M,NEW,1.8%
25434V500,DFAS,DIMENSIONAL ETF TRUST,1873337,1873337,119.35M,119.35M,NEW,1.7%
464288612,GVI,ISHARES TR,1007399,1007399,107.58M,107.58M,NEW,1.5%
30303M102,META,META PLATFORMS INC,131690,131690,97.2M,97.2M,NEW,1.3%
00287Y109,ABBV,ABBVIE INC,479725,479725,89.05M,89.05M,NEW,1.2%
084670702,BRKB,BERKSHIRE HATHAWAY INC DEL,181511,181511,88.17M,88.17M,NEW,1.2%
931142103,WMT,WALMART INC,853702,853702,83.48M,83.48M,NEW,1.2%
921943858,VEA,VANGUARD TAX-MANAGED FDS,1454549,1454549,82.92M,82.92M,NEW,1.1%
92826C839,V,VISA INC,233416,233416,82.87M,82.87M,NEW,1.1%
17275R102,CSCO,CISCO SYS INC,1104310,1104310,76.62M,76.62M,NEW,1.1%
78462F103,SPY,SPDR S&P 500 ETF TR,122946,122946,75.96M,75.96M,NEW,1.1%
22160K105,COST,COSTCO WHSL CORP NEW,75473,75473,74.71M,74.71M,NEW,1%
G29183103,ETN,EATON CORP PLC,202503,202503,72.29M,72.29M,NEW,1%
75513E101,RTX,RTX CORPORATION,473384,473384,69.12M,69.12M,NEW,0.96%
30231G102,XOM,EXXON MOBIL CORP,638707,638707,68.85M,68.85M,NEW,0.95%
02079K107,GOOG,ALPHABET INC,387851,387851,68.8M,68.8M,NEW,0.95%
149123101,CAT,CATERPILLAR INC,172129,172129,66.82M,66.82M,NEW,0.93%
742718109,PG,PROCTER AND GAMBLE CO,398370,398370,63.47M,63.47M,NEW,0.88%
907818108,UNP,UNION PAC CORP,273277,273277,62.88M,62.88M,NEW,0.87%
580135101,MCD,MCDONALDS CORP,213961,213961,62.51M,62.51M,NEW,0.87%
88160R101,TSLA,TESLA INC,193991,193991,61.62M,61.62M,NEW,0.85%
922908363,VOO,VANGUARD INDEX FDS,107480,107480,61.05M,61.05M,NEW,0.85%
969457100,WMB,WILLIAMS COS INC,965534,965534,60.65M,60.65M,NEW,0.84%
58933Y105,MRK,MERCK & CO INC,734214,734214,58.12M,58.12M,NEW,0.8%
03076C106,AMP,AMERIPRISE FINL INC,108519,108519,57.92M,57.92M,NEW,0.8%
H1467J104,CB,CHUBB LIMITED,197043,197043,57.09M,57.09M,NEW,0.79%
464287200,IVV,ISHARES TR,88940,88940,55.22M,55.22M,NEW,0.76%
437076102,HD,HOME DEPOT INC,148351,148351,54.39M,54.39M,NEW,0.75%
922908553,VNQ,VANGUARD INDEX FDS,596696,596696,53.14M,53.14M,NEW,0.74%
718172109,PM,PHILIP MORRIS INTL INC,291288,291288,53.05M,53.05M,NEW,0.73%
46432F842,IEFA,ISHARES TR,622596,622596,51.97M,51.97M,NEW,0.72%
09857L108,BKNG,BOOKING HOLDINGS INC,8621,8621,49.91M,49.91M,NEW,0.69%
79466L302,CRM,SALESFORCE INC,182838,182838,49.86M,49.86M,NEW,0.69%
713448108,PEP,PEPSICO INC,375929,375929,49.64M,49.64M,NEW,0.69%
025072604,AVEM,AMERICAN CENTY ETF TR,695622,695622,47.68M,47.68M,NEW,0.66%
464287614,IWF,ISHARES TR,112027,112027,47.56M,47.56M,NEW,0.66%
808524300,SCHG,SCHWAB STRATEGIC TR,1547812,1547812,45.21M,45.21M,NEW,0.63%
438516106,HON,HONEYWELL INTL INC,186862,186862,43.52M,43.52M,NEW,0.6%
166764100,CVX,CHEVRON CORP NEW,284008,284008,40.67M,40.67M,NEW,0.56%
532457108,LLY,ELI LILLY & CO,49237,49237,38.38M,38.38M,NEW,0.53%
20825C104,COP,CONOCOPHILLIPS,411784,411784,36.95M,36.95M,NEW,0.51%
666807102,NOC,NORTHROP GRUMMAN CORP,73605,73605,36.8M,36.8M,NEW,0.51%
78467Y107,MDY,SPDR S&P MIDCAP 400 ETF TR,64215,64215,36.38M,36.38M,NEW,0.5%
747525103,QCOM,QUALCOMM INC,227556,227556,36.24M,36.24M,NEW,0.5%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,85705,85705,34.75M,34.75M,NEW,0.48%
70450Y103,PYPL,PAYPAL HLDGS INC,452072,452072,33.6M,33.6M,NEW,0.47%
278865100,ECL,ECOLAB INC,121622,121622,32.77M,32.77M,NEW,0.45%
464287507,IJH,ISHARES TR,523597,523597,32.47M,32.47M,NEW,0.45%
66987V109,NVS,NOVARTIS AG,266893,266893,32.3M,32.3M,NEW,0.45%
64110L106,NFLX,NETFLIX INC,23456,23456,31.41M,31.41M,NEW,0.43%
29250N105,ENB,ENBRIDGE INC,678167,678167,30.73M,30.73M,NEW,0.43%
808524862,SCHO,SCHWAB STRATEGIC TR,1202205,1202205,29.31M,29.31M,NEW,0.41%
291011104,EMR,EMERSON ELEC CO,215375,215375,28.72M,28.72M,NEW,0.4%
G87052109,TEL,TE CONNECTIVITY PLC,168218,168218,28.37M,28.37M,NEW,0.39%
478160104,JNJ,JOHNSON & JOHNSON,184657,184657,28.21M,28.21M,NEW,0.39%
922908769,VTI,VANGUARD INDEX FDS,90914,90914,27.63M,27.63M,NEW,0.38%
09260D107,BX,BLACKSTONE INC,176230,176230,26.36M,26.36M,NEW,0.36%
921937819,BIV,VANGUARD BD INDEX FDS,339264,339264,26.24M,26.24M,NEW,0.36%
808524409,SCHV,SCHWAB STRATEGIC TR,945455,945455,26.16M,26.16M,NEW,0.36%
693475105,PNC,PNC FINL SVCS GROUP INC,140306,140306,26.16M,26.16M,NEW,0.36%
464287598,IWD,ISHARES TR,130861,130861,25.42M,25.42M,NEW,0.35%
464287804,IJR,ISHARES TR,231622,231622,25.31M,25.31M,NEW,0.35%
92343V104,VZ,VERIZON COMMUNICATIONS INC,576882,576882,24.96M,24.96M,NEW,0.35%
03027X100,AMT,AMERICAN TOWER CORP NEW,112508,112508,24.87M,24.87M,NEW,0.34%
808513105,SCHW,SCHWAB CHARLES CORP,271837,271837,24.8M,24.8M,NEW,0.34%
