CUSIP,Ticker,Company,Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,50000,24.87M,19.9M,+400%,26.7%
67066G104,NVDA,NVIDIA CORPORATION,100000,15.8M,9.48M,+150%,17%
30303M102,META,META PLATFORMS INC,18000,13.29M,3.69M,+38.5%,14.3%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,5000,2.43M,2.43M,NEW,2.6%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,10000,2.43M,2.43M,NEW,2.6%
781154109,RBRK,RUBRIK INC.,20000,1.79M,1.79M,NEW,1.9%
023135106,AMZN,AMAZON COM INC,20000,4.39M,1.1M,+33.3%,4.7%
21873S108,CRWV,COREWEAVE INC,6000,978.36K,978.36K,NEW,1.1%
M2029K104,BIRK,BIRKENSTOCK HOLDING PLC,15000,737.7K,737.7K,NEW,0.79%
051774107,AUR,AURORA INNOVATION INC,100000,524K,524K,NEW,0.56%
H5919C104,ONON,ON HLDG AG,10000,520.5K,520.5K,NEW,0.56%
00835Q202,AEVA,AEVA TECHNOLOGIES INC,5000,188.95K,188.95K,NEW,0.2%
893641100,TDG,TRANSDIGM GROUP INC,2500,3.8M,0,NO CHANGE,4.1%
82835W108,SPRY,ARS PHARMACEUTICALS INC,50000,872.5K,-436.25K,-33.3%,0.94%
N3167Y103,RACE,FERRARI N V,3000,1.47M,-490.74K,-25%,1.6%
G3643J108,FLUT,FLUTTER ENTMT PLC,0,0,-664.65K,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,0,0,-773.2K,CLOSE,0%
632307104,NTRA,NATERA INC,0,0,-1.41M,CLOSE,0%
81141R100,SE,SEA LTD,25000,4M,-1.6M,-28.6%,4.3%
38141G104,GS,GOLDMAN SACHS GROUP INC,0,0,-1.64M,CLOSE,0%
037833100,AAPL,APPLE INC,0,0,-1.78M,CLOSE,0%
64110L106,NFLX,NETFLIX INC,3500,4.69M,-2.01M,-30%,5%
101137107,BSX,BOSTON SCIENTIFIC CORP,20000,2.15M,-2.15M,-50%,2.3%
72352L106,PINS,PINTEREST INC,0,0,-2.33M,CLOSE,0%
46625H100,JPM,JPMORGAN CHASE & CO.,0,0,-2.45M,CLOSE,0%
78462F103,SPY,SPDR S&P 500 ETF TR,0,0,-2.8M,CLOSE,0%
29082A107,EMBR3,EMBRAER S.A.,30000,1.71M,-3.41M,-66.7%,1.8%
770700102,HOOD,ROBINHOOD MKTS INC,30000,2.81M,-3.75M,-57.1%,3%
718172109,PM,PHILIP MORRIS INTL INC,20000,3.64M,-6.37M,-63.6%,3.9%
Total,,,,93.08M,25.62M,+38%,100%
