CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
464289511,IGLB,ISHARES 10plus YR CR BD,12.82M,0.8%,12.82M,NEW
46139W825,BSCX,INVESCO EXCHNG TRAD SLF INDE INVESCO,12.66M,0.8%,12.66M,NEW
65339F101,NEE,NEXTERA ENERGY INC,20.7M,1.2%,11.9M,+135.3%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,24M,1.4%,9.29M,+63.1%
78470P820,MYCF,SSGA ACTIVE TR SPDR SSGA,7.44M,0.4%,7.44M,NEW
428291108,HXL,HEXCEL CORP NEW,7.26M,0.4%,7.26M,NEW
09061G101,BMRN,BIOMARIN PHARMACEUTICAL INC,26.16M,1.6%,6.98M,+36.4%
82982L103,SITE,SITEONE LANDSCAPE SUPPLY INC,6.77M,0.4%,6.77M,NEW
M2197Q107,CLBT,CELLEBRITE DI LTD ORDINARY,6.12M,0.4%,6.12M,NEW
67066G104,NVDA,NVIDIA CORP,8.06M,0.5%,5.56M,+221.5%
902673102,UFPT,UFP TECHNOLOGIES INC,5.19M,0.3%,5.19M,NEW
33767E202,FSV,FIRSTSERVICE CORP NEW,5.16M,0.3%,5.16M,NEW
90400D108,RARE,ULTRAGENYX PHARMACEUTICAL IN,10M,0.6%,4.56M,+83.9%
88160R101,TSLA,TESLA MTRS INC,5.53M,0.3%,4.4M,+385.7%
311900104,FAST,FASTENAL CO,9.31M,0.6%,3.89M,+71.9%
53803X105,LOB,LIVE OAK BANCSHARES INC,10.92M,0.7%,3.06M,+38.9%
277432100,EMN,EASTMAN CHEMICAL CO,8.53M,0.5%,2.53M,+42.3%
02081G201,ATEC,ALPHATEC HLDGS INC,12.02M,0.7%,2.09M,+21%
07831C103,BRBR,BELLRING BRANDS INC COMMON,10.3M,0.6%,1.48M,+16.8%
136375102,CNI,CANADIAN NATL RY CO,7.75M,0.5%,1.15M,+17.4%
G4705A100,ICLR,ICON PLC,9.67M,0.6%,1.13M,+13.2%
82509L107,SHOP,SHOPIFY INC,696.18K,0%,696.2K,NEW
02079K305,GOOGL,ALPHABET INC CAP STK,669.02K,0%,669.01K,NEW
46434V621,DGRO,ISHARES TR CORE DIV,513.44K,0%,513.44K,NEW
88339J105,TTD,THE TRADE DESK INC COM,378.2K,0%,378.22K,NEW
92189F676,SMH,VANECK SEMICONDUCTOR ETF,251.1K,0%,251.1K,NEW
902973304,USB,US BANCORP DEL,1.38M,0.1%,99.55K,+7.7%
464288414,MUB,ISHARES TR NATIONAL MUN,1.57M,0.1%,25.7K,+1.7%
292671708,UUUU,ENERGY FUELS INC F,57.5K,<.01%,0,NO CHANGE
92862Y109,VPLM,VOIP-PAL COM INC,1.31K,<.01%,0,NO CHANGE
P16994132,BLX,BANCO LATINOAMERICANO F,1.55M,0.1%,-133.72K,-8%
922908553,VNQ,VANGUARD INDEX FDS REIT,880.17K,0.1%,-142.87K,-14%
478160104,JNJ,JOHNSON & JOHNSON,1.02M,0.1%,-145.27K,-12.4%
49177J102,KVUE,KENVUE INC,1.05M,0.1%,-151.34K,-12.5%
922908751,VB,VANGUARD INDEX FDS SMALL CP,1.38M,0.1%,-159.74K,-10.4%
G25508105,CRH,CRH PLC,1.22M,0.1%,-173.5K,-12.5%
191216100,KO,COCA COLA CO,1.11M,0.1%,-187.63K,-14.5%
008492100,ADC,AGREE REALTY CORP,1.49M,0.1%,-209.02K,-12.3%
882508104,TXN,TEXAS INSTRS INC,1.62M,0.1%,-232.96K,-12.6%
252131107,DXCM,DEXCOM INC,21.67M,1.3%,-265.19K,-1.2%
742718109,PG,PROCTER AND GAMBLE CO,2M,0.1%,-284.86K,-12.5%
931142103,WMT,WAL-MART STORES INC,2.44M,0.1%,-395.13K,-13.9%
922042858,VWO,VANGUARD INTL EQUITY INDEX F FTSE EMR MKT,2.08M,0.1%,-482.38K,-18.8%
03524A108,BUD,ANHEUSER BUSCH INBEV SA/NV,2.89M,0.2%,-504.54K,-14.9%
892356106,TSCO,TRACTOR SUPPLY CO,5.3M,0.3%,-550.97K,-9.4%
922020805,VTIP,VANGUARD MALVERN FDS STRM,2.5M,0.2%,-570.36K,-18.6%
92939U106,WEC,WEC ENERGY GROUP INC,1.95M,0.1%,-602.8K,-23.6%
058498106,BALL,BALL CORP,6.07M,0.4%,-651.76K,-9.7%
617700109,MORN,MORNINGSTAR INC,6.18M,0.4%,-653.62K,-9.6%
12572Q105,CME,CME GROUP INC,4.46M,0.3%,-687.95K,-13.4%
015271109,ARE,ALEXANDRIA REAL ESTATE EQ IN,3.87M,0.2%,-699.72K,-15.3%
142339100,CSL,CARLISLE COS INC,5.6M,0.3%,-710.21K,-11.2%
922908629,VO,VANGUARD INDEX FDS MID CAP,3.6M,0.2%,-733.18K,-16.9%
679295105,OKTA,OKTA INC,6.64M,0.4%,-737.38K,-10%
955306105,WST,WEST PHARMACEUTICAL SVSC INC,6.45M,0.4%,-790.12K,-10.9%
36262G101,GXO,GXO LOGISTICS INCORPORATED COMMON,7.43M,0.4%,-791.57K,-9.6%
74982T103,RXO,RXO INC COMMON,7.3M,0.4%,-849.54K,-10.4%
049468101,TEAM,ATLASSIAN CORPORATION,5.3M,0.3%,-862.57K,-14%
22160K105,COST,COSTCO WHSL CORP NEW,6.33M,0.4%,-865.29K,-12%
G5960L103,MDT,MEDTRONIC PLC,5.15M,0.3%,-890.27K,-14.7%
670100205,NVO,NOVO-NORDISK A S,5.29M,0.3%,-912.44K,-14.7%
42704L104,HRI,HERC HLDGS INC,8.87M,0.5%,-917.48K,-9.4%
85254J102,STAG,STAG INDL INC,8.85M,0.5%,-932.54K,-9.5%
227046109,CROX,CROCS INC,9.37M,0.6%,-959.02K,-9.3%
911312106,UPS,UNITED PARCEL SERVICE INC,5.44M,0.3%,-984.06K,-15.3%
78410G104,SBAC,SBA COMMUNICATIONS CORP NEW,9.47M,0.6%,-992.95K,-9.5%
98850P109,YUMC,YUM CHINA HLDGS INC,5.87M,0.4%,-999.72K,-14.5%
921943858,VEA,VANGUARD TAX-MANAGED INTL FD FTSE DEV MKT,3.96M,0.2%,-1.01M,-20.3%
82846H405,QXO,QXO INC,9.74M,0.6%,-1.02M,-9.5%
38267D109,GSHD,GOOSEHEAD INS INC COM,10.02M,0.6%,-1.05M,-9.5%
74736L109,QTWO,Q2 HLDGS INC,10.38M,0.6%,-1.1M,-9.6%
40415F101,HDB,HDFC BANK LTD,6.64M,0.4%,-1.14M,-14.6%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,11M,0.7%,-1.16M,-9.5%
942622200,WSO,WATSCO INC,10.21M,0.6%,-1.19M,-10.4%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,9.7M,0.6%,-1.2M,-11%
44267T102,HHH,HOWARD HUGHES HOLDINGS INC,10.43M,0.6%,-1.21M,-10.4%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,6.96M,0.4%,-1.22M,-14.9%
902252105,TYL,TYLER TECHNOLOGIES INC,11.69M,0.7%,-1.23M,-9.5%
42226A107,HQY,HEALTHEQUITY INC,11.9M,0.7%,-1.25M,-9.5%
941848103,WAT,WATERS CORP,10.94M,0.7%,-1.27M,-10.4%
25861R303,DCRE,DOUBLELINE TRUST COMMERCIAL REAL,11.79M,0.7%,-1.27M,-9.7%
25861R402,DMBS,DOUBLELINE ETF TRUST MORTGAGE,11.81M,0.7%,-1.27M,-9.7%
46138J577,BSCT,INVESCO EXCH TRD SLF IDX FD BULETSHS,11.97M,0.7%,-1.28M,-9.7%
760125104,RTO,RENTOKIL INITIAL PLC,7.85M,0.5%,-1.29M,-14.1%
46436E486,IBDW,ISHARES TR IBONDS DEC,12.3M,0.7%,-1.3M,-9.6%
G3323L100,FN,FABRINET,12.83M,0.8%,-1.34M,-9.5%
20030N101,CMCSA,COMCAST CORP NEW,7.22M,0.4%,-1.37M,-15.9%
94106B101,WCN,WASTE CONNECTIONS INC,8.23M,0.5%,-1.41M,-14.7%
704326107,PAYX,PAYCHEX INC,9.52M,0.6%,-1.51M,-13.7%
037833100,AAPL,APPLE INC,2.12M,0.1%,-1.52M,-41.7%
G0403H108,AON,AON PLC SHS,9.45M,0.6%,-1.58M,-14.3%
46436E205,IBDU,ISHARES TR IBONDS DEC,17.16M,1%,-1.82M,-9.6%
888787108,TOST,TOAST INC,17.29M,1%,-1.84M,-9.6%
46138J429,BSCV,INVESCO EXCH TRD SLF IDX FD BULETSHS 2031,18.06M,1.1%,-1.95M,-9.7%
25862V105,DV,DOUBLEVERIFY HLDGS INC,0,0%,-1.96M,CLOSE
235851102,DHR,DANAHER CORP DEL,14M,0.8%,-1.98M,-12.4%
861896108,SNEX,STONEX GROUP INC,18.75M,1.1%,-1.99M,-9.6%
052769106,ADSK,AUTODESK INC,15.74M,0.9%,-2M,-11.3%
03027X100,AMT,AMERICAN TOWER CORP NEW,12.5M,0.8%,-2.03M,-14%
23804L103,DDOG,DATADOG INC CL A,18.07M,1.1%,-2.19M,-10.8%
570535104,MKL,MARKEL CORP,13.69M,0.8%,-2.26M,-14.2%
97717W836,DFJ,WISDOMTREE TR JP SMALLCP,14.22M,0.9%,-2.47M,-14.8%
11133T103,BR,BROADRIDGE FINL SOLUTIONS IN,21.41M,1.3%,-2.47M,-10.4%
922908363,VOO,VANGUARD INDEX FDS S&P 500 ETF,14.52M,0.9%,-2.52M,-14.8%
46434V407,SHYG,ISHARES TR 0-5YR HI YL,24.94M,1.5%,-2.67M,-9.7%
113004105,BAM,BROOKFIELD ASSET MANAGMT LTD CL A LMT VTG,11.6M,0.7%,-2.85M,-19.8%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,17.84M,1.1%,-2.87M,-13.9%
594918104,MSFT,MICROSOFT CORP,18.2M,1.1%,-2.9M,-13.7%
115236101,BRO,BROWN & BROWN INC,25.16M,1.5%,-2.94M,-10.5%
806857108,SLB,SCHLUMBERGER LTD F,0,0%,-2.98M,CLOSE
46139W858,BSCW,INVESCO EXCHNG TRAD SLF INDE BULLETSHS,29.18M,1.8%,-3.13M,-9.7%
46138J460,BSCU,INVESCO EXCH TRD SLF IDX FD INVSCO 30,29.41M,1.8%,-3.15M,-9.7%
22160N109,CSGP,COSTAR GROUP INC,23.41M,1.4%,-3.17M,-11.9%
05464C101,AXON,AXON ENTERPRISE INC,28.11M,1.7%,-3.35M,-10.6%
29444U700,EQIX,EQUINIX INC,27.52M,1.7%,-3.89M,-12.4%
921937835,BND,VANGUARD BD INDEX FD INC TOTAL BND,4.95M,0.3%,-3.91M,-44.1%
46434V738,IEUR,ISHARES TR CORE MSCI,10.08M,0.6%,-4.06M,-28.7%
011642105,ALRM,ALARM COM HLDGS INC,8.73M,0.5%,-4.12M,-32.1%
697435105,PANW,PALO ALTO NETWORKS INC,33.93M,2%,-4.79M,-12.4%
79466L302,CRM,SALESFORCE COM INC,37.89M,2.3%,-5.09M,-11.9%
46138J783,BSCR,INVSC BULLETSHARES 2027 CRP BND ETF,0,0%,-5.41M,CLOSE
57636Q104,MA,MASTERCARD INC,40.16M,2.4%,-5.45M,-12%
371901109,GNTX,GENTEX CORP,0,0%,-6.4M,CLOSE
89531P105,TREX,TREX CO INC,0,0%,-6.85M,CLOSE
02079K107,GOOG,ALPHABET INC CAP STK,54.47M,3.3%,-7.28M,-11.8%
55354G100,MSCI,MSCI INC,0,0%,-7.36M,CLOSE
89400J107,TRU,TRANSUNION,0,0%,-7.54M,CLOSE
58733R102,MELI,MERCADOLIBRE INC,57.09M,3.4%,-7.57M,-11.7%
46138J643,BSCS,INVESCO EXCH TRD SLF IDX FD INVSCO BLSH,25.02M,1.5%,-7.97M,-24.2%
64110L106,NFLX,NETFLIX INC,59.69M,3.6%,-8.03M,-11.9%
46138J791,BSCQ,INVSC BULLETSHARS 2026 CORP BND ETF,0,0%,-8.05M,CLOSE
216648501,COO,COOPER COS INC,0,0%,-8.13M,CLOSE
379577208,GMED,GLOBUS MED INC CLASS A,0,0%,-8.6M,CLOSE
09857L108,BKNG,BOOKING HOLDINGS INC,64.07M,3.9%,-8.9M,-12.2%
30303M102,META,FACEBOOK INC,85.65M,5.2%,-9.18M,-9.7%
023135106,AMZN,AMAZON COM INC,79.2M,4.8%,-10.75M,-11.9%
595112103,MU,MICRON TECHNOLOGY INC,0,0%,-16.68M,CLOSE
46138J825,BSCP,INVESCO EXCH TRD SLF IDX FD BULSHS 2025,25.48M,1.5%,-16.98M,-40%
Total,,,1.66B,100%,-33.58M,-2%
