CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
03783C100,APPF,"Appfolio, Inc.",506892,104153,116.73M,23.98M,+25.9%,13.1%
205306103,TBRG,Trubridge Inc,683921,467016,16.02M,10.94M,+215.3%,1.8%
023135106,AMZN,Amazon Com Inc,985000,45000,216.1M,9.87M,+4.8%,24.2%
22266T109,CPNG,Coupang Inc,3201575,229594,95.92M,6.88M,+7.7%,10.8%
98954M101,ZG,Zillow Group Inc,92232,45932,6.32M,3.15M,+99.2%,0.71%
185123106,CWAN,Clearwater Analytics HLDGS I,114517,114517,2.51M,2.51M,NEW,0.28%
82509L107,SHOP,Shopify Inc.,41590,0,4.8M,0,NO CHANGE,0.54%
82452JAD1,FOUR,"Shift4 Payments, Inc.",1,0,214.75K,0,NO CHANGE,0.02%
02079K107,GOOG,Alphabet Inc,193700,-2500,34.36M,-443.47K,-1.3%,3.9%
88160R101,TSLA,Tesla Inc,0,-5000,0,-1.3M,CLOSE,0%
02079K305,GOOGL,Alphabet Inc,110500,-7500,19.47M,-1.32M,-6.4%,2.2%
25809K105,DASH,DoorDash Inc,227743,-20000,56.14M,-4.93M,-8.1%,6.3%
58733R102,MELI,MercadoLibre Inc,63508,-2000,165.99M,-5.23M,-3.1%,18.6%
594918104,MSFT,Microsoft Corp,136200,-15000,67.75M,-7.46M,-9.9%,7.6%
922475108,VEEV,Veeva Sys Inc,311345,-30000,89.66M,-8.64M,-8.8%,10.1%
292812104,ENFN,Enfusion Inc,0,-868085,0,-9.68M,CLOSE,0%
79466L302,CRM,Salesforce Inc,0,-75968,0,-20.39M,CLOSE,0%
Total,,,,,891.97M,-2.05M,-0.3%,100%
