CUSIP,Ticker,Company,Shares,Value,Delta_Value,Delta,Portfolio%
91332U101,U,UNITY SOFTWARE INC,1407859,34.07M,34.07M,NEW,4.3%
303250104,FICO,FAIR ISAAC CORP,18063,33.02M,33.02M,NEW,4.2%
G8068L108,SN,SHARKNINJA INC,439374,43.49M,27.9M,+178.9%,5.5%
67066G104,NVDA,NVIDIA CORPORATION,148345,23.44M,23.44M,NEW,3%
87422Q109,TLN,TALEN ENERGY CORP,187326,54.47M,22.55M,+70.6%,6.9%
042068205,ARM,ARM HOLDINGS PLC,135144,21.86M,21.86M,NEW,2.8%
718172109,PM,PHILIP MORRIS INTL INC,90357,16.46M,16.46M,NEW,2.1%
464287614,IWF,ISHARES TR,95988,40.75M,14.88M,+57.5%,5.1%
36162J106,GEO,GEO GROUP INC NEW,1602862,38.39M,11.24M,+41.4%,4.8%
92840M102,VST,VISTRA CORP,308790,59.85M,10.92M,+22.3%,7.5%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,260753,59.06M,10.51M,+21.7%,7.4%
21037T109,CEG,CONSTELLATION ENERGY CORP,79833,25.77M,-2.59M,-9.1%,3.2%
30303M102,META,META PLATFORMS INC,34950,25.8M,-2.59M,-9.1%,3.3%
369604301,GE,GE AEROSPACE,104584,26.92M,-2.71M,-9.1%,3.4%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,133547,41.82M,-4.21M,-9.1%,5.3%
88579Y101,MMM,3M CO,145288,22.12M,-5.81M,-20.8%,2.8%
03831W108,APP,APPLOVIN CORP,66899,23.42M,-8.4M,-26.4%,3%
G3730V105,FTAI,FTAI AVIATION LTD,381213,43.85M,-8.52M,-16.3%,5.5%
31620M106,FIS,FIDELITY NATL INFORMATION SV,414224,33.72M,-8.99M,-21.1%,4.2%
741623102,PRMB,PRIMO BRANDS CORPORATION,740238,21.93M,-15.68M,-41.7%,2.8%
29273V100,ET,ENERGY TRANSFER L P,0,0,-27.31M,CLOSE,0%
03769M106,APO,APOLLO GLOBAL MGMT INC,321104,45.56M,-41.31M,-47.6%,5.7%
023135106,AMZN,AMAZON COM INC,263156,57.73M,-43.51M,-43%,7.3%
Total,,,,793.48M,160.19M,+25.3%,100%
