CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
01609W102,BABA,ALIBABA GRP-ADR,2092869,264005,237.35M,29.94M,+14.4%,25%
47215P106,JD,JD.COM INC-ADR,3974215,660041,129.72M,21.54M,+19.9%,13.6%
35969L108,YMM,FULL TRUCK A-ADR,7924966,1767038,93.59M,20.87M,+28.7%,9.8%
697900108,PAAS,PAN AMER SILVER,551278,551278,15.66M,15.66M,NEW,1.6%
45104G104,IBN,ICICI BANK-ADR,315620,264565,10.62M,8.9M,+518.2%,1.1%
518613203,LAUR,LAUREATE EDUCATI,1578937,322872,36.92M,7.55M,+25.7%,3.9%
48268K101,KT,KT CORP-ADR,4180113,348592,86.86M,7.24M,+9.1%,9.1%
05278C107,ATHM,AUTOHOME INC-ADR,2205961,251003,56.89M,6.47M,+12.8%,6%
056752108,BIDU,BAIDU INC-SP ADR,618650,61413,53.06M,5.27M,+11%,5.6%
984245100,YPF,YPF SA-ADR,1550349,162999,48.76M,5.13M,+11.7%,5.1%
G2519Y108,BAP,CREDICORP LTD,8256,8256,1.85M,1.85M,NEW,0.19%
874039100,TSM,TAIWAN SEMIC-ADR,445597,4790,100.92M,1.08M,+1.1%,10.6%
893870204,TGS,TRANSPORT GA-ADR,37000,12000,958.3K,310.8K,+48%,0.1%
L6388F110,TIGO,MILLICOM INTL,52881,8000,1.98M,299.76K,+17.8%,0.21%
21240E105,VLRS,CONTROLADORA-ADR,4964410,53304,23.58M,253.19K,+1.1%,2.5%
15234Q207,EBR,ELETROBRAS-ADR,219652,0,1.63M,0,NO CHANGE,0.17%
058934100,BBAR,BBVA ARGENT-ADR,30000,0,493.8K,0,NO CHANGE,0.05%
40049J206,TV,GRUPO TELEV-ADR,100000,0,219K,0,NO CHANGE,0.02%
71654V408,PBR,PETROBRAS SA-ADR,113724,-64636,1.42M,-808.6K,-36.2%,0.15%
78440P306,SKM,SK TELEC-SPN ADR,0,-42917,0,-912.41K,CLOSE,0%
92763W103,VIPS,VIPSHOP HOLD-ADR,3224215,-768983,48.52M,-11.57M,-19.3%,5.1%
29082A107,ERJ,EMBRAER SA-ADR,2400,-430841,136.58K,-24.52M,-99.4%,0.01%
Total,,,,,951.14M,94.55M,+10.6%,100%
