CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
773121108,RKLB,Rocket Lab Corp,19.35M,6%,19.35M,NEW
67079K100,SMR,Nuscale Pwr Corp,7.84M,2.4%,2.43M,+44.9%
88160R101,TSLA,Tesla Inc,4.76M,1.5%,2.38M,+100%
81762P102,NOW,Sevicenow Inc,7.25M,2.2%,2.06M,+39.6%
00217D100,ASTS,Ast Spacemobile Inc,32.27M,10%,1.87M,+6.1%
023135106,AMZN,Amazon Com Inc,15.53M,4.8%,1.56M,+11.1%
67066G104,NVDA,Nvidia Corporation,88.32M,27.3%,1.11M,+1.3%
007903107,AMD,Advanced Micro Devices Inc,17.78M,5.5%,567.6K,+3.3%
594918104,MSFT,Microsoft Corp,16.51M,5.1%,547.15K,+3.4%
037833100,AAPL,Apple Inc,16.6M,5.1%,10.26K,+0.1%
L8681T102,SPOT,Spotify Technology S A,30.77M,9.5%,0,NO CHANGE
22788C105,CRWD,Crowdstrike Hldgs Inc,25.97M,8%,0,NO CHANGE
833445109,SNOW,Snowflake Inc,17.21M,5.3%,0,NO CHANGE
573874104,MRVL,Marvell Technology Inc,12.93M,4%,0,NO CHANGE
389637109,GBTC,Grayscale Bitcoin Trust Etf,9.14M,2.8%,0,NO CHANGE
389930207,BTC,Grayscale Bitcoin Mini Tr Et,1.03M,0.32%,0,NO CHANGE
74347R206,QLD,Proshares Tr,0,0%,-3.82M,CLOSE
773122106,RKLB,Rocket Lab Usa Inc,0,0%,-8.69M,CLOSE
Total,,,323.25M,100%,104.27M,+47.6%
