CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
09260D107,BX,BLACKSTONE INC,31.41M,3.3%,31.41M,NEW
23804L103,DDOG,DATADOG INC,33.58M,3.5%,28.61M,+575.6%
67103H107,ORLY,OREILLY AUTOMOTIVE INC,16.22M,1.7%,14.96M,+1185.7%
983793100,XPO,XPO INC,51.78M,5.5%,9.27M,+21.8%
893641100,TDG,TRANSDIGM GROUP INC,38.02M,4%,9.12M,+31.6%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,11.3M,1.2%,7.98M,+240%
369604301,GE,GE AEROSPACE,56.11M,5.9%,7.21M,+14.7%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,80.14M,8.4%,6.07M,+8.2%
30303M102,META,META PLATFORMS INC,23.62M,2.5%,4.33M,+22.5%
79466L302,CRM,SALESFORCE INC,5.45M,0.57%,4.09M,+300%
565394103,CART,MAPLEBEAR INC,79.05M,8.3%,4M,+5.3%
833445109,SNOW,SNOWFLAKE INC,25.34M,2.7%,3.19M,+14.4%
82509L107,SHOP,SHOPIFY INC,32.3M,3.4%,2.69M,+9.1%
79589L106,IOT,SAMSARA INC,223.28K,0.02%,223.28K,NEW
224408104,CR,CRANE COMPANY,70.26M,7.4%,0,NO CHANGE
855244109,SBUX,STARBUCKS CORP,0,0%,-490.45K,CLOSE
88579Y101,MMM,3M CO,0,0%,-587.44K,CLOSE
53947R105,LOAR,LOAR HOLDINGS INC,46.53M,4.9%,-861.7K,-1.8%
023135106,AMZN,AMAZON COM INC,54.3M,5.7%,-1.71M,-3.1%
925050106,VRNA,VERONA PHARMA PLC,0,0%,-2.14M,CLOSE
422806109,HEI,HEICO CORP NEW,39.36M,4.1%,-3.28M,-7.7%
64110L106,NFLX,NETFLIX INC,34.82M,3.7%,-3.61M,-9.4%
43300A203,HLT,HILTON WORLDWIDE HLDGS INC,26.63M,2.8%,-5.33M,-16.7%
594918104,MSFT,MICROSOFT CORP,30.99M,3.3%,-7.31M,-19.1%
N3167Y103,RACE,FERRARI N V,41.71M,4.4%,-7.36M,-15%
00187Y100,APG,API GROUP CORP,35.99M,3.8%,-7.91M,-18%
526057104,LEN,LENNAR CORP,0,0%,-8.03M,CLOSE
67066G104,NVDA,NVIDIA CORPORATION,0,0%,-10.84M,CLOSE
615369105,MCO,MOODYS CORP,0,0%,-13.04M,CLOSE
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,38.37M,4%,-13.81M,-26.5%
36828A101,GEV,GE VERNOVA INC,44.98M,4.7%,-21.38M,-32.2%
Total,,,948.49M,100%,183.36M,+24%
