CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,168622,168622,2.88M,2.88M,NEW,1.5%
71424F105,PR,PERMIAN RESOURCES CORP,8395106,-1235,114.34M,-16.82K,-0%,60.5%
674599162,OXYWS,OCCIDENTAL PETE CORP,228175,-3833,4.73M,-79.38K,-1.7%,2.5%
165167180,EXEEL,EXPAND ENERGY CORPORATION,84578,-749,9.16M,-81.1K,-0.9%,4.8%
674215207,CHRD,CHORD ENERGY CORPORATION,91636,-1571,8.87M,-152.15K,-1.7%,4.7%
92840M102,VST,VISTRA CORP,61267,-1029,11.87M,-199.43K,-1.7%,6.3%
015658107,ASTL,ALGOMA STL GROUP INC,0,-72289,0,-391.81K,CLOSE,0%
87422Q109,TLN,TALEN ENERGY CORP,127767,-2159,37.15M,-627.77K,-1.7%,19.7%
G9456A100,GLNG,GOLAR LNG LTD,0,-88798,0,-3.37M,CLOSE,0%
40609P105,HNRG,HALLADOR ENERGY COMPANY,0,-364917,0,-4.48M,CLOSE,0%
Total,,,,,189M,-6.52M,-3.6%,100%
