CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
03831W108,APP,APPLOVIN CORP,67000,67000,23.46M,23.46M,NEW,1.2%
042068205,ARM,ARM HOLDINGS PLC,140000,140000,22.64M,22.64M,NEW,1.2%
90138F102,TWLO,TWILIO INC,160000,160000,19.9M,19.9M,NEW,1.1%
67066G104,NVDA,NVIDIA CORP,860000,100000,135.87M,15.8M,+13.2%,7.2%
550021109,LULU,LULULEMON ATHLETICA INC,45000,45000,10.69M,10.69M,NEW,0.57%
86366E106,GPCR,STRUCTURE THERAPEUTICS INC,460000,460000,9.54M,9.54M,NEW,0.51%
857477103,STT,STATE STREET CORPORATION,140000,80000,14.89M,8.51M,+133.3%,0.79%
30303M102,META,META PLATFORMS INC,156000,11000,115.14M,8.12M,+7.6%,6.1%
74766W108,QUBT,QUANTUM COMPUTING INC,400000,400000,7.67M,7.67M,NEW,0.41%
44980X109,IPGP,IPG PHOTONICS CORP,170000,105000,11.67M,7.21M,+161.5%,0.62%
701094104,PH,PARKER HANNIFIN CORP,63000,10000,44M,6.98M,+18.9%,2.3%
452308109,ITW,ILLINOIS TOOL WKS INC,91000,28000,22.5M,6.92M,+44.4%,1.2%
11135F101,AVGO,BROADCOM INC,220000,25000,60.64M,6.89M,+12.8%,3.2%
85254J102,STAG,STAG INDL INC,300000,175000,10.88M,6.35M,+140%,0.58%
670346105,NUE,NUCOR CORP,142000,37000,18.39M,4.79M,+35.2%,0.98%
254687106,DIS,DISNEY WALT CO,113000,38000,14.01M,4.71M,+50.7%,0.75%
69047Q102,OVV,OVINTIV INC,390000,115000,14.84M,4.38M,+41.8%,0.79%
00846U101,A,AGILENT TECHNOLOGIES INC,102000,37000,12.04M,4.37M,+56.9%,0.64%
00827B106,AFRM,AFFIRM HLDGS INC,375000,55000,25.93M,3.8M,+17.2%,1.4%
012653101,ALB,ALBEMARLE CORP,130000,60000,8.15M,3.76M,+85.7%,0.43%
166764100,CVX,CHEVRON CORP,200000,25000,28.64M,3.58M,+14.3%,1.5%
983134107,WYNN,WYNN RESORTS LTD,115000,38000,10.77M,3.56M,+49.4%,0.57%
617446448,MS,MORGAN STANLEY,210000,25000,29.58M,3.52M,+13.5%,1.6%
101121101,BXP,"BXP INC (formerly Boston Properties, Inc.)",150000,50000,10.12M,3.37M,+50%,0.54%
25179M103,DVN,DEVON ENERGY CORPORATION,500000,100000,15.9M,3.18M,+25%,0.85%
674599105,OXY,OCCIDENTAL PETE CORP,350000,75000,14.7M,3.15M,+27.3%,0.78%
30231G102,XOM,EXXON MOBIL CORP,200000,25000,21.56M,2.69M,+14.3%,1.1%
052769106,ADSK,AUTODESK INC,67000,8000,20.74M,2.48M,+13.6%,1.1%
403949100,DINO,HF SINCLAIR CORPORATION,300000,60000,12.32M,2.46M,+25%,0.66%
808513105,SCHW,SCHWAB CHARLES CORP,215000,27000,19.62M,2.46M,+14.4%,1%
088606108,BHP,BHP BILLITON LTD,350000,50000,16.83M,2.4M,+16.7%,0.9%
20825C104,COP,CONOCOPHILLIPS,200000,25000,17.95M,2.24M,+14.3%,0.96%
343412102,FLR,FLUOR CORP NEW,240000,40000,12.3M,2.05M,+20%,0.66%
009158106,APD,AIR PRODS & CHEMS INC,67000,7000,18.9M,1.97M,+11.7%,1%
031162100,AMGN,AMGEN INC,66000,7000,18.43M,1.95M,+11.9%,0.98%
927959106,VNOM,VIPER ENERGY INC,300000,50000,11.44M,1.91M,+20%,0.61%
03743Q108,APA,APA CORPORATION,400000,100000,7.32M,1.83M,+33.3%,0.39%
718546104,PSX,PHILLIPS 66,90000,15000,10.74M,1.79M,+20%,0.57%
136385101,CNQ,CANADIAN NAT RES LTD,500000,50000,15.7M,1.57M,+11.1%,0.84%
