CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
09174C104,BITB,BITWISE BITCOIN ETF TR,1960000,1960000,114.84M,114.84M,NEW,21.1%
315948109,FBTC,FIDELITY WISE ORIGIN BITCOIN,1090000,505000,102.45M,47.46M,+86.3%,18.8%
820014405,SBET,SHARPLINK GAMING INC,4715430,4715430,46.82M,46.82M,NEW,8.6%
19260QAF4,COIN,COINBASE GLOBAL INC,8000000,8000000,10.47M,10.47M,NEW,1.9%
19260Q107,COIN,COINBASE GLOBAL INC,93000,29800,32.6M,10.44M,+47.2%,6%
19260QAB3,COIN,COINBASE GLOBAL INC,5000000,5000000,5.78M,5.78M,NEW,1.1%
389930207,BTC,GRAYSCALE BITCOIN MINI TR ET,520000,100000,24.83M,4.78M,+23.8%,4.6%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,3364763,209940,57.44M,3.58M,+6.7%,10.5%
85237B101,TRON,SRM ENTERTAINMENT INC,320000,320000,2.48M,2.48M,NEW,0.45%
091955104,ETHW,BITWISE ETHEREUM ETF,1820000,0,32.87M,0,NO CHANGE,6%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,1875003,-12498,114.77M,-765K,-0.7%,21%
88080T104,WULF,TERAWULF INC,0,-651000,0,-1.78M,CLOSE,0%
Total,,,,,545.34M,244.12M,+119%,100%
