CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
02215L209,KNTK,KINETIK HOLDINGS INC,22.47M,5.4%,22.47M,NEW
88080T104,WULF,TERAWULF INC,4.93M,1.2%,2.48M,+101.4%
92840M102,VST,VISTRA CORP,4.58M,1.1%,2.29M,+100%
456941103,INR,INFINITY NATURAL RESOURCES INC,2.24M,0.54%,2.24M,NEW
293792107,EPD,ENTERPRISE PRODUCTS PARTNERS LP,28.29M,6.8%,2.14M,+8.2%
21037T109,CEG,CONSTELLATION ENERGY CORP,3.15M,0.76%,1.58M,+100%
71424F105,PR,PERMIAN RESOURCES CORP,5.62M,1.4%,1.16M,+26%
927959106,VNOM,VIPER ENERGY INC,7.75M,1.9%,877.91K,+12.8%
682680103,OKE,ONEOK INC,6.05M,1.5%,490.86K,+8.8%
03674X106,AR,ANTERO RESOURCES CORP,11.92M,2.9%,362.43K,+3.1%
75281A109,RRC,RANGE RESOURCES CORP,5.68M,1.4%,243.3K,+4.5%
44812J104,HUT,HUT 8 CORP,1.02M,0.24%,184.7K,+22.2%
26884L109,EQT,EQT CORP,6.85M,1.6%,117.08K,+1.7%
165167735,EXE,EXPAND ENERGY CORP,6.65M,1.6%,0,NO CHANGE
G9456A100,GLNG,GOLAR LNG LTD,6.59M,1.6%,0,NO CHANGE
726503105,PAA,PLAINS ALL AMERICAN PIPELINE LP,2.91M,0.7%,0,NO CHANGE
798241105,SJT,SAN JUAN BASIN ROYALTY TRUST,2.49M,0.6%,0,NO CHANGE
87612G101,TRGP,TARGA RESOURCES CORP,7.77M,1.9%,-172.71K,-2.2%
958669103,WES,WESTERN MIDSTREAM PARTNERS LP,17.52M,4.2%,-502.71K,-2.8%
17253J106,CIFR,CIPHER MINING INC,0,0%,-618.7K,CLOSE
55336V100,MPLX,MPLX LP,25.71M,6.2%,-669.76K,-2.5%
969457100,WMB,WILLIAMS COS INC/THE,34.94M,8.4%,-1.01M,-2.8%
72651A207,PAGP,PLAINS GP HOLDINGS LP,21.16M,5.1%,-2.45M,-10.4%
25278X109,FANG,DIAMONDBACK ENERGY INC,0,0%,-2.6M,CLOSE
49456B101,KMI,KINDER MORGAN INC,23.88M,5.7%,-2.85M,-10.7%
371927104,GEL,GENESIS ENERGY LP,39.39M,9.5%,-3.96M,-9.1%
16411R208,LNG,CHENIERE ENERGY INC,38.68M,9.3%,-4.62M,-10.7%
78574H104,SOC,SABLE OFFSHORE CORP,0,0%,-6.86M,CLOSE
29273V100,ET,ENERGY TRANSFER LP,43.3M,10.4%,-7.56M,-14.9%
03676B102,AM,ANTERO MIDSTREAM CORP,34.32M,8.3%,-8.24M,-19.4%
Total,,,415.84M,100%,-2.89M,-0.7%
