CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
N97284108,NBIS,NEBIUS GROUP N.V.,96.22M,17.8%,96.22M,NEW
36317J209,GLXY,GALAXY DIGITAL INC.,33.61M,6.2%,33.61M,NEW
097023105,BA,BOEING CO,129.23M,23.9%,20.95M,+19.3%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,18.83M,3.5%,14.12M,+300%
00218A105,ASPI,ASP ISOTOPES INC,16.15M,3%,13.58M,+528.6%
G0772R208,NTB,BANK OF NT BUTTERFIELD&SON L,79.41M,14.7%,10.8M,+15.7%
50077B207,KTOS,KRATOS DEFENSE & SEC SOLUTIO,82.32M,15.2%,0,NO CHANGE
464287655,IWM,ISHARES TR,19.42M,3.6%,0,NO CHANGE
09857L108,BKNG,BOOKING HOLDINGS INC,14.45M,2.7%,0,NO CHANGE
482497104,BEKE,KE HLDGS INC,9.75M,1.8%,0,NO CHANGE
44332N106,HTHT,H WORLD GROUP LTD,8.48M,1.6%,0,NO CHANGE
233051879,ASHR,DBX ETF TR,6.88M,1.3%,0,NO CHANGE
G17977110,BUR,BURFORD CAP LTD,6.74M,1.2%,0,NO CHANGE
500767306,KWEB,KRANESHARES TR,5.15M,0.95%,0,NO CHANGE
464287184,FXI,ISHARES TR,4.59M,0.85%,0,NO CHANGE
090040106,BILI,BILIBILI INC,2.15M,0.4%,0,NO CHANGE
90353T100,UBER,UBER TECHNOLOGIES INC,6.99M,1.3%,-6.99M,-50%
23344D108,DADA,DADA NEXUS LTD,0,0%,-8.53M,CLOSE
02079K305,GOOGL,ALPHABET INC,0,0%,-12.36M,CLOSE
Total,,,540.38M,100%,206.57M,+61.9%
