CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
G1151C101,ACN,ACCENTURE PLC IRELAND,2.64B,3.5%,2.64B,NEW
038222105,AMAT,APPLIED MATLS INC,1.41B,1.9%,1.41B,NEW
036752103,ELV,ELEVANCE HEALTH INC,2.27B,3%,448.25M,+24.7%
02079K107,GOOG,ALPHABET INC,6.27B,8.4%,375.71M,+6.4%
91324P102,UNH,UNITEDHEALTH GROUP INC,1.86B,2.5%,228.14M,+14%
722304102,PDD,PDD HOLDINGS INC,892.4M,1.2%,157.87M,+21.5%
89832Q109,TFC,TRUIST FINL CORP,93.42M,0.13%,325.86K,+0.4%
404280406,HSBC,HSBC HLDGS PLC,180.65M,0.24%,176.9K,+0.1%
002824100,ABT,ABBOTT LABS,161.54M,0.22%,157.77K,+0.1%
G3265R107,APTV,APTIV PLC,57.03M,0.08%,75.04K,+0.1%
00287Y109,ABBV,ABBVIE INC,101.93M,0.14%,70.53K,+0.1%
904767704,UL,UNILEVER PLC,7.28M,<.01%,11.62K,+0.2%
639057207,NWG,NATWEST GROUP PLC,3.26M,<.01%,-13.58K,-0.4%
87165B103,SYF,SYNCHRONY FINANCIAL,1.53M,<.01%,-27.36K,-1.8%
824596100,SHG,SHINHAN FINANCIAL GROUP CO L,7.31M,<.01%,-534.93K,-6.8%
456837103,ING,ING GROEP N.V.,3.14M,<.01%,-773.1K,-19.7%
910047109,UAL,UNITED AIRLS HLDGS INC,1.16B,1.6%,-3.11M,-0.3%
337738108,FI,FISERV INC,392.98M,0.53%,-4.18M,-1.1%
75513E101,RTX,RTX CORPORATION,1.37B,1.8%,-4.38M,-0.3%
406216101,HAL,HALLIBURTON CO,484.34M,0.65%,-8.12M,-1.6%
949746101,WFC,WELLS FARGO CO NEW,0,0%,-10.96M,CLOSE
713448108,PEP,PEPSICO INC,660.56M,0.89%,-13.27M,-2%
90384S303,ULTA,ULTA BEAUTY INC,542.8M,0.73%,-13.98M,-2.5%
89677Q107,TCOM,TRIP COM GROUP LTD,539.84M,0.72%,-14.92M,-2.7%
247361702,DAL,DELTA AIR LINES INC DEL,1.49B,2%,-15.89M,-1.1%
666807102,NOC,NORTHROP GRUMMAN CORP,990.13M,1.3%,-19.24M,-1.9%
01609W102,BABA,ALIBABA GROUP HLDG LTD,967.75M,1.3%,-25.39M,-2.6%
57636Q104,MA,MASTERCARD INCORPORATED,808.05M,1.1%,-28.01M,-3.3%
806857108,SLB,SCHLUMBERGER LTD,332.08M,0.45%,-29.02M,-8%
172967424,C,CITIGROUP INC,1B,1.3%,-31.62M,-3.1%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,2.61B,3.5%,-33.63M,-1.3%
742718109,PG,PROCTER AND GAMBLE CO,1.13B,1.5%,-37.16M,-3.2%
92826C839,V,VISA INC,1.09B,1.5%,-37.5M,-3.3%
046353108,AZN,ASTRAZENECA PLC,1.02B,1.4%,-37.88M,-3.6%
09857L108,BKNG,BOOKING HOLDINGS INC,1.59B,2.1%,-52.61M,-3.2%
125523100,CI,THE CIGNA GROUP,2.58B,3.5%,-64.93M,-2.5%
369550108,GD,GENERAL DYNAMICS CORP,1.15B,1.5%,-70.31M,-5.8%
023135106,AMZN,AMAZON COM INC,2.94B,4%,-75.89M,-2.5%
060505104,BAC,BANK AMERICA CORP,2.23B,3%,-79.89M,-3.5%
922042775,VEU,VANGUARD INTL EQUITY INDEX F,213.44M,0.29%,-144.75M,-40.4%
78462F103,SPY,SPDR S&P 500 ETF TR,344.63M,0.46%,-162.87M,-32.1%
40412C101,HCA,HCA HEALTHCARE INC,4.25B,5.7%,-177.21M,-4%
594918104,MSFT,MICROSOFT CORP,6.35B,8.5%,-226.14M,-3.4%
037833100,AAPL,APPLE INC,2.66B,3.6%,-280.53M,-9.5%
444859102,HUM,HUMANA INC,0,0%,-315.39M,CLOSE
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,8.67B,11.6%,-734.79M,-7.8%
867224107,SU,SUNCOR ENERGY INC NEW,149.56M,0.2%,-802.8M,-84.3%
46625H100,JPM,JPMORGAN CHASE & CO.,1.32B,1.8%,-934.05M,-41.5%
30303M102,META,META PLATFORMS INC,7.5B,10.1%,-1.33B,-15.1%
Total,,,74.49B,100%,7.58B,+11.3%
