CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
705573103,PEGA,PEGASYSTEMS INC,74.3M,11.4%,39.94M,+116.2%
19247G107,COHR,COHERENT CORP,39.74M,6.1%,39.74M,NEW
63947X101,NCNO,NCINO INC,34.66M,5.3%,34.66M,NEW
573874104,MRVL,MARVELL TECHNOLOGY INC,54.97M,8.5%,29.34M,+114.5%
256163106,DOCU,DOCUSIGN INC,25.39M,3.9%,25.39M,NEW
00827B106,AFRM,AFFIRM HLDGS INC,24.65M,3.8%,24.65M,NEW
M98068105,WIX,WIX COM LTD,36.8M,5.7%,18.08M,+96.5%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,17.62M,2.7%,17.62M,NEW
Y2573F102,FLEX,FLEX LTD,64.99M,10%,14.39M,+28.4%
60471A101,MIR,MIRION TECHNOLOGIES INC,11.96M,1.8%,11.96M,NEW
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,63.62M,9.8%,11.91M,+23%
12510Q100,CCCS,CCC INTELLIGENT SOLUTIONS HL,10.14M,1.6%,10.14M,NEW
91332U101,U,UNITY SOFTWARE INC,9.81M,1.5%,9.81M,NEW
M6191J100,FROG,JFROG LTD,9.51M,1.5%,9.51M,NEW
M7S64L123,PGY,PAGAYA TECHNOLOGIES LTD,4.35M,0.67%,4.35M,NEW
45867G101,IDCC,INTERDIGITAL INC,53.05M,8.2%,2.59M,+5.1%
565394103,CART,MAPLEBEAR INC,20.54M,3.2%,1.74M,+9.3%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,35.48M,5.5%,1.04M,+3%
63001N106,NATL,NCR ATLEOS CORPORATION,8.77M,1.4%,422.3K,+5.1%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,18.81M,2.9%,-7.69M,-29%
98980L101,ZM,ZOOM COMMUNICATIONS INC,0,0%,-8.02M,CLOSE
N14506104,ESTC,ELASTIC N V,15.55M,2.4%,-14.72M,-48.6%
185123106,CWAN,CLEARWATER ANALYTICS HLDGS I,14.63M,2.3%,-15.34M,-51.2%
74736K101,QRVO,QORVO INC,0,0%,-32.08M,CLOSE
Total,,,649.34M,100%,266.11M,+69.4%
