CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
922908363,VOO,VANGUARD INDEX FDS,83.57M,30.2%,1.5M,+1.8%
46434G103,IEMG,ISHARES INC,728.64K,0.26%,728.64K,NEW
464287408,IVE,ISHARES TR,463.14K,0.17%,463.14K,NEW
665130209,NOINX,NORTHERN EQUITY INDEX FDS,228.17K,0.08%,228.17K,NEW
291011104,EMR,EMERSON ELEC CO,220.53K,0.08%,220.53K,NEW
4812C0530,SEEGX,JPMORGAN TR II,217.15K,0.08%,217.15K,NEW
032095101,APH,AMPHENOL CORP NEW,212.41K,0.08%,212.41K,NEW
902973304,USB,US BANCORP DEL,205.84K,0.07%,205.84K,NEW
464287507,IJH,ISHARES TR,1.47M,0.53%,94.95K,+6.9%
464287614,IWF,ISHARES TR,480.95K,0.17%,27.62K,+6.1%
38147N285,GSINX,GOLDMAN SACHS TR II,1.4M,0.51%,26.44K,+1.9%
464287309,IVW,ISHARES TR,342.3K,0.12%,14.2K,+4.3%
67066G104,NVDA,NVIDIA CORPORATION,81.23M,29.4%,7.27K,+0%
30303M102,META,META PLATFORMS INC,1.08M,0.39%,5.17K,+0.5%
G1151C101,ACN,ACCENTURE PLC IRELAND,306.66K,0.11%,3.88K,+1.3%
032654105,ADI,ANALOG DEVICES INC,509.6K,0.18%,2.86K,+0.6%
693475105,PNC,PNC FINL SVCS GROUP INC,278.14K,0.1%,2.61K,+0.9%
98978V103,ZTS,ZOETIS INC,693.51K,0.25%,1.87K,+0.3%
654106103,NKE,NIKE INC,624.16K,0.23%,1.85K,+0.3%
002824100,ABT,ABBOTT LABS,683.45K,0.25%,1.5K,+0.2%
58933Y105,MRK,MERCK & CO INC,308.49K,0.11%,1.34K,+0.4%
20825C104,COP,CONOCOPHILLIPS,918.76K,0.33%,987,+0.1%
023135106,AMZN,AMAZON COM INC,656.41K,0.24%,877,+0.1%
037833100,AAPL,APPLE INC,11.91M,4.3%,820,+0%
92826C839,V,VISA INC,421.44K,0.15%,355,+0.1%
371927104,GEL,GENESIS ENERGY L P,3.45M,1.2%,0,NO CHANGE
315911750,FXAIX,FIDELITY CONCORD STR TR,1.49M,0.54%,0,NO CHANGE
617446448,MS,MORGAN STANLEY,1.26M,0.46%,0,NO CHANGE
461202103,INTU,INTUIT,1.09M,0.39%,0,NO CHANGE
04010L103,ARCC,ARES CAPITAL CORP,978.74K,0.35%,0,NO CHANGE
69121K104,OBDC,BLUE OWL CAPITAL CORPORATION,956.18K,0.35%,0,NO CHANGE
