CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
22160K105,COST,COSTCO WHSL CORP NEW,60.57M,0.68%,60.57M,NEW
594918104,MSFT,MICROSOFT CORP,65.65M,0.74%,59.05M,+894.1%
58155Q103,MCK,MCKESSON CORP,57.86M,0.65%,57.86M,NEW
149123101,CAT,CATERPILLAR INC,52.13M,0.59%,52.13M,NEW
256677105,DG,DOLLAR GEN CORP NEW,50.88M,0.57%,50.88M,NEW
15135B101,CNC,CENTENE CORP DEL,49.05M,0.55%,47.22M,+2578.6%
461202103,INTU,INTUIT,109.29M,1.2%,43.84M,+67%
G1151C101,ACN,ACCENTURE PLC IRELAND,49.11M,0.55%,42.18M,+608.6%
31488V107,FERG,FERGUSON ENTERPRISES INC,32.67M,0.37%,32.67M,NEW
205887102,CAG,CONAGRA BRANDS INC,36.68M,0.41%,31.63M,+627.1%
00287Y109,ABBV,ABBVIE INC,31.55M,0.36%,31.55M,NEW
57636Q104,MA,MASTERCARD INCORPORATED,52.22M,0.59%,31.02M,+146.3%
67103H107,ORLY,OREILLY AUTOMOTIVE INC,30.68M,0.35%,30.68M,NEW
21036P108,STZ,CONSTELLATION BRANDS INC,30.19M,0.34%,30.19M,NEW
189054109,CLX,CLOROX CO DEL,31.9M,0.36%,29.02M,+1006.4%
060505104,BAC,BANK AMERICA CORP,28.7M,0.32%,28.7M,NEW
67066G104,NVDA,NVIDIA CORPORATION,122.7M,1.4%,28.09M,+29.7%
808513105,SCHW,SCHWAB CHARLES CORP,27.65M,0.31%,27.65M,NEW
61174X109,MNST,MONSTER BEVERAGE CORP NEW,30.89M,0.35%,27.57M,+830.1%
097023105,BA,BOEING CO,31.66M,0.36%,27M,+579.6%
125269100,CF,CF INDS HLDGS INC,33.9M,0.38%,26.08M,+333.9%
278865100,ECL,ECOLAB INC,25.04M,0.28%,25.04M,NEW
037833100,AAPL,APPLE INC,90.16M,1%,24.83M,+38%
60855R100,MOH,MOLINA HEALTHCARE INC,24.5M,0.28%,24.5M,NEW
036752103,ELV,ELEVANCE HEALTH INC,25.18M,0.28%,24.5M,+3586.3%
773903109,ROK,ROCKWELL AUTOMATION INC,31.01M,0.35%,24.4M,+368.5%
243537107,DECK,DECKERS OUTDOOR CORP,24.11M,0.27%,24.11M,NEW
02005N100,ALLY,ALLY FINL INC,23.87M,0.27%,23.87M,NEW
237194105,DRI,DARDEN RESTAURANTS INC,24.56M,0.28%,23.61M,+2483.1%
571748102,MMC,MARSH & MCLENNAN COS INC,26.36M,0.3%,22.55M,+591.7%
70438V106,PCTY,PAYLOCITY HLDG CORP,22.4M,0.25%,22.4M,NEW
30161Q104,EXEL,EXELIXIS INC,27.75M,0.31%,22.38M,+417.8%
45168D104,IDXX,IDEXX LABS INC,22.08M,0.25%,22.08M,NEW
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,70.36M,0.79%,21.8M,+44.9%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,21.37M,0.24%,21.37M,NEW
71377A103,PFGC,PERFORMANCE FOOD GROUP CO,20.93M,0.24%,20.93M,NEW
85423L103,SARO,STANDARDAERO INC,20.62M,0.23%,20.62M,NEW
244199105,DE,DEERE & CO,20.55M,0.23%,20.55M,NEW
778296103,ROST,ROSS STORES INC,23.94M,0.27%,20.16M,+533.3%
337932107,FE,FIRSTENERGY CORP,19.97M,0.23%,19.97M,NEW
26603R106,DUOL,DUOLINGO INC,19.72M,0.22%,19.72M,NEW
697435105,PANW,PALO ALTO NETWORKS INC,25.41M,0.29%,19.51M,+330.5%
69351T106,PPL,PPL CORP,20.95M,0.24%,19.47M,+1320.9%
303250104,FICO,FAIR ISAAC CORP,19.07M,0.22%,19.07M,NEW
171484108,CHDN,CHURCHILL DOWNS INC,18.78M,0.21%,18.78M,NEW
053332102,AZO,AUTOZONE INC,18.43M,0.21%,18.43M,NEW
G0450A105,ACGL,ARCH CAP GROUP LTD,18.17M,0.21%,18.17M,NEW
191216100,KO,COCA COLA CO,18.01M,0.2%,18.01M,NEW
595112103,MU,MICRON TECHNOLOGY INC,17.89M,0.2%,17.89M,NEW
H1467J104,CB,CHUBB LIMITED,17.14M,0.19%,17.14M,NEW
67079K100,SMR,NUSCALE PWR CORP,16.53M,0.19%,16.53M,NEW
136375102,CNI,CANADIAN NATL RY CO,16.51M,0.19%,16.51M,NEW
143130102,KMX,CARMAX INC,26.05M,0.29%,16.5M,+173%
146869102,CVNA,CARVANA CO,34.72M,0.39%,16.19M,+87.4%
74624M102,PSTG,PURE STORAGE INC,22.41M,0.25%,16.15M,+258.1%
03820C105,AIT,APPLIED INDL TECHNOLOGIES IN,23.08M,0.26%,16.12M,+231.5%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,22.45M,0.25%,15.95M,+245.2%
75960P104,RELY,REMITLY GLOBAL INC,24.09M,0.27%,15.77M,+189.5%
345370860,F,FORD MTR CO,30.43M,0.34%,15.55M,+104.5%
681116109,OLLI,OLLIES BARGAIN OUTLET HLDGS,17.48M,0.2%,15.37M,+725.7%
N14506104,ESTC,ELASTIC N V,16.54M,0.19%,15.27M,+1199.2%
17275R102,CSCO,CISCO SYS INC,15.25M,0.17%,15.25M,NEW
