CUSIP,Ticker,Company,Shares,Value,Delta_Value,Delta,Portfolio%
303250104,FICO,FAIR ISAAC CORP,768422,1.4B,0,NO CHANGE,31%
78409V104,SPGI,S&P GLOBAL INC,1755098,925.45M,0,NO CHANGE,20.4%
57636Q104,MA,MASTERCARD INCORPORATED,1484772,834.35M,0,NO CHANGE,18.4%
615369105,MCO,MOODYS CORP,1314144,659.16M,0,NO CHANGE,14.6%
92826C839,V,VISA INC,912017,323.81M,0,NO CHANGE,7.2%
N07059210,ASML,ASML HOLDING N V,125627,100.68M,0,NO CHANGE,2.2%
294429105,EFX,EQUIFAX INC,144000,37.35M,0,NO CHANGE,0.82%
55354G100,MSCI,MSCI INC,59700,34.43M,0,NO CHANGE,0.76%
461202103,INTU,INTUIT,263312,207.39M,-26.82M,-11.5%,4.6%
Total,,,,4.53B,138.31M,+3.2%,100%
