CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
023135106,AMZN,AMAZON COM INC,849.59M,15.2%,726.05M,+587.7%
829073105,SSD,SIMPSON MFG INC,218.38M,3.9%,218.38M,NEW
60937P106,MDB,MONGODB INC,145M,2.6%,145M,NEW
62482R107,COOP,MR COOPER GROUP INC,135.01M,2.4%,135.01M,NEW
77311W101,RKT,ROCKET COS INC,214.48M,3.8%,119.07M,+124.8%
12504L109,CBRE,CBRE GROUP INC,82.59M,1.5%,82.59M,NEW
75737F108,RDFN,REDFIN CORP,64.96M,1.2%,64.96M,NEW
12510Q100,CCCS,CCC INTELLIGENT SOLUTIONS HL,27.12M,0.48%,27.12M,NEW
531229748,LLYVA,LIBERTY MEDIA CORP DEL,140.93M,2.5%,9.1M,+6.9%
531229722,LLYVK,LIBERTY MEDIA CORP DEL,323.98M,5.8%,7.14M,+2.3%
79466L302,CRM,SALESFORCE INC,790.39M,14.1%,0,NO CHANGE
538034109,LYV,LIVE NATION ENTERTAINMENT IN,133.92M,2.4%,0,NO CHANGE
92826C839,V,VISA INC,442.02M,7.9%,-24.14M,-5.2%
G6683N103,NU,NU HLDGS LTD,0,0%,-34.98M,CLOSE
888787108,TOST,TOAST INC,0,0%,-86.15M,CLOSE
30212P303,EXPE,EXPEDIA GROUP INC,46.95M,0.84%,-141.49M,-75.1%
45765U103,NSIT,INSIGHT ENTERPRISES INC,395.16M,7.1%,-165.71M,-29.5%
254687106,DIS,DISNEY WALT CO,630.92M,11.3%,-183.34M,-22.5%
30303M102,META,META PLATFORMS INC,460.11M,8.2%,-288.96M,-38.6%
771049103,RBLX,ROBLOX CORP,497.81M,8.9%,-424.26M,-46%
Total,,,5.6B,100%,1.02B,+22.2%
