CUSIP,Ticker,Company,Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORPORATION,2150000,339.68M,339.68M,NEW,12.2%
57636Q104,MA,MASTERCARD INCORPORATED,400000,224.78M,224.78M,NEW,8.1%
92826C839,V,VISA INC,635000,225.46M,118.94M,+111.7%,8.1%
049468101,TEAM,ATLASSIAN CORPORATION,550000,111.7M,111.7M,NEW,4%
20030N101,CMCSA,COMCAST CORP NEW,5500000,196.29M,23.2M,+13.4%,7%
02079K305,GOOGL,ALPHABET INC,3025000,533.1M,22.03M,+4.3%,19.1%
023135106,AMZN,AMAZON COM INC,1525000,334.57M,-29.62M,-8.1%,12%
90353T100,UBER,UBER TECHNOLOGIES INC,0,0,-36.43M,CLOSE,0%
64110L106,NFLX,NETFLIX INC,0,0,-46.63M,CLOSE,0%
30303M102,META,META PLATFORMS INC,50000,36.9M,-77.5M,-67.7%,1.3%
09857L108,BKNG,BOOKING HOLDINGS INC,40000,231.57M,-86.84M,-27.3%,8.3%
16119P108,CHTR,CHARTER COMMUNICATIONS INC N,0,0,-92.13M,CLOSE,0%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,1450000,328.41M,-130.23M,-28.4%,11.8%
594918104,MSFT,MICROSOFT CORP,450000,223.83M,-228.81M,-50.5%,8%
Total,,,,2.79B,542.24M,+24.2%,100%
