CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
958102105,WDC,WESTERN DIGITAL CORP,80732,80732,9.69M,9.69M,NEW,2.4%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,38399,38399,9.06M,9.06M,NEW,2.2%
45168D104,IDXX,IDEXX LABS INC,7934,7934,5.07M,5.07M,NEW,1.2%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,15554,15554,5.03M,5.03M,NEW,1.2%
911363109,URI,UNITED RENTALS INC,4816,4816,4.6M,4.6M,NEW,1.1%
369604301,GE,GE AEROSPACE,17332,14998,5.21M,4.51M,+642.6%,1.3%
67066G104,NVDA,NVIDIA CORPORATION,98217,22641,18.33M,4.22M,+30%,4.5%
910047109,UAL,UNITED AIRLS HLDGS INC,47431,41031,4.58M,3.96M,+641.1%,1.1%
G66721104,NCLH,NORWEGIAN CRUISE LINE HLDG L,146344,146344,3.6M,3.6M,NEW,0.89%
11135F101,AVGO,BROADCOM INC,32141,6689,10.6M,2.21M,+26.3%,2.6%
46436E718,SGOV,ISHARES TR,13313,13313,1.34M,1.34M,NEW,0.33%
12673Q103,CFND,C1 FD INC,107500,107500,876.12K,876.12K,NEW,0.22%
68389X105,ORCL,ORACLE CORP,6135,2288,1.73M,643.55K,+59.5%,0.42%
36828A101,GEV,GE VERNOVA INC,12303,980,7.57M,602.61K,+8.7%,1.9%
90353T100,UBER,UBER TECHNOLOGIES INC,5939,5939,581.85K,581.85K,NEW,0.14%
25809K105,DASH,DOORDASH INC,2067,2067,562.21K,562.21K,NEW,0.14%
842587107,SO,SOUTHERN CO,4291,4291,406.66K,406.66K,NEW,0.1%
808524854,SCHR,SCHWAB STRATEGIC TR,14973,14973,376.27K,376.27K,NEW,0.09%
78463V107,GLD,SPDR GOLD TR,980,980,348.36K,348.36K,NEW,0.09%
808524615,SMBS,SCHWAB STRATEGIC TR,12698,12698,326.47K,326.47K,NEW,0.08%
594918104,MSFT,MICROSOFT CORP,32693,627,16.93M,324.76K,+2%,4.2%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,1705,1705,323.44K,323.44K,NEW,0.08%
89532M101,TRVI,TREVI THERAPEUTICS INC,35100,35100,321.17K,321.17K,NEW,0.08%
78462F103,SPY,SPDR S&P 500 ETF TR,8492,454,5.66M,302.43K,+5.6%,1.4%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,2196,1026,619.5K,289.44K,+87.7%,0.15%
808524698,SCHI,SCHWAB STRATEGIC TR,12450,12450,287.35K,287.35K,NEW,0.07%
872540109,TJX,TJX COS INC NEW,1743,1743,251.94K,251.94K,NEW,0.06%
02079K305,GOOGL,ALPHABET INC,38829,1032,9.44M,250.89K,+2.7%,2.3%
64361Q101,VNOM,VIPER ENERGY INC,6543,6543,250.07K,250.07K,NEW,0.06%
58933Y105,MRK,MERCK & CO INC,13579,2822,1.14M,236.85K,+26.2%,0.28%
032095101,APH,AMPHENOL CORP NEW,40519,1879,5.01M,232.53K,+4.9%,1.2%
01881G106,AB,ALLIANCEBERNSTEIN HLDG L P,6000,6000,229.32K,229.32K,NEW,0.06%
91913Y100,VLO,VALERO ENERGY CORP,1341,1341,228.36K,228.36K,NEW,0.06%
82509L107,SHOP,SHOPIFY INC,1500,1500,222.91K,222.92K,NEW,0.05%
92206C102,VGSH,VANGUARD SCOTTSDALE FDS,3689,3689,217.11K,217.11K,NEW,0.05%
46434V407,SHYG,ISHARES TR,4994,4994,216.25K,216.25K,NEW,0.05%
464287457,SHY,ISHARES TR,12462,2603,1.03M,215.95K,+26.4%,0.25%
780087102,RY,ROYAL BK CDA,1450,1450,213.61K,213.61K,NEW,0.05%
025072877,AVUV,AMERICAN CENTY ETF TR,2105,2105,209.51K,209.51K,NEW,0.05%
854502101,SWK,STANLEY BLACK & DECKER INC,2814,2814,209.16K,209.16K,NEW,0.05%
921932703,VOOV,VANGUARD ADMIRAL FDS INC,1047,1047,208.84K,208.84K,NEW,0.05%
907818108,UNP,UNION PAC CORP,863,863,203.99K,203.99K,NEW,0.05%
36166F100,GBFH,GBANK FINL HLDGS INC,208750,5150,8.2M,202.24K,+2.5%,2%
030420103,AWK,AMERICAN WTR WKS CO INC NEW,1437,1437,200.02K,200.02K,NEW,0.05%
532457108,LLY,ELI LILLY & CO,2222,261,1.7M,199.14K,+13.3%,0.42%
539830109,LMT,LOCKHEED MARTIN CORP,2634,336,1.31M,167.73K,+14.6%,0.32%
30231G102,XOM,EXXON MOBIL CORP,5980,1373,674.25K,154.81K,+29.8%,0.17%
21037T109,CEG,CONSTELLATION ENERGY CORP,4385,418,1.44M,137.55K,+10.5%,0.35%
464287168,DVY,ISHARES TR,5962,923,847.2K,131.16K,+18.3%,0.21%
81369Y506,XLE,SELECT SECTOR SPDR TR,4066,1450,363.31K,129.56K,+55.4%,0.09%
46432F842,IEFA,ISHARES TR,6291,1377,549.27K,120.23K,+28%,0.13%
88636J527,ULTY,TIDAL TRUST II,32260,21000,176.46K,114.87K,+186.5%,0.04%
00287Y109,ABBV,ABBVIE INC,13468,462,3.12M,106.97K,+3.6%,0.77%
682680103,OKE,ONEOK INC NEW,4617,1461,336.9K,106.61K,+46.3%,0.08%
931142103,WMT,WALMART INC,14914,1010,1.54M,104.09K,+7.3%,0.38%
464287507,IJH,ISHARES TR,27378,1539,1.79M,100.44K,+6%,0.44%
78409V104,SPGI,S&P GLOBAL INC,1363,200,663.39K,97.34K,+17.2%,0.16%
29273V100,ET,ENERGY TRANSFER L P,103153,5114,1.77M,87.76K,+5.2%,0.43%
464287150,ITOT,ISHARES TR,5563,585,810.25K,85.21K,+11.8%,0.2%
H1467J104,CB,CHUBB LIMITED,1002,281,282.81K,79.31K,+39%,0.07%
031162100,AMGN,AMGEN INC,6268,277,1.77M,78.17K,+4.6%,0.43%
478160104,JNJ,JOHNSON & JOHNSON,29654,367,5.5M,68.05K,+1.3%,1.4%
46641Q332,JEPI,J P MORGAN EXCHANGE TRADED F,46406,1130,2.65M,64.52K,+2.5%,0.65%
921937827,BSV,VANGUARD BD INDEX FDS,12677,794,1M,62.65K,+6.7%,0.25%
293792107,EPD,ENTERPRISE PRODS PARTNERS L,19618,2000,613.46K,62.54K,+11.4%,0.15%
57636Q104,MA,MASTERCARD INCORPORATED,1257,105,715.28K,59.75K,+9.1%,0.18%
742718109,PG,PROCTER AND GAMBLE CO,22158,387,3.4M,59.46K,+1.8%,0.84%
92826C839,V,VISA INC,3611,171,1.23M,58.39K,+5%,0.3%
50208A102,SCD,LMP CAP & INCOME FD INC,56387,3735,875.69K,58K,+7.1%,0.22%
26745T101,DYAI,DYADIC INTL INC DEL,932004,49155,1.1M,58K,+5.6%,0.27%
92343V104,VZ,VERIZON COMMUNICATIONS INC,43787,1315,1.92M,57.79K,+3.1%,0.47%
713448108,PEP,PEPSICO INC,19537,406,2.74M,57.02K,+2.1%,0.67%
110122108,BMY,BRISTOL-MYERS SQUIBB CO,29665,1227,1.34M,55.34K,+4.3%,0.33%
969457100,WMB,WILLIAMS COS INC,11802,847,747.66K,53.66K,+7.7%,0.18%
92206C409,VCSH,VANGUARD SCOTTSDALE FDS,12041,566,962.43K,45.24K,+4.9%,0.24%
46434G103,IEMG,ISHARES INC,10295,677,678.62K,44.63K,+7%,0.17%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,2247,154,627.57K,43.01K,+7.4%,0.15%
46625H100,JPM,JPMORGAN CHASE & CO.,32275,135,10.18M,42.58K,+0.4%,2.5%
26441C204,DUK,DUKE ENERGY CORP NEW,7980,329,987.53K,40.71K,+4.3%,0.24%
925815102,VICR,VICOR CORP,45700,800,2.27M,39.78K,+1.8%,0.56%
49456B101,KMI,KINDER MORGAN INC DEL,31623,1340,895.23K,37.93K,+4.4%,0.22%
30303M102,META,META PLATFORMS INC,1680,51,1.23M,37.45K,+3.1%,0.3%
097023105,BA,BOEING CO,2855,140,616.2K,30.22K,+5.2%,0.15%
922908629,VO,VANGUARD INDEX FDS,4265,98,1.25M,28.79K,+2.4%,0.31%
191216100,KO,COCA COLA CO,18921,417,1.25M,27.66K,+2.3%,0.31%
20030N101,CMCSA,COMCAST CORP NEW,12261,870,385.26K,27.34K,+7.6%,0.09%
04010L103,ARCC,ARES CAPITAL CORP,11141,1160,227.38K,23.67K,+11.6%,0.06%
670346105,NUE,NUCOR CORP,8826,154,1.2M,20.86K,+1.8%,0.29%
00724F101,ADBE,ADOBE INC,2880,59,1.02M,20.81K,+2.1%,0.25%
922908538,VOT,VANGUARD INDEX FDS,1321,70,388.1K,20.57K,+5.6%,0.1%
02209S103,MO,ALTRIA GROUP INC,13628,275,900.25K,18.17K,+2.1%,0.22%
437076102,HD,HOME DEPOT INC,3184,41,1.29M,16.61K,+1.3%,0.32%
693475105,PNC,PNC FINL SVCS GROUP INC,2313,80,464.75K,16.07K,+3.6%,0.11%
464287226,AGG,ISHARES TR,4988,140,500.05K,14.04K,+2.9%,0.12%
88579Y101,MMM,3M CO,2755,90,427.5K,13.97K,+3.4%,0.1%
74348A467,NOBL,PROSHARES TR,9687,122,998.4K,12.57K,+1.3%,0.25%
09260E105,BMEZ,BLACKROCK HEALTH SCIENCES TE,27605,849,398.06K,12.24K,+3.2%,0.1%
717081103,PFE,PFIZER INC,64543,447,1.64M,11.39K,+0.7%,0.4%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,30409,183,1.75M,10.53K,+0.6%,0.43%
17275R102,CSCO,CISCO SYS INC,28226,152,1.93M,10.4K,+0.5%,0.47%
460146103,IP,INTERNATIONAL PAPER CO,7599,204,352.59K,9.47K,+2.8%,0.09%
046353108,AZN,ASTRAZENECA PLC,3795,120,291.15K,9.21K,+3.3%,0.07%
824348106,SHW,SHERWIN WILLIAMS CO,970,22,335.56K,7.61K,+2.3%,0.08%
13646K108,CP,CANADIAN PACIFIC KANSAS CITY,3899,101,290.4K,7.52K,+2.7%,0.07%
922042775,VEU,VANGUARD INTL EQUITY INDEX F,25192,105,1.8M,7.49K,+0.4%,0.44%
56064Q107,MEGI,NYLI CBRE GBL INFR MEGTRNDS,40150,500,589.4K,7.34K,+1.3%,0.14%
31428X106,FDX,FEDEX CORP,9353,28,2.21M,6.6K,+0.3%,0.54%
28176E108,EW,EDWARDS LIFESCIENCES CORP,6622,67,514.99K,5.21K,+1%,0.13%
464287804,IJR,ISHARES TR,20359,38,2.42M,4.52K,+0.2%,0.59%
825107105,SHBI,SHORE BANCSHARES INC,12275,275,201.43K,4.51K,+2.3%,0.05%
35671D857,FCX,FREEPORT-MCMORAN INC,18803,99,737.45K,3.88K,+0.5%,0.18%
12482W408,YCBD,CBDMD INC,121551,2925,147.08K,3.54K,+2.5%,0.04%
09290D101,BLK,BLACKROCK INC,223,3,259.99K,3.5K,+1.4%,0.06%
922908611,VBR,VANGUARD INDEX FDS,8411,16,1.76M,3.34K,+0.2%,0.43%
464287499,IWR,ISHARES TR,35448,30,3.42M,2.9K,+0.1%,0.84%
278865100,ECL,ECOLAB INC,818,9,224.25K,2.47K,+1.1%,0.06%
438516106,HON,HONEYWELL INTL INC,1919,9,403.98K,1.89K,+0.5%,0.1%
172908105,CTAS,CINTAS CORP,3465,8,711.23K,1.64K,+0.2%,0.17%
464287630,IWN,ISHARES TR,1856,5,328.16K,884.05,+0.3%,0.08%
038222105,AMAT,APPLIED MATLS INC,1581,3,323.69K,614.22,+0.2%,0.08%
253393102,DKS,DICKS SPORTING GOODS INC,4217,2,937.11K,444.44,+0%,0.23%
654106103,NKE,NIKE INC,8063,6,562.24K,418.38,+0.1%,0.14%
025816109,AXP,AMERICAN EXPRESS CO,2218,1,736.74K,332.17,+0%,0.18%
464287648,IWO,ISHARES TR,1646,1,526.79K,320.04,+0.1%,0.13%
381430503,GSLC,GOLDMAN SACHS ETF TR,3880,2,505.49K,260.56,+0.1%,0.12%
921908844,VIG,VANGUARD SPECIALIZED FUNDS,1640,1,353.68K,215.66,+0.1%,0.09%
922908744,VTV,VANGUARD INDEX FDS,2014,1,375.66K,186.53,+0%,0.09%
46137V100,PPA,INVESCO EXCHANGE TRADED FD T,1638,1,254.66K,155.47,+0.1%,0.06%
949746101,WFC,WELLS FARGO CO NEW,4924,1,412.73K,83.82,+0%,0.1%
04626A103,ALAB,ASTERA LABS INC,11451,0,2.24M,0,NO CHANGE,0.55%
922908363,VOO,VANGUARD INDEX FDS,2363,0,1.45M,0,NO CHANGE,0.36%
88162F105,TTI,TETRA TECHNOLOGIES INC DEL,198400,0,1.14M,0,NO CHANGE,0.28%
464287721,IYW,ISHARES TR,5719,0,1.12M,0,NO CHANGE,0.28%
92840M102,VST,VISTRA CORP,4913,0,962.55K,0,NO CHANGE,0.24%
244199105,DE,DEERE & CO,1663,0,760.48K,0,NO CHANGE,0.19%
889478103,TOL,TOLL BROTHERS INC,5408,0,747.05K,0,NO CHANGE,0.18%
002824100,ABT,ABBOTT LABS,5099,0,682.96K,0,NO CHANGE,0.17%
46429B663,HDV,ISHARES TR,5486,0,671.76K,0,NO CHANGE,0.16%
46641Q670,JCPB,J P MORGAN EXCHANGE TRADED F,13400,0,637.17K,0,NO CHANGE,0.16%
461202103,INTU,INTUIT,926,0,632.38K,0,NO CHANGE,0.16%
46641Q837,JPST,J P MORGAN EXCHANGE TRADED F,12095,0,613.58K,0,NO CHANGE,0.15%
46654Q716,JBND,J P MORGAN EXCHANGE TRADED F,11315,0,612.82K,0,NO CHANGE,0.15%
674599105,OXY,OCCIDENTAL PETE CORP,12077,0,570.64K,0,NO CHANGE,0.14%
84265V105,SCCO,SOUTHERN COPPER CORP,4644,0,563.61K,0,NO CHANGE,0.14%
172967424,C,CITIGROUP INC,5057,0,513.27K,0,NO CHANGE,0.13%
110448107,BTI,BRITISH AMERN TOB PLC,8494,0,450.86K,0,NO CHANGE,0.11%
464287234,EEM,ISHARES TR,8391,0,448.1K,0,NO CHANGE,0.11%
92838Y100,AIO,VIRTUS ARTIFICIAL INTELLIGEN,18400,0,442.15K,0,NO CHANGE,0.11%
457187102,INGR,INGREDION INC,3605,0,440.21K,0,NO CHANGE,0.11%
14167R100,CCLD,CARECLOUD INC,119269,0,382.85K,0,NO CHANGE,0.09%
02043Q107,ALNY,ALNYLAM PHARMACEUTICALS INC,825,0,376.2K,0,NO CHANGE,0.09%
33734X846,CIBR,FIRST TR EXCHANGE TRADED FD,4348,0,330.49K,0,NO CHANGE,0.08%
464285204,IAU,ISHARES GOLD TR,4525,0,329.28K,0,NO CHANGE,0.08%
452308109,ITW,ILLINOIS TOOL WKS INC,1258,0,328.04K,0,NO CHANGE,0.08%
494368103,KMB,KIMBERLY-CLARK CORP,2599,0,323.16K,0,NO CHANGE,0.08%
922908595,VBK,VANGUARD INDEX FDS,1078,0,320.94K,0,NO CHANGE,0.08%
81369Y605,XLF,SELECT SECTOR SPDR TR,5936,0,319.75K,0,NO CHANGE,0.08%
219350105,GLW,CORNING INC,3840,0,315K,0,NO CHANGE,0.08%
525327102,LDOS,LEIDOS HOLDINGS INC,1600,0,302.34K,0,NO CHANGE,0.07%
