CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
706915105,PENG,Penguin Solutions Inc,1848074,1848074,48.57M,48.57M,NEW,3.5%
02079K305,GOOGL,Alphabet Inc,159365,159365,38.74M,38.74M,NEW,2.8%
M7S64H106,MNDY,Monday Com Ltd,203865,143650,39.49M,27.82M,+238.6%,2.9%
74624M102,PSTG,Pure Storage Inc,720265,267135,60.37M,22.39M,+59%,4.4%
58733R102,MELI,Mercadolibre Inc,27003,2077,63.1M,4.85M,+8.3%,4.6%
573874104,MRVL,Marvell Technology Inc,56860,56860,4.78M,4.78M,NEW,0.35%
922475108,VEEV,Veeva Systems,181060,13950,53.94M,4.16M,+8.3%,3.9%
67066G104,NVDA,NVIDIA Corporation,89625,21900,16.72M,4.09M,+32.3%,1.2%
47074L105,JAMF,Jamf Holding Corp,1206767,17385,12.91M,186.02K,+1.5%,0.94%
23804L103,DDOG,Datadog Inc,147520,1040,21.01M,148.1K,+0.7%,1.5%
64119N608,NTSK,Netskope Inc,5000,5000,113.65K,113.65K,NEW,<.01%
697435105,PANW,Palo Alto Networks Inc,140201,80,28.55M,16.29K,+0.1%,2.1%
94724R108,WEAV,Weave Communications Inc,7077196,0,47.28M,0,NO CHANGE,3.4%
16935C109,CHYM,Chime Financial Inc,29247206,-4,589.92M,-80.68,-0%,42.9%
26603R106,DUOL,Duolingo Inc,46412,-7230,14.94M,-2.33M,-13.5%,1.1%
09857L108,BKNG,Booking Holdings Inc,2659,-734,14.36M,-3.96M,-21.6%,1%
22788C105,CRWD,CrowdStrike Holdings Inc,28861,-10255,14.15M,-5.03M,-26.2%,1%
512807306,LRCX,Lam Research Corporation,763237,-52603,102.2M,-7.04M,-6.4%,7.4%
67059N108,NTNX,Nutanix Inc,724227,-112575,53.88M,-8.37M,-13.5%,3.9%
25809K105,DASH,Doordash Inc,174300,-33930,47.41M,-9.23M,-16.3%,3.4%
46571Y107,IIIV,I3 Verticals Inc,938134,-314296,30.45M,-10.2M,-25.1%,2.2%
M2197Q107,CLBT,Cellebrite DI Ltd,0,-696744,0,-11.15M,CLOSE,0%
595112103,MU,Micron Technology Inc,287120,-79695,48.04M,-13.33M,-21.7%,3.5%
30303M102,META,Meta Platforms Inc,32699,-23080,24.01M,-16.95M,-41.4%,1.7%
G8232Y101,PENG,Penguin Solutions Inc,0,-3580777,0,-70.94M,CLOSE,0%
Total,,,,,1.37B,-2.67M,-0.2%,100%
