CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K107,GOOG,ALPHABET INC,26500,26500,6.45M,6.45M,NEW,2.8%
11135F101,AVGO,BROADCOM INC,8290,8290,2.73M,2.73M,NEW,1.2%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,16800,16800,2.45M,2.45M,NEW,1.1%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,4700,4700,857.37K,857.37K,NEW,0.37%
81141R100,SE,SEA LTD,4266,4266,762.46K,762.46K,NEW,0.33%
82509L107,SHOP,SHOPIFY INC,5119,5119,760.74K,760.74K,NEW,0.33%
46438R105,ETHA,ISHARES ETHEREUM TR,7050,7050,222.15K,222.15K,NEW,0.1%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,3993,1390,259.55K,90.35K,+53.4%,0.11%
23331A109,DHI,D R HORTON INC,1077,451,182.52K,76.43K,+72%,0.08%
482497104,BEKE,KE HLDGS INC,4000,4000,76K,76K,NEW,0.03%
745867101,PHM,PULTE GROUP INC,1640,340,216.69K,44.92K,+26.2%,0.09%
29444U700,EQIX,EQUINIX INC,267,50,209.12K,39.16K,+23%,0.09%
253868103,DLR,DIGITAL RLTY TR INC,1268,180,219.21K,31.12K,+16.5%,0.1%
67066G104,NVDA,NVIDIA CORPORATION,365060,0,68.11M,0,NO CHANGE,29.6%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,119580,0,33.4M,0,NO CHANGE,14.5%
54951L109,LKNCY,LUCKIN COFFEE ADR REP 8 ORD,421321,0,16.01M,0,NO CHANGE,7%
88160R101,TSLA,TESLA INC,12815,0,5.7M,0,NO CHANGE,2.5%
15743P104,CHA,CHAGEE HLDGS LTD,157457,0,2.61M,0,NO CHANGE,1.1%
987910106,YB,YUANBAO INC,66666,0,1.31M,0,NO CHANGE,0.57%
92276F100,VTR,VENTAS INC,3172,0,222.01K,0,NO CHANGE,0.1%
44107P104,HST,HOST HOTELS & RESORTS INC,11395,0,193.94K,0,NO CHANGE,0.08%
398182303,AHR,AMERICAN HEALTHCARE REIT INC,4375,0,183.79K,0,NO CHANGE,0.08%
925652109,VICI,VICI PPTYS INC,2296,0,74.87K,0,NO CHANGE,0.03%
62944T105,NVR,NVR INC,7,0,56.24K,0,NO CHANGE,0.02%
46284V101,IRM,IRON MTN INC DEL,455,0,46.38K,0,NO CHANGE,0.02%
771049103,RBLX,ROBLOX CORP,15140,-60,2.1M,-8.31K,-0.4%,0.91%
95040Q104,WELL,WELLTOWER INC,569,-200,101.36K,-35.63K,-26%,0.04%
526057104,LEN,LENNAR CORP,0,-327,0,-36.17K,CLOSE,0%
29670E107,EPRT,ESSENTIAL PPTYS RLTY TR INC,0,-1287,0,-41.07K,CLOSE,0%
722304102,PDD,PDD HOLDINGS INC,501460,-590,66.28M,-77.98K,-0.1%,28.8%
172573107,CRCL,CIRCLE INTERNET GROUP INC,870,-9130,115.34K,-1.21M,-91.3%,0.05%
30303M102,META,META PLATFORMS CL A ORD,24300,-8350,17.85M,-6.13M,-25.6%,7.8%
Total,,,,,229.75M,7.05M,+3.1%,100%
