CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
91324P102,UNH,UNITEDHEALTH GROUP INC,407468,79268,140.7M,27.37M,+24.2%,6.8%
40412C101,HCA,HCA HEALTHCARE INC,425070,26049,181.16M,11.1M,+6.5%,8.8%
02079K107,GOOG,ALPHABET INC,1027356,41300,250.21M,10.06M,+4.2%,12.2%
115236101,BRO,BROWN & BROWN INC,1096203,39499,102.81M,3.7M,+3.7%,5%
30303M102,META,META PLATFORMS INC,702079,0,515.59M,0,NO CHANGE,25%
422806208,HEIA,HEICO CORP NEW,652683,0,165.84M,0,NO CHANGE,8.1%
55354G100,MSCI,MSCI INC,256611,0,145.6M,0,NO CHANGE,7.1%
Y4600W108,KARO,KAROOOOO LTD,2200668,0,125.7M,0,NO CHANGE,6.1%
217204106,CPRT,COPART INC,1982068,0,89.13M,0,NO CHANGE,4.3%
64110L106,NFLX,NETFLIX INC,128227,-9127,153.73M,-10.94M,-6.6%,7.5%
225310101,CACC,CREDIT ACCEP CORP MICH,360231,-33987,168.2M,-15.87M,-8.6%,8.2%
294268107,PLUS,EPLUS INC,278072,-406482,19.75M,-28.86M,-59.4%,0.96%
Total,,,,,2.06B,-3.44M,-0.2%,100%
