CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
88160R101,TSLA,TESLA INC,512519,85796,227.93M,38.16M,+20.1%,55.3%
52567D107,LMND,LEMONADE INC,575906,289803,30.83M,15.51M,+101.3%,7.5%
09175A206,BMNR,BITMINE IMMERSION TECNOLOGIE,217953,217953,11.32M,11.32M,NEW,2.7%
91680M107,UPST,UPSTART HLDGS INC,205406,205406,10.43M,10.43M,NEW,2.5%
687793109,OSCR,OSCAR HEALTH INC,385315,173249,7.29M,3.28M,+81.7%,1.8%
78462F103,SPY,SPDR S&P 500 ETF TR,25479,3347,16.97M,2.23M,+15.1%,4.1%
80401C100,SATL,SATELLOGIC INC,388875,388875,1.28M,1.28M,NEW,0.31%
00760J108,AEHR,AEHR TEST SYS,453012,13298,13.64M,400.4K,+3%,3.3%
464287226,AGG,ISHARES TR,17295,334,1.73M,33.48K,+2%,0.42%
12740C103,CADE,CADENCE BANK,102161,0,3.84M,0,NO CHANGE,0.93%
231021106,CMI,CUMMINS INC,1073,0,453.2K,0,NO CHANGE,0.11%
11135F101,AVGO,BROADCOM INC,1101,0,363.23K,0,NO CHANGE,0.09%
30303M102,META,META PLATFORMS INC,400,0,293.75K,0,NO CHANGE,0.07%
02079K107,GOOG,ALPHABET INC,1945,-2,473.7K,-487.1,-0.1%,0.12%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,464,-14,233.27K,-7.04K,-2.9%,0.06%
46625H100,JPM,JPMORGAN CHASE & CO.,1139,-54,359.2K,-17.03K,-4.5%,0.09%
02079K305,GOOGL,ALPHABET INC,5080,-99,1.23M,-24.07K,-1.9%,0.3%
922908769,VTI,VANGUARD INDEX FDS,3068,-82,1.01M,-26.91K,-2.6%,0.24%
149123101,CAT,CATERPILLAR INC,501,-80,239.05K,-38.17K,-13.8%,0.06%
464288570,DSI,ISHARES TR,6555,-597,825.6K,-75.19K,-8.3%,0.2%
532457108,LLY,ELI LILLY & CO,648,-124,494.42K,-94.61K,-16.1%,0.12%
037833100,AAPL,APPLE INC,11912,-394,3.03M,-100.33K,-3.2%,0.74%
369604301,GE,GE AEROSPACE,1496,-405,450.03K,-121.83K,-21.3%,0.11%
594918104,MSFT,MICROSOFT CORP,2335,-326,1.21M,-168.85K,-12.3%,0.29%
023135106,AMZN,AMAZON COM INC,3274,-815,718.87K,-178.95K,-19.9%,0.17%
921943858,VEA,VANGUARD TAX-MANAGED FDS,19324,-5469,1.16M,-327.7K,-22.1%,0.28%
137404109,CADL,CANDEL THERAPEUTICS INC,698004,-78512,3.56M,-400.41K,-10.1%,0.86%
67066G104,NVDA,NVIDIA CORPORATION,48081,-2852,8.97M,-532.13K,-5.6%,2.2%
46137V282,RSPT,INVESCO EXCHANGE TRADED FD T,34180,-17303,1.52M,-771.37K,-33.6%,0.37%
46090E103,QQQ,INVESCO QQQ TR,99558,-6492,59.77M,-3.9M,-6.1%,14.5%
093712107,BE,BLOOM ENERGY CORP,3246,-409348,274.51K,-34.62M,-99.2%,0.07%
Total,,,,,411.91M,41.24M,+15.2%,100%
